TIME,X,Y,Z
0.0,0.348,-0.122,9.737
0.003949603,0.348,-0.122,9.89
0.007898988,0.348,-0.084,9.89
0.011848757,0.386,-0.122,9.852
0.015798192,0.386,-0.084,9.89
0.01974727,0.348,-0.084,9.928
0.023696963,0.386,-0.122,9.928
0.027646275,0.348,-0.122,9.89
0.03159612,0.425,-0.122,9.928
0.035545506,0.386,-0.122,9.89
0.03949519,0.348,-0.084,9.967
0.04344434,0.348,-0.084,9.89
0.04739411,0.348,-0.122,9.928
0.051343117,0.348,-0.084,9.928
0.0552925,0.348,-0.122,9.928
0.059241883,0.386,-0.122,9.928
0.06319165,0.348,-0.122,9.928
0.067141265,0.386,-0.084,9.928
0.07109073,0.386,-0.122,9.89
0.075040266,0.348,-0.122,9.89
0.07899011,0.348,-0.084,9.967
0.0829405,0.386,-0.084,9.89
0.086890265,0.348,-0.084,9.89
0.090840265,0.348,-0.122,9.89
0.09479072,0.348,-0.122,9.928
0.0987411,0.348,-0.122,9.928
0.102691025,0.386,-0.122,9.928
0.1066411,0.348,-0.084,9.89
0.11059094,0.348,-0.084,9.89
0.114541486,0.348,-0.122,9.89
0.11849202,0.386,-0.122,9.928
0.12244196,0.386,-0.084,9.928
0.12639181,0.386,-0.084,9.89
0.13034081,0.386,-0.084,9.89
0.1342905,0.348,-0.122,9.89
0.13824011,0.348,-0.122,9.928
0.14218989,0.348,-0.084,9.928
0.14613996,0.348,-0.122,9.928
0.15008958,0.386,-0.084,9.852
0.15403958,0.348,-0.122,9.928
0.15798934,0.348,-0.122,9.928
0.16193904,0.386,-0.122,9.89
0.16588928,0.386,-0.084,9.89
0.16984035,0.386,-0.122,9.89
0.17379074,0.348,-0.122,9.967
0.17774104,0.348,-0.084,9.928
0.18169138,0.348,-0.084,9.928
0.18564114,0.348,-0.084,9.928
0.18959138,0.348,-0.122,9.928
0.1935417,0.348,-0.084,9.89
0.19749185,0.386,-0.122,9.928
0.2014424,0.348,-0.122,9.89
0.20539303,0.386,-0.084,9.928
0.20934288,0.348,-0.084,9.928
0.21329233,0.386,-0.084,9.928
0.21724229,0.386,-0.084,9.928
0.22119166,0.386,-0.122,9.928
0.22514051,0.348,-0.122,9.928
0.22909008,0.386,-0.084,9.928
0.23303907,0.348,-0.084,9.928
0.23698847,0.348,-0.084,9.89
0.24093802,0.348,-0.122,9.967
0.24488786,0.31,-0.122,9.928
0.2488381,0.386,-0.122,9.89
0.25278863,0.386,-0.084,9.928
0.25673872,0.348,-0.084,9.928
0.26068917,0.386,-0.122,9.89
0.2646396,0.348,-0.084,9.928
0.26859012,0.348,-0.084,9.89
0.27254075,0.348,-0.084,9.89
0.27649125,0.348,-0.084,9.89
0.28044128,0.386,-0.084,9.928
0.2843912,0.348,-0.122,9.852
0.28834143,0.386,-0.122,9.89
0.29229152,0.386,-0.122,9.89
0.29624206,0.348,-0.122,9.89
0.3001919,0.348,-0.122,9.89
0.30414182,0.386,-0.122,9.89
0.30809173,0.386,-0.084,9.928
0.31204206,0.386,-0.122,9.928
0.31599212,0.348,-0.122,9.89
0.31994236,0.386,-0.122,9.928
0.3238923,0.348,-0.084,9.89
0.32784227,0.348,-0.084,9.852
0.33179197,0.386,-0.084,9.89
