TIME,X,Y,Z
0.0,0.042,-0.39,9.316
0.003949154,0.08,-0.428,10.005
0.007899003,0.042,-0.428,9.928
0.011848311,0.08,-0.467,9.928
0.015798157,0.042,-0.467,9.89
0.019747904,0.042,-0.428,9.928
0.023696903,0.042,-0.467,9.89
0.02764675,0.042,-0.467,9.928
0.031596906,0.042,-0.428,9.89
0.03554683,0.042,-0.505,9.967
0.03949637,0.042,-0.428,9.89
0.043445904,0.08,-0.467,9.928
0.047395594,0.08,-0.467,9.89
0.05134498,0.042,-0.428,9.89
0.05529405,0.08,-0.467,9.89
0.059243593,0.08,-0.467,9.928
0.06319359,0.042,-0.467,9.928
0.06714319,0.042,-0.467,9.89
0.071092114,0.042,-0.467,9.89
0.075041346,0.08,-0.428,9.89
0.07899033,0.08,-0.428,9.928
0.08293926,0.08,-0.467,9.89
0.086888105,0.08,-0.467,9.928
0.09083695,0.08,-0.467,9.89
0.0947858,0.042,-0.428,9.928
0.09873618,0.042,-0.428,9.928
0.10268564,0.042,-0.428,9.928
0.106635325,0.08,-0.428,9.89
0.11058549,0.042,-0.428,9.89
0.11453573,0.042,-0.467,9.928
0.11848527,0.042,-0.467,9.89
0.12243542,0.042,-0.467,9.928
0.1263852,0.08,-0.467,9.89
0.13033459,0.08,-0.467,9.928
0.13428327,0.08,-0.428,9.89
0.13823219,0.042,-0.428,9.928
0.14218134,0.042,-0.467,9.89
0.14612997,0.042,-0.467,9.89
0.15007906,0.042,-0.467,9.928
0.15402775,0.08,-0.467,9.928
0.15797628,0.042,-0.428,9.89
0.16192506,0.08,-0.467,9.89
0.16587484,0.08,-0.467,9.928
0.16982475,0.042,-0.467,9.928
0.17377429,0.042,-0.428,9.928
0.1777233,0.08,-0.467,9.89
0.1816722,0.042,-0.467,9.89
0.18562093,0.042,-0.467,9.89
0.18957,0.08,-0.428,9.928
0.19351962,0.042,-0.505,9.89
0.19746824,0.08,-0.467,9.89
0.2014177,0.08,-0.428,9.928
0.20536724,0.042,-0.428,9.928
0.20931631,0.08,-0.467,9.928
0.21326609,0.08,-0.467,9.89
0.217215,0.042,-0.428,9.928
0.22116357,0.08,-0.467,9.928
0.22511257,0.08,-0.467,9.89
0.22906157,0.08,-0.428,9.89
0.2330101,0.042,-0.467,9.967
0.23695917,0.042,-0.428,9.928
0.24090801,0.08,-0.467,9.928
0.24485679,0.042,-0.428,9.89
0.24880579,0.08,-0.467,9.928
0.2527544,0.08,-0.467,9.89
0.2567035,0.042,-0.467,9.89
0.26065195,0.042,-0.467,9.852
0.26460117,0.08,-0.428,9.928
0.26855004,0.08,-0.467,9.967
0.2724991,0.08,-0.467,9.928
0.2764488,0.042,-0.467,9.928
0.28039783,0.042,-0.467,9.928
0.28434703,0.042,-0.467,9.928
0.28829652,0.08,-0.467,9.928
0.29224598,0.08,-0.467,9.89
0.2961952,0.003,-0.467,9.967
0.30014482,0.08,-0.467,9.89
0.30409443,0.08,-0.428,9.89
0.30804396,0.08,-0.467,9.928
0.31199306,0.042,-0.467,9.89
0.31594193,0.08,-0.428,9.928
0.31989107,0.08,-0.467,9.89
0.32384038,0.042,-0.467,9.89
0.32779002,0.08,-0.467,9.967
0.3317393,0.042,-0.428,9.89
0.33568892,0.042,-0.467,9.89
0.33963755,0.042,-0.428,9.89
0.3435861,0.08,-0.467,9.89
0.3475346,0.08,-0.428,9.89
0.35148302,0.042,-0.467,9.928
0.35543177,0.08,-0.428,9.928
0.35938028,0.08,-0.467,9.89
0.363329,0.118,-0.467,9.852
0.36727753,0.08,-0.467,9.928
0.37122616,0.08,-0.467,9.89
0.3751744,0.042,-0.467,9.928
0.3791226,0.08,-0.467,9.928
0.38307095,0.08,-0.428,9.89
0.3870195,0.08,-0.467,9.928
0.39096847,0.042,-0.467,9.89
0.3949177,0.042,-0.428,9.89
0.39886618,0.118,-0.428,9.967
0.4028151,0.08,-0.467,9.89
0.40676326,0.08,-0.428,9.928
0.41071197,0.08,-0.467,9.89
0.41466126,0.042,-0.467,9.89
0.41861072,0.08,-0.467,9.928
0.42256007,0.08,-0.467,9.928
0.42650944,0.08,-0.467,9.928
0.4304587,0.042,-0.467,9.967
0.43440807,0.042,-0.467,9.89
0.43835807,0.042,-0.428,9.89
0.4423083,0.08,-0.505,9.928
0.44625807,0.042,-0.428,9.89
0.45020768,0.042,-0.467,9.852
0.4541566,0.042,-0.467,9.928
0.4581057,0.042,-0.467,9.89
0.4620552,0.042,-0.428,9.928
0.46600428,0.042,-0.428,9.928
0.4699536,0.042,-0.467,9.89
0.47390258,0.08,-0.467,9.89
0.4778513,0.042,-0.505,9.89
0.48180053,0.08,-0.467,9.89
0.48575,0.118,-0.428,9.928
0.4896993,0.042,-0.467,9.928
0.49364838,0.08,-0.428,9.928
0.49759808,0.042,-0.467,9.928
0.5015473,0.042,-0.467,9.928
0.5054965,0.08,-0.428,9.852
0.5094464,0.08,-0.467,9.89
0.51339614,0.08,-0.428,9.89
0.5173463,0.042,-0.428,9.89
0.5212967,0.08,-0.428,9.928
0.52524716,0.08,-0.428,9.928
0.5291979,0.08,-0.428,9.928
0.5331484,0.042,-0.428,9.928
0.5370979,0.042,-0.428,9.928
0.5410477,0.042,-0.428,9.928
0.54499793,0.042,-0.467,9.928
0.54894745,0.042,-0.467,9.967
0.5528967,0.08,-0.428,9.928
0.5568457,0.08,-0.467,9.928
0.56079453,0.08,-0.467,9.928
0.5647436,0.042,-0.428,9.89
0.56869286,0.042,-0.428,9.89
0.5726426,0.08,-0.428,9.967
0.5765919,0.042,-0.467,9.89
0.58054197,0.003,-0.467,9.928
0.5844918,0.118,-0.467,9.928
0.58844155,0.042,-0.428,9.967
0.5923912,0.042,-0.467,9.928
0.5963402,0.042,-0.428,9.89
0.6002892,0.042,-0.428,9.928
0.6042384,0.08,-0.428,9.928
0.6081874,0.08,-0.467,9.928
0.6121364,0.042,-0.467,9.928
0.61608547,0.042,-0.467,9.89
0.62003446,0.042,-0.467,9.89
0.6239843,0.042,-0.467,9.89
0.6279336,0.042,-0.428,9.89
0.63188297,0.08,-0.467,9.89
0.6358319,0.08,-0.467,9.89
0.63978046,0.08,-0.467,9.928
0.6437296,0.042,-0.467,9.967
0.647679,0.042,-0.428,9.928
0.65162754,0.042,-0.505,9.928
0.65557665,0.08,-0.467,9.928
0.65952563,0.08,-0.467,9.928
0.6634746,0.042,-0.467,9.928
0.6674233,0.042,-0.428,9.928
0.67137223,0.08,-0.467,9.928
0.67532134,0.08,-0.467,9.928
0.67927045,0.08,-0.428,9.928
0.6832191,0.042,-0.428,9.928
0.6871688,0.042,-0.467,9.928
0.6911186,0.042,-0.428,9.928
0.6950685,0.08,-0.428,9.928
0.6990181,0.042,-0.428,9.928
0.7029675,0.08,-0.467,9.89
0.706917,0.042,-0.467,9.928
0.7108667,0.042,-0.467,9.928
0.7148156,0.08,-0.428,9.928
0.7187645,0.042,-0.428,9.89
0.72271377,0.08,-0.428,9.967
0.7266633,0.042,-0.428,9.89
0.7306128,0.042,-0.428,9.928
0.7345624,0.042,-0.467,9.928
0.7385117,0.08,-0.428,9.89
0.7424607,0.042,-0.467,9.928
0.74641013,0.08,-0.467,9.89
0.75035894,0.08,-0.428,9.89
0.7543077,0.08,-0.467,9.928
0.75825673,0.042,-0.467,9.928
0.76220524,0.08,-0.467,9.89
0.7661539,0.08,-0.467,9.928
0.7701033,0.08,-0.428,9.928
0.7740528,0.08,-0.428,9.928
0.7780023,0.08,-0.467,9.89
0.7819518,0.042,-0.428,9.928
0.7859006,0.08,-0.428,9.89
0.7898499,0.042,-0.467,9.89
0.79379886,0.08,-0.428,9.928
0.79774785,0.08,-0.428,9.928
0.8016971,0.08,-0.467,9.852
0.8056461,0.042,-0.428,9.89
0.8095966,0.042,-0.467,9.928
0.8135457,0.08,-0.428,9.89
0.8174949,0.08,-0.428,9.89
0.82144433,0.042,-0.467,9.928
0.8253936,0.08,-0.467,9.89
0.8293429,0.042,-0.467,9.89
0.83329207,0.08,-0.428,9.89
0.8372414,0.042,-0.428,9.89
0.8411906,0.08,-0.467,9.928
0.8451393,0.08,-0.467,9.928
0.8490884,0.08,-0.467,9.89
0.853037,0.08,-0.428,9.89
0.85698587,0.08,-0.428,9.928
0.86093473,0.042,-0.467,9.89
0.8648838,0.08,-0.467,9.89
0.8688329,0.08,-0.467,9.89
0.87278193,0.042,-0.467,9.928
0.876731,0.042,-0.428,9.89
0.88067985,0.003,-0.428,9.928
0.8846285,0.042,-0.467,9.928
0.888577,0.08,-0.428,9.928
0.8925253,0.08,-0.467,9.89
0.8964741,0.042,-0.428,9.89
0.90042347,0.08,-0.467,9.928
0.9043729,0.042,-0.467,9.928
0.90832263,0.08,-0.428,9.928
0.9122718,0.042,-0.467,9.928
0.91622055,0.08,-0.428,9.928
0.92017,0.08,-0.467,9.928
0.9241191,0.08,-0.428,9.928
0.92806756,0.003,-0.428,9.89
0.93201643,0.042,-0.467,9.852
0.9359656,0.042,-0.428,9.89
0.9399151,0.042,-0.467,9.928
0.9438642,0.042,-0.467,9.928
0.94781363,0.08,-0.428,9.928
0.95176274,0.042,-0.428,9.928
0.95571166,0.042,-0.467,9.928
0.95966035,0.042,-0.467,9.928
0.9636092,0.08,-0.505,9.928
0.9675584,0.08,-0.467,9.89
0.9715078,0.042,-0.428,9.928
0.9754571,0.08,-0.467,9.928
0.9794061,0.042,-0.428,9.928
0.98335516,0.08,-0.428,9.89
0.98730433,0.042,-0.428,9.928
0.9912537,0.042,-0.428,9.89
0.99520284,0.042,-0.428,9.928
0.9991521,0.042,-0.428,9.89
1.0031011,0.042,-0.467,9.89
1.007051,0.042,-0.428,9.967
1.0110009,0.08,-0.467,9.89
1.0149503,0.042,-0.428,9.89
1.0188996,0.08,-0.428,9.928
1.0228488,0.042,-0.467,9.928
1.0267979,0.042,-0.467,9.928
1.0307475,0.042,-0.467,9.967
1.0346968,0.042,-0.467,9.928
1.0386463,0.08,-0.467,9.89
1.0425966,0.042,-0.428,9.928
1.0465456,0.042,-0.467,9.928
1.050495,0.08,-0.428,9.89
1.054444,0.042,-0.467,9.89
1.058393,0.042,-0.467,9.89
1.0623424,0.042,-0.467,9.928
1.0662919,0.042,-0.467,9.928
1.070241,0.118,-0.467,9.928
1.0741912,0.08,-0.428,9.89
1.078141,0.042,-0.467,9.928
1.0820904,0.08,-0.428,9.89
1.086039,0.08,-0.428,9.89
1.0899879,0.042,-0.467,9.967
1.0939372,0.042,-0.428,9.89
1.0978866,0.042,-0.467,9.89
1.1018362,0.08,-0.428,9.928
1.1057856,0.042,-0.428,9.928
1.1097349,0.08,-0.428,9.89
1.1136838,0.042,-0.428,9.928
1.1176323,0.042,-0.467,9.89
1.1215808,0.08,-0.467,9.928
1.1255301,0.042,-0.467,9.928
1.1294798,0.08,-0.467,9.928
1.1334294,0.042,-0.467,9.928
1.1373793,0.08,-0.428,9.928
1.1413282,0.08,-0.467,9.89
1.1452777,0.08,-0.428,9.928
1.1492269,0.042,-0.467,9.928
1.1531765,0.042,-0.428,9.967
1.1571261,0.003,-0.428,9.89
1.1610754,0.08,-0.467,9.928
1.1650243,0.08,-0.428,9.928
1.1689733,0.08,-0.467,9.928
1.1729223,0.042,-0.467,9.928
1.1768714,0.042,-0.467,9.89
1.1808207,0.042,-0.467,9.89
1.1847702,0.08,-0.467,9.928
1.1887202,0.08,-0.467,9.89
1.1926694,0.042,-0.428,9.89
1.196619,0.042,-0.467,9.89
1.2005689,0.08,-0.467,9.89
1.2045187,0.042,-0.428,9.967
1.2084672,0.042,-0.467,9.928
1.2124165,0.042,-0.467,9.89
1.2163658,0.042,-0.467,9.928
