TIME,X,Y,Z
0.0,0.003,-0.467,9.354
0.003970077,0.003,-0.467,10.005
0.007940539,0.003,-0.505,9.967
0.011910296,-0.034,-0.467,9.967
0.015880065,0.003,-0.505,9.967
0.019849604,0.003,-0.467,9.967
0.023820082,0.003,-0.505,10.005
0.027790235,-0.034,-0.505,9.967
0.03176039,0.003,-0.543,10.005
0.035730917,0.003,-0.505,9.928
0.039700992,0.003,-0.467,9.967
0.04367115,0.003,-0.543,9.928
0.047641385,0.003,-0.505,9.967
0.051611308,0.003,-0.467,9.967
0.055581383,0.003,-0.505,9.967
0.059551384,0.042,-0.505,9.967
0.06352185,0.003,-0.505,9.967
0.067492306,0.042,-0.467,9.967
0.07146269,0.003,-0.467,10.005
0.075433224,0.003,-0.467,9.928
0.07940369,0.042,-0.505,9.967
0.083374225,0.003,-0.505,9.967
0.08734469,0.003,-0.467,9.967
0.091315374,0.003,-0.428,9.967
0.09528625,0.003,-0.467,9.967
0.09925678,0.003,-0.467,10.005
0.10322748,0.042,-0.467,9.928
0.10719856,0.003,-0.467,9.967
0.11116956,0.003,-0.505,10.005
0.115140714,0.003,-0.505,9.967
0.11911142,0.003,-0.467,9.928
0.12308188,0.003,-0.505,9.967
0.12705258,0.042,-0.467,9.967
0.13102351,0.003,-0.505,10.005
0.13499366,0.003,-0.505,10.005
0.13896391,0.003,-0.467,9.967
0.1429347,0.003,-0.467,9.967
0.14690591,0.003,-0.467,10.005
0.15087707,0.003,-0.505,9.967
0.15484798,0.003,-0.467,9.89
0.15881875,0.003,-0.505,9.967
0.16278943,0.003,-0.505,9.967
0.16676015,0.042,-0.505,9.928
0.17073083,0.042,-0.505,9.967
0.1747019,0.003,-0.505,10.005
0.17867245,0.003,-0.543,9.928
0.18264283,0.003,-0.505,10.005
0.18661322,0.003,-0.505,9.967
0.19058362,0.003,-0.505,9.967
0.1945537,0.003,-0.505,9.967
0.19852485,0.003,-0.505,9.967
0.20249549,0.003,-0.467,9.967
0.20646594,0.042,-0.467,10.005
0.21043664,0.003,-0.467,9.928
0.21440756,0.003,-0.505,9.967
0.21837856,0.042,-0.505,10.005
0.22234964,0.003,-0.505,9.967
0.22632003,0.003,-0.467,9.967
0.23029082,0.003,-0.505,9.967
0.23426203,0.003,-0.505,9.967
0.23823325,0.042,-0.505,9.928
0.2422044,0.003,-0.505,9.967
0.24617593,0.003,-0.505,9.967
0.25014725,0.003,-0.467,9.928
0.25411877,0.003,-0.505,10.005
0.25809032,0.042,-0.505,9.967
0.26206115,0.042,-0.505,9.967
0.266033,0.003,-0.505,10.005
0.27000448,0.003,-0.467,9.967
0.27397615,0.003,-0.505,9.967
0.27794772,0.003,-0.505,9.967
0.28191885,0.003,-0.467,9.967
0.28589037,0.003,-0.467,9.967
0.28986177,0.003,-0.505,9.967
0.29383323,0.003,-0.467,9.928
0.29780445,0.08,-0.505,9.967
0.3017759,0.042,-0.467,9.967
0.30574667,0.003,-0.505,9.928
0.3097181,0.003,-0.505,9.967
0.3136896,0.042,-0.467,9.967
0.31766066,-0.034,-0.505,9.967
0.32163128,0.003,-0.467,10.005
0.3256026,0.003,-0.505,9.967
0.32957375,0.003,-0.505,9.967
0.33354512,0.003,-0.467,9.967
0.33751652,0.003,-0.467,9.967
0.3414878,0.003,-0.467,9.967
0.3454592,0.042,-0.505,9.967
0.34942982,0.003,-0.505,9.967
0.35340068,0.003,-0.467,10.005
0.3573711,0.003,-0.505,10.005
0.36134228,0.003,-0.505,9.967
0.36531362,0.003,-0.505,9.967
0.36928526,0.003,-0.467,9.967
0.37325633,0.003,-0.505,9.967
0.37722695,0.003,-0.467,9.967
0.38119715,0.003,-0.505,9.928
0.3851677,0.003,-0.505,10.005
0.3891384,0.003,-0.505,10.005
0.39310938,0.003,-0.505,9.967
0.3970802,-0.034,-0.505,9.967
0.40105027,0.003,-0.505,9.928
0.40502068,0.042,-0.505,9.928
0.40899196,0.042,-0.467,9.967
0.4129632,0.003,-0.505,9.967
0.41693443,0.003,-0.543,9.967
0.42090502,0.003,-0.505,10.005
0.42487597,0.003,-0.467,9.967
0.42884693,0.003,-0.505,9.928
0.43281806,0.003,-0.505,9.928
0.43678954,0.003,-0.467,10.005
0.4407611,0.003,-0.467,10.005
0.4447326,0.003,-0.543,9.967
0.44870383,-0.034,-0.505,9.967
0.45267454,0.003,-0.505,9.967
0.45664555,-0.034,-0.543,9.967
0.46061623,0.042,-0.505,10.005
0.46458662,0.003,-0.505,9.928
0.46855718,0.003,-0.505,10.005
0.47252786,0.003,-0.505,10.005
0.47649834,0.003,-0.505,9.967
0.48046824,0.042,-0.543,9.89
0.4844378,0.003,-0.505,9.928
0.48840755,0.042,-0.467,10.005
0.49237746,0.042,-0.505,10.005
0.49634755,0.042,-0.505,9.967
0.50031763,0.042,-0.467,10.005
0.50428843,0.003,-0.467,9.967
0.5082579,0.042,-0.505,9.89
0.51222825,0.003,-0.505,9.928
0.5161983,0.042,-0.505,10.043
0.5201688,0.003,-0.505,10.043
0.52414024,0.003,-0.505,9.967
0.52811056,0.042,-0.505,9.928
0.53208023,0.042,-0.505,9.928
0.53605,0.003,-0.543,9.928
0.5400198,0.003,-0.505,9.967
0.54399025,-0.034,-0.505,9.967
0.54796124,0.003,-0.505,10.043
0.55193144,0.003,-0.505,9.967
0.5559012,0.042,-0.505,9.967
0.5598714,0.003,-0.467,10.043
0.56384164,0.003,-0.467,9.928
0.56781244,0.003,-0.505,9.928
0.57178354,0.003,-0.467,10.005
0.5757537,0.003,-0.467,9.967
0.57972413,0.003,-0.505,10.043
0.5836945,0.003,-0.505,9.928
0.5876647,0.003,-0.505,9.967
0.5916355,0.003,-0.505,9.967
0.59560657,0.003,-0.505,9.967
0.59957755,0.003,-0.543,9.967
0.60354835,0.042,-0.505,9.967
0.60751873,0.003,-0.467,9.89
0.61148924,0.003,-0.505,9.967
0.61545974,0.042,-0.505,10.005
0.6194301,0.042,-0.467,10.005
0.62340117,0.003,-0.505,9.967
0.6273711,0.003,-0.467,10.005
0.63134134,0.003,-0.505,9.967
0.63531154,0.042,-0.467,10.005
0.6392821,0.003,-0.467,10.005
0.6432528,-0.034,-0.467,10.005
0.64722395,0.042,-0.505,9.967
0.6511946,0.003,-0.505,9.967
0.65516514,0.003,-0.467,9.967
0.659136,0.003,-0.505,10.005
0.6631066,0.003,-0.505,9.928
0.667077,0.003,-0.505,9.928
0.67104715,0.003,-0.467,9.967
0.6750175,0.003,-0.467,10.043
0.6789878,-0.034,-0.467,10.005
0.6829585,0.003,-0.505,9.928
0.68692887,0.003,-0.505,9.928
0.69089967,0.042,-0.505,10.005
0.69487035,0.003,-0.467,9.967
0.6988411,0.003,-0.505,9.928
0.7028124,0.003,-0.467,9.967
0.70678335,0.003,-0.505,9.928
0.710754,0.003,-0.505,10.005
0.7147244,-0.034,-0.505,9.967
0.71869516,0.003,-0.505,10.005
0.72266585,-0.034,-0.467,9.967
0.72663623,0.003,-0.467,9.967
0.7306063,0.003,-0.505,10.005
0.7345769,0.042,-0.505,9.967
0.7385478,0.042,-0.505,9.967
0.7425185,0.042,-0.505,9.967
0.7464887,0.042,-0.505,9.967
0.75045925,0.042,-0.467,9.967
0.75442934,0.003,-0.505,9.967
0.7583994,0.003,-0.505,10.005
0.7623703,0.003,-0.428,9.967
0.76634085,0.042,-0.467,9.928
0.77031076,0.042,-0.467,10.005
0.77428097,0.003,-0.467,10.005
0.77825135,0.042,-0.467,9.967
0.7822223,0.003,-0.505,10.005
0.7861934,0.003,-0.505,9.967
0.79016346,0.042,-0.505,9.928
0.79413354,-0.034,-0.505,10.005
0.7981039,0.003,-0.505,10.005
0.80207455,0.003,-0.505,9.967
0.8060451,0.003,-0.505,10.005
0.8100157,0.042,-0.467,9.928
0.81398696,0.003,-0.467,9.967
0.817958,0.003,-0.505,10.005
0.8219292,0.003,-0.467,9.967
0.82589996,0.042,-0.505,9.967
0.8298708,0.003,-0.467,9.967
0.8338423,0.003,-0.467,9.928
0.83781356,0.003,-0.467,10.005
0.8417846,0.003,-0.505,10.005
0.8457555,0.003,-0.467,9.967
0.84972554,0.003,-0.505,9.967
0.8536955,0.003,-0.467,9.967
0.8576657,0.003,-0.505,10.005
0.8616356,0.003,-0.467,9.928
0.8656056,0.003,-0.505,9.967
0.86957544,0.003,-0.505,10.005
0.8735455,0.003,-0.505,9.967
0.87751675,0.003,-0.505,10.005
0.8814874,0.003,-0.505,10.005
0.8854573,0.003,-0.505,9.967
0.8894278,0.003,-0.505,10.005
0.893398,0.003,-0.505,9.967
