TIME,X,Y,Z
0.0,0.08,-0.467,9.928
0.003968923,0.08,-0.467,10.005
0.007937614,0.118,-0.428,9.967
0.011906076,0.08,-0.428,9.967
0.015873998,0.042,-0.467,9.967
0.019842304,0.08,-0.467,9.928
0.023810996,0.08,-0.467,9.967
0.027779536,0.042,-0.467,9.967
0.031747907,0.042,-0.467,9.967
0.03571668,0.042,-0.428,9.967
0.03968514,0.042,-0.467,9.967
0.043653525,0.042,-0.467,10.005
0.047621448,0.042,-0.467,9.928
0.05158937,0.08,-0.467,9.967
0.05555752,0.042,-0.467,10.005
0.059525676,0.042,-0.428,9.967
0.06349375,0.08,-0.428,9.967
0.06746168,0.08,-0.467,9.967
0.07142961,0.08,-0.467,9.967
0.07539768,0.08,-0.428,9.928
0.0793659,0.08,-0.428,10.005
0.0833336,0.08,-0.428,9.928
0.08730168,0.08,-0.428,9.967
0.09126945,0.08,-0.428,9.967
0.09523791,0.042,-0.467,9.967
0.0992063,0.042,-0.467,9.967
0.10317438,0.042,-0.428,10.005
0.10714208,0.003,-0.428,9.967
0.11111131,0.003,-0.467,9.967
0.11508002,0.042,-0.428,9.967
0.119049326,0.042,-0.428,9.967
0.123018876,0.042,-0.467,9.967
0.12698767,0.042,-0.428,10.005
0.13095613,0.118,-0.467,9.928
0.1349242,0.08,-0.467,9.967
0.13889258,0.08,-0.467,10.005
0.14286089,0.118,-0.467,9.89
0.1468292,0.08,-0.467,9.967
0.15079811,0.118,-0.428,10.005
0.15476681,0.042,-0.467,9.967
0.15873487,0.08,-0.428,9.928
0.16270287,0.08,-0.428,10.005
0.16667074,0.08,-0.467,9.967
0.17063881,0.042,-0.467,9.967
0.17460698,0.042,-0.467,10.005
0.1785752,0.042,-0.467,9.967
0.18254396,0.003,-0.467,9.928
0.18651259,0.042,-0.467,10.005
0.19048144,0.042,-0.467,9.967
0.19445036,0.08,-0.467,9.928
0.19841914,0.042,-0.428,9.967
0.20238799,0.042,-0.428,10.005
0.2063569,0.042,-0.467,9.928
0.21032499,0.042,-0.428,10.005
0.2142936,0.08,-0.428,9.928
0.21826237,0.08,-0.467,9.967
0.22223148,0.08,-0.428,10.005
0.22620016,0.08,-0.428,10.005
0.23016831,0.08,-0.428,9.928
0.23413672,0.042,-0.467,9.928
0.2381051,0.08,-0.467,10.005
0.24207425,0.042,-0.467,9.928
0.24604225,0.08,-0.467,9.967
0.25001094,0.042,-0.467,9.967
0.2539785,0.003,-0.467,9.928
0.25794628,0.042,-0.428,9.967
0.2619144,0.003,-0.428,9.967
0.26588228,0.042,-0.505,9.928
0.26985043,0.003,-0.428,10.005
0.27381864,0.042,-0.467,9.928
0.27778655,0.042,-0.428,9.928
0.28175488,0.042,-0.428,9.967
0.2857231,0.042,-0.39,9.967
0.28969073,0.08,-0.467,9.928
0.29365915,0.042,-0.428,10.005
0.29762796,0.08,-0.467,10.005
0.30159584,0.08,-0.428,9.967
0.30556342,0.08,-0.467,10.005
0.30953088,0.08,-0.467,9.967
0.31349877,0.042,-0.428,9.967
0.31746617,0.003,-0.428,9.967
0.32143417,0.042,-0.467,9.967
0.32540172,0.042,-0.467,9.967
0.32936934,0.042,-0.467,9.967
0.33333695,0.042,-0.467,10.005
0.3373049,0.003,-0.467,9.967
0.3412728,0.042,-0.467,9.967
0.34524074,0.042,-0.467,9.967
0.3492089,0.08,-0.467,9.967
0.35317695,0.08,-0.467,10.005
0.35714495,0.003,-0.467,9.967
0.36111286,0.042,-0.467,9.967
0.3650811,0.042,-0.467,10.005
0.36904946,0.042,-0.467,9.967
0.37301812,0.042,-0.428,9.967
0.3769864,0.08,-0.467,9.967
0.38095516,0.042,-0.467,9.967
0.38492373,0.08,-0.467,9.967
0.38889164,0.042,-0.467,9.928
0.39286008,0.042,-0.428,9.967
0.39682835,0.042,-0.428,9.967
0.400797,0.042,-0.505,9.928
0.40476665,0.042,-0.428,9.967
0.40873542,0.042,-0.467,9.928
0.4127041,0.042,-0.428,10.005
0.41667297,0.042,-0.467,10.005
0.42064157,0.042,-0.467,9.928
0.42460987,0.042,-0.428,10.005
0.42857787,0.042,-0.467,9.967
0.4325465,0.042,-0.428,9.928
0.43651533,0.08,-0.428,9.967
0.44048432,0.08,-0.467,9.967
0.4444527,0.042,-0.467,10.005
0.4484205,0.08,-0.428,10.005
0.45238885,0.08,-0.467,9.967
0.45635715,0.042,-0.467,9.967
0.46032524,0.003,-0.428,9.967
0.46429318,0.003,-0.467,10.005
0.46826118,0.042,-0.467,9.967
0.47222918,0.042,-0.428,9.967
