TIME,X,Y,Z
0.0,0.08,-0.467,9.928
0.003967769,0.042,-0.505,9.967
0.007935706,0.08,-0.467,9.967
0.011904244,0.042,-0.467,9.928
0.01587232,0.042,-0.467,9.967
0.019839726,0.042,-0.467,9.967
0.023807496,0.042,-0.467,9.967
0.027775573,0.042,-0.467,9.967
0.03174327,0.08,-0.428,9.967
0.03571127,0.08,-0.467,10.043
0.03967973,0.08,-0.467,9.967
0.04364762,0.118,-0.428,10.043
0.04761516,0.118,-0.467,10.005
0.05158285,0.118,-0.505,9.967
0.05555034,0.118,-0.467,9.967
0.05951803,0.118,-0.505,9.967
0.06348681,0.08,-0.467,9.967
0.06745444,0.118,-0.467,10.005
0.07142198,0.118,-0.467,9.967
0.075389825,0.08,-0.467,9.928
0.07935807,0.042,-0.467,9.967
0.08332576,0.042,-0.505,9.967
0.087293684,0.042,-0.505,10.005
0.091261454,0.042,-0.505,10.005
0.09522899,0.042,-0.467,9.967
0.09919676,0.042,-0.428,10.005
0.10316444,0.042,-0.428,10.005
0.1071329,0.042,-0.467,9.967
0.11110074,0.08,-0.428,9.967
0.11506868,0.003,-0.467,9.928
0.11903606,0.08,-0.428,9.928
0.123003915,0.08,-0.467,9.967
0.1269723,0.08,-0.467,10.005
0.13094006,0.08,-0.467,10.005
0.13490768,0.118,-0.428,10.005
0.13887616,0.08,-0.467,10.005
0.1428437,0.118,-0.467,9.967
0.14681162,0.08,-0.467,9.928
0.1507794,0.08,-0.467,10.005
0.15474723,0.08,-0.467,9.928
0.15871501,0.08,-0.505,9.928
0.16268303,0.042,-0.467,10.043
0.16665088,0.042,-0.467,9.967
0.17061888,0.08,-0.467,9.967
0.17458682,0.042,-0.467,9.967
0.17855512,0.08,-0.467,9.967
0.18252304,0.042,-0.467,9.967
0.18649107,0.042,-0.467,10.005
0.19045846,0.08,-0.467,9.967
0.19442584,0.08,-0.467,9.967
0.19839339,0.08,-0.467,10.005
0.20236054,0.08,-0.467,9.928
0.20632778,0.042,-0.467,9.967
0.21029593,0.08,-0.505,10.005
0.21426386,0.08,-0.428,9.928
0.2182313,0.118,-0.467,9.967
0.22219896,0.08,-0.467,10.005
0.22616696,0.08,-0.467,10.005
0.23013496,0.08,-0.467,9.967
0.2341024,0.08,-0.467,9.967
0.23806988,0.08,-0.428,9.967
0.24203718,0.08,-0.467,9.967
0.2460054,0.042,-0.428,10.005
0.24997365,0.08,-0.467,9.928
0.25394157,0.08,-0.467,10.005
0.25790942,0.08,-0.467,9.967
0.26187724,0.08,-0.467,9.967
0.26584503,0.08,-0.467,9.928
0.26981285,0.08,-0.467,9.928
0.2737807,0.08,-0.467,9.967
0.27774897,0.08,-0.467,9.967
0.28171718,0.08,-0.428,9.967
0.2856844,0.08,-0.505,9.967
0.28965226,0.08,-0.467,9.967
0.29362005,0.042,-0.467,9.967
0.29758757,0.08,-0.467,9.967
0.30155492,0.08,-0.467,9.967
0.305522,0.042,-0.467,9.967
0.30948967,0.08,-0.467,10.005
0.31345704,0.042,-0.467,9.967
0.3174246,0.08,-0.467,10.005
0.32139283,0.08,-0.467,9.928
0.32536104,0.08,-0.467,9.967
0.32932916,0.08,-0.428,10.005
0.33329704,0.08,-0.428,9.967
0.3372656,0.08,-0.428,9.928
0.34123376,0.08,-0.505,9.967
0.34520122,0.08,-0.467,10.005
0.349169,0.08,-0.467,9.967
0.35313666,0.08,-0.467,10.005
0.35710478,0.08,-0.467,9.967
0.36107305,0.08,-0.467,9.967
0.36504063,0.042,-0.428,10.043
0.36900836,0.08,-0.467,9.967
0.3729755,0.042,-0.505,9.967
0.37694326,0.042,-0.467,10.005
0.3809112,0.118,-0.467,9.89
0.38487867,0.042,-0.428,9.967
0.38884595,0.08,-0.505,9.967
0.3928134,0.042,-0.467,10.005
0.39678097,0.08,-0.467,9.928
0.40074903,0.08,-0.428,9.967
0.40471703,0.08,-0.467,10.005
0.40868458,0.042,-0.505,10.005
0.4126514,0.042,-0.505,9.967
0.41661924,0.08,-0.428,9.928
0.42058724,0.042,-0.467,9.967
0.42455506,0.08,-0.467,10.005
0.42852223,0.118,-0.505,9.928
0.43248948,0.08,-0.467,9.928
0.43645692,0.08,-0.467,9.928
0.44042492,0.08,-0.467,9.967
0.4443931,0.08,-0.505,9.967
0.44836155,0.08,-0.467,9.967
0.4523296,0.08,-0.467,9.928
0.45629722,0.08,-0.467,9.967
0.46026468,0.08,-0.467,9.967
0.46423256,0.042,-0.467,10.005
0.46820083,0.042,-0.467,10.005
0.47216848,0.08,-0.428,10.005
0.47613588,0.08,-0.428,10.043
0.48010364,0.08,-0.505,9.928
0.48407203,0.08,-0.505,9.967
0.48803982,0.08,-0.505,9.967
0.49200726,0.08,-0.467,10.043
0.49597472,0.118,-0.467,9.967
0.49994195,0.08,-0.467,9.852
0.50390995,0.08,-0.467,10.005
0.50787836,0.042,-0.467,9.967
0.511846,0.08,-0.467,9.852
0.51581377,0.118,-0.505,9.967
0.519782,0.08,-0.467,10.043
0.52374977,0.042,-0.467,9.928
0.52771765,0.08,-0.467,9.928
0.5316864,0.08,-0.428,10.082
0.53565484,0.042,-0.467,10.005
0.5396233,0.08,-0.428,9.89
0.5435918,0.08,-0.467,9.967
0.5475602,0.042,-0.428,10.005
0.5515284,0.08,-0.467,9.967
0.5554958,0.08,-0.505,9.852
0.55946314,0.08,-0.505,10.005
0.5634312,0.08,-0.428,10.082
0.5673994,0.08,-0.467,9.967
0.57136744,0.042,-0.467,9.928
0.57533574,0.08,-0.505,10.005
0.5793044,0.042,-0.467,10.005
