TIME,X,Y,Z
0.0,0.08,-0.467,10.388
0.003964692,0.08,-0.428,9.737
0.007929763,0.118,-0.428,9.967
0.011894686,0.042,-0.428,9.967
0.015859457,0.08,-0.428,9.928
0.019824147,0.08,-0.428,9.928
0.0237893,0.08,-0.428,9.967
0.027754456,0.08,-0.428,9.928
0.031719606,0.118,-0.428,10.005
0.03568476,0.042,-0.39,9.967
0.0396493,0.08,-0.428,9.967
0.043613505,0.08,-0.428,9.967
0.04757827,0.08,-0.428,9.967
0.051543273,0.08,-0.428,9.928
0.055508275,0.042,-0.428,9.967
0.05947335,0.08,-0.467,9.967
0.063438505,0.08,-0.467,9.928
0.06740344,0.08,-0.428,9.967
0.07136836,0.042,-0.467,9.928
0.07533406,0.042,-0.428,9.928
0.07929952,0.042,-0.39,9.967
0.08326468,0.08,-0.428,9.967
0.08722968,0.042,-0.428,9.967
0.091194995,0.042,-0.428,9.967
0.09515992,0.042,-0.428,9.967
0.09912461,0.08,-0.467,9.967
0.103089474,0.08,-0.428,9.967
0.10705401,0.042,-0.428,10.005
0.111018315,0.08,-0.428,9.928
0.1149831,0.08,-0.428,9.967
0.1189474,0.118,-0.428,9.967
0.12291156,0.08,-0.428,9.967
0.12687588,0.08,-0.428,9.967
0.13084026,0.118,-0.428,10.005
0.13480511,0.118,-0.428,9.928
0.13876991,0.08,-0.428,9.928
0.14273413,0.08,-0.39,10.005
0.14669898,0.08,-0.39,9.967
0.15066373,0.042,-0.428,9.967
0.15462811,0.042,-0.467,9.928
0.15859312,0.08,-0.428,9.928
0.16255803,0.042,-0.428,10.005
0.16652343,0.08,-0.428,9.967
0.17048888,0.08,-0.428,9.967
0.17445357,0.08,-0.467,9.967
0.17841858,0.08,-0.39,9.928
0.18238288,0.042,-0.428,9.928
0.18634737,0.08,-0.428,9.967
0.19031213,0.042,-0.428,10.005
0.19427651,0.08,-0.467,9.928
0.19824144,0.08,-0.428,9.967
0.20220628,0.042,-0.428,10.005
0.20617114,0.08,-0.428,9.928
0.21013598,0.042,-0.39,9.928
0.2141009,0.08,-0.467,9.928
0.21806505,0.08,-0.428,9.967
0.22202958,0.08,-0.467,9.967
0.22599405,0.08,-0.467,9.967
0.2299582,0.08,-0.467,9.928
0.23392236,0.042,-0.39,9.967
0.23788713,0.042,-0.428,9.967
0.24185114,0.042,-0.428,9.928
0.24581516,0.08,-0.428,9.967
0.24977961,0.08,-0.428,9.967
0.25374416,0.08,-0.428,9.967
0.25770867,0.08,-0.428,9.928
0.26167282,0.08,-0.428,9.967
0.26563752,0.042,-0.428,9.967
0.2696022,0.042,-0.428,10.005
0.2735666,0.08,-0.428,9.89
0.27753097,0.08,-0.428,9.967
0.28149578,0.08,-0.39,9.967
0.28546053,0.08,-0.428,9.928
0.28942502,0.08,-0.428,9.967
0.29338995,0.08,-0.428,9.967
0.29735494,0.08,-0.428,9.967
0.30132017,0.08,-0.428,9.967
0.30528525,0.08,-0.428,10.005
0.30925086,0.118,-0.39,9.928
0.3132154,0.118,-0.428,10.005
0.31718025,0.08,-0.428,10.005
0.32114524,0.08,-0.428,9.928
0.32510996,0.08,-0.467,9.967
0.32907477,0.08,-0.428,9.928
0.3330393,0.08,-0.428,9.967
0.33700398,0.042,-0.428,9.928
0.34096944,0.08,-0.428,9.967
0.34493446,0.08,-0.428,9.967
0.3488993,0.08,-0.467,9.928
0.35286424,0.08,-0.467,9.928
0.356829,0.08,-0.428,9.928
0.36079377,0.08,-0.428,9.928
0.36475813,0.08,-0.428,9.967
0.368723,0.08,-0.428,9.967
0.37268817,0.08,-0.39,9.928
0.37665322,0.08,-0.428,9.967
0.38061816,0.042,-0.428,9.967
0.38458303,0.08,-0.467,9.967
0.3885479,0.08,-0.428,9.967
0.39251274,0.042,-0.467,9.967
0.39647776,0.042,-0.467,9.967
0.40044254,0.042,-0.428,9.967
0.40440744,0.08,-0.428,9.89
0.40837276,0.042,-0.467,10.005
0.41233838,0.08,-0.428,9.967
0.4163037,0.08,-0.39,9.928
0.42026892,0.042,-0.428,9.967
0.42423385,0.08,-0.428,10.005
0.42819917,0.118,-0.428,9.928
0.43216407,0.08,-0.428,9.928
0.43612877,0.08,-0.428,9.967
0.440094,0.118,-0.428,9.967
0.44405928,0.08,-0.467,9.89
0.4480243,0.08,-0.428,9.928
0.45198983,0.08,-0.39,10.005
0.4559549,0.042,-0.467,9.967
0.45992067,0.042,-0.467,10.005
0.4638862,0.08,-0.467,9.967
0.46785176,0.08,-0.428,9.928
0.47181743,0.042,-0.467,9.967
0.47578233,0.118,-0.428,9.89
0.4797476,0.042,-0.428,9.89
0.48371264,0.08,-0.428,9.928
0.48767826,0.08,-0.428,9.967
0.4916435,0.118,-0.428,10.005
0.49560887,0.042,-0.467,9.967
