TIME,X,Y,Z
0.0,0.271,-0.122,9.316
0.003954262,0.348,-0.122,9.967
0.007909031,0.348,-0.122,9.928
0.01186357,0.348,-0.122,9.89
0.015818466,0.348,-0.084,9.89
0.019772848,0.386,-0.122,9.967
0.023727773,0.348,-0.084,9.928
0.027683092,0.31,-0.16,9.928
0.0316384,0.31,-0.16,9.967
0.03559286,0.348,-0.16,9.928
0.03954748,0.31,-0.122,9.928
0.04350163,0.348,-0.122,9.928
0.04745625,0.348,-0.16,9.89
0.05141101,0.348,-0.122,9.89
0.055365704,0.386,-0.122,9.928
0.05932086,0.348,-0.16,9.928
0.06327599,0.31,-0.16,9.928
0.06723192,0.31,-0.16,9.928
0.07118746,0.271,-0.122,9.928
0.07514268,0.31,-0.122,9.928
0.07909822,0.348,-0.084,9.928
0.08305314,0.348,-0.084,9.89
0.08700845,0.31,-0.084,9.967
0.09096345,0.31,-0.122,9.89
0.09491838,0.348,-0.084,9.89
0.09887341,0.31,-0.084,9.89
0.10282848,0.348,-0.122,9.89
0.106783405,0.31,-0.122,9.928
0.110738195,0.386,-0.122,9.928
0.11469334,0.386,-0.16,9.928
0.11864835,0.348,-0.084,9.89
0.12260336,0.348,-0.122,9.928
0.12655821,0.348,-0.122,9.928
0.1305132,0.348,-0.122,9.967
0.13446815,0.31,-0.122,9.928
0.13842292,0.31,-0.122,9.967
0.14237784,0.348,-0.16,9.928
0.14633295,0.348,-0.122,9.928
0.15028809,0.348,-0.122,9.89
0.15424295,0.348,-0.122,9.89
0.15819727,0.348,-0.122,9.928
0.16215219,0.348,-0.122,9.89
0.16610758,0.386,-0.122,9.928
0.17006212,0.348,-0.084,9.928
0.1740166,0.386,-0.122,9.928
0.17797074,0.348,-0.084,9.928
0.18192504,0.31,-0.084,9.928
0.1858792,0.31,-0.122,9.967
0.18983358,0.348,-0.16,9.928
0.19378817,0.31,-0.122,9.928
0.1977424,0.348,-0.122,9.89
0.20169649,0.348,-0.16,9.928
0.2056506,0.348,-0.16,9.89
0.20960498,0.31,-0.16,9.928
0.21355966,0.348,-0.122,9.928
0.21751475,0.348,-0.122,9.928
0.22147006,0.348,-0.122,9.89
0.22542514,0.31,-0.084,9.928
0.22937976,0.348,-0.122,9.928
0.2333346,0.31,-0.122,9.89
0.23728952,0.348,-0.122,9.89
0.24124445,0.348,-0.16,9.928
0.24519916,0.348,-0.16,9.89
0.249154,0.31,-0.122,9.928
