TIME,X,Y,Z
0.0,0.08,-0.467,9.354
0.003971462,0.042,-0.467,10.043
0.007943151,0.08,-0.467,9.928
0.011914766,0.08,-0.467,9.967
0.015887074,0.08,-0.505,9.967
0.019859193,0.08,-0.467,9.967
0.023831192,0.08,-0.467,10.005
0.027802575,0.042,-0.467,9.967
0.031774312,0.08,-0.505,9.967
0.035745393,0.042,-0.505,9.967
0.039716624,0.042,-0.505,10.005
0.043688152,0.042,-0.543,10.005
0.04765969,0.08,-0.543,9.967
0.05163077,0.042,-0.505,9.928
0.05560168,0.042,-0.505,9.967
0.05957314,0.042,-0.505,9.967
0.06354468,0.042,-0.505,9.928
0.06751614,0.042,-0.505,10.005
0.071487375,0.042,-0.467,9.967
0.07545884,0.042,-0.467,9.928
0.07943,0.08,-0.505,9.967
0.08340177,0.042,-0.505,9.967
0.087373234,0.042,-0.543,9.967
0.091344304,0.08,-0.505,9.967
0.09531507,0.042,-0.543,9.967
0.09928592,0.08,-0.505,9.928
0.1032569,0.08,-0.505,9.967
0.10722791,0.042,-0.505,9.967
0.11119968,0.08,-0.505,10.005
0.11517169,0.08,-0.505,9.928
0.11914315,0.042,-0.505,10.005
0.123114,0.08,-0.505,9.967
0.12708557,0.042,-0.505,9.967
0.13105656,0.08,-0.505,9.967
0.1350282,0.08,-0.505,9.967
0.13899997,0.08,-0.505,10.005
0.14297096,0.08,-0.505,10.005
0.14694189,0.042,-0.505,9.967
0.15091264,0.042,-0.505,9.967
0.15488395,0.042,-0.505,10.005
0.15885587,0.08,-0.505,9.928
0.16282734,0.042,-0.505,9.967
0.16679904,0.042,-0.505,10.005
0.17077033,0.08,-0.543,9.967
0.1747422,0.042,-0.505,9.928
0.17871352,0.042,-0.505,9.967
0.18268459,0.08,-0.505,9.967
0.186656,0.08,-0.505,9.928
0.1906274,0.08,-0.543,9.928
0.19459909,0.042,-0.505,9.967
0.19857039,0.08,-0.505,9.928
0.20254147,0.042,-0.467,9.928
0.20651263,0.042,-0.505,9.967
0.21048382,0.08,-0.505,9.967
0.21445483,0.042,-0.505,9.967
0.21842605,0.08,-0.505,9.967
0.222398,0.042,-0.505,9.928
0.22637008,0.042,-0.505,10.005
0.23034145,0.08,-0.505,10.005
0.234313,0.08,-0.505,9.967
0.23828469,0.003,-0.505,10.005
0.24225661,0.042,-0.467,9.967
0.24622893,0.042,-0.505,9.967
0.25020102,0.042,-0.505,10.005
0.25417253,0.042,-0.505,9.967
0.25814417,0.042,-0.505,9.967
0.26211601,0.042,-0.467,9.967
0.2660885,0.042,-0.505,9.967
0.27006048,0.08,-0.505,10.005
0.27403155,0.08,-0.505,9.967
0.27800372,0.042,-0.505,9.967
0.28197473,0.08,-0.505,9.928
0.2859461,0.042,-0.505,9.967
0.2899178,0.08,-0.505,9.967
0.2938898,0.042,-0.505,9.928
0.2978625,0.042,-0.505,9.967
0.3018341,0.042,-0.505,10.005
0.3058058,0.08,-0.505,9.967
0.30977732,0.042,-0.505,9.967
0.31374842,0.08,-0.505,10.005
0.3177198,0.042,-0.467,10.005
0.32169172,0.042,-0.505,9.928
0.32566363,0.042,-0.505,10.005
0.32963562,0.042,-0.505,9.967
0.33360785,0.042,-0.505,9.967
0.33758017,0.042,-0.467,9.967
0.34155178,0.042,-0.505,10.005
0.34552363,0.042,-0.467,9.967
0.34949523,0.042,-0.505,10.005
0.35346732,0.08,-0.543,9.928
