TIME,X,Y,Z
0.0,0.08,-0.543,10.388
0.00396977,0.042,-0.428,9.814
0.007939599,0.08,-0.505,10.005
0.011909368,0.042,-0.505,9.928
0.015878906,0.042,-0.505,9.928
0.01984836,0.042,-0.505,9.967
0.023817668,0.08,-0.467,9.967
0.027786592,0.08,-0.505,9.967
0.031755604,0.042,-0.505,9.967
0.03572545,0.08,-0.467,10.005
0.039695606,0.042,-0.505,9.967
0.043666255,0.042,-0.467,9.967
0.04763656,0.042,-0.467,9.967
0.051606484,0.08,-0.505,9.967
0.055576485,0.08,-0.505,9.967
0.059546176,0.042,-0.467,10.005
0.06351618,0.08,-0.467,9.928
0.067486264,0.08,-0.428,9.928
0.07145588,0.08,-0.505,9.967
0.0754258,0.08,-0.467,9.967
0.079395644,0.042,-0.505,9.967
0.08336557,0.08,-0.467,9.967
0.087335646,0.08,-0.505,10.005
0.091305725,0.042,-0.505,9.967
0.095275804,0.042,-0.505,9.967
0.099245496,0.08,-0.467,9.967
0.103215985,0.08,-0.467,9.967
0.10718552,0.08,-0.505,9.967
0.11115475,0.08,-0.505,9.967
0.11512468,0.003,-0.505,10.005
0.11909429,0.08,-0.505,9.967
0.12306406,0.042,-0.467,9.928
0.12703422,0.08,-0.505,9.928
0.13100506,0.042,-0.467,9.928
0.13497569,0.042,-0.467,9.967
0.13894592,0.042,-0.467,9.967
0.14291562,0.08,-0.505,10.005
0.14688501,0.08,-0.467,9.967
0.15085489,0.042,-0.505,9.967
0.15482435,0.042,-0.467,9.967
0.15879403,0.08,-0.467,10.005
0.16276342,0.08,-0.467,9.928
0.16673343,0.08,-0.467,10.005
0.17070326,0.08,-0.505,10.005
0.1746728,0.08,-0.505,9.967
0.1786428,0.08,-0.467,9.967
0.1826128,0.042,-0.467,9.928
0.18658267,0.08,-0.428,9.89
0.19055267,0.08,-0.467,9.928
0.19452229,0.08,-0.467,9.967
0.19849207,0.08,-0.467,9.89
0.20246206,0.08,-0.505,9.967
0.20643206,0.042,-0.505,9.928
0.21040209,0.042,-0.505,9.967
0.21437193,0.08,-0.467,9.967
0.21834147,0.08,-0.467,9.967
0.22231145,0.08,-0.467,10.005
0.22628161,0.08,-0.467,10.005
0.23025209,0.042,-0.467,9.967
0.23422202,0.08,-0.505,10.005
0.23819165,0.08,-0.467,9.928
0.24216118,0.042,-0.467,9.967
0.24613042,0.042,-0.467,9.89
0.25010005,0.08,-0.505,9.967
0.25406912,0.08,-0.505,9.967
0.2580388,0.08,-0.467,10.005
0.26200825,0.042,-0.505,10.005
0.2659778,0.042,-0.467,9.967
0.2699478,0.042,-0.467,9.967
0.2739173,0.042,-0.505,9.928
