TIME,X,Y,Z
0.0,0.042,-0.428,9.392
0.003969539,0.042,-0.467,10.005
0.007938925,0.042,-0.467,9.928
0.011908925,0.08,-0.467,9.967
0.015878772,0.042,-0.467,9.967
0.019849041,0.08,-0.467,9.967
0.023818504,0.08,-0.505,9.967
0.027788963,0.003,-0.467,9.928
0.031758804,0.042,-0.505,9.928
0.035728265,0.042,-0.505,9.967
0.039697956,0.042,-0.505,9.928
0.043667495,0.042,-0.467,9.967
0.047637112,0.003,-0.467,9.967
0.051607035,0.08,-0.505,9.967
0.05557697,0.042,-0.467,9.928
0.059546664,0.042,-0.505,10.005
0.063516125,0.042,-0.505,9.967
0.06748573,0.042,-0.467,10.005
0.071455345,0.042,-0.467,9.967
0.075425506,0.042,-0.467,9.967
0.07939535,0.042,-0.505,9.928
0.083365194,0.042,-0.505,10.005
0.087334506,0.042,-0.505,10.005
0.09130381,0.042,-0.467,9.928
0.09527404,0.042,-0.467,9.967
0.09924397,0.042,-0.467,9.967
0.10321498,0.042,-0.505,9.967
0.10718529,0.042,-0.467,9.967
0.11115559,0.003,-0.467,9.967
0.11512561,0.042,-0.467,10.005
0.11909607,0.042,-0.505,9.967
0.123065606,0.042,-0.467,9.967
0.1270353,0.042,-0.467,9.928
0.131005,0.042,-0.505,9.967
0.13497493,0.042,-0.467,10.005
0.13894543,0.042,-0.467,9.967
0.14291589,0.042,-0.467,9.967
0.14688596,0.042,-0.505,10.005
0.15085593,0.042,-0.467,9.967
0.15482593,0.042,-0.505,9.967
0.1587957,0.042,-0.505,9.967
0.16276576,0.042,-0.467,9.967
0.16673575,0.08,-0.467,9.928
0.17070614,0.08,-0.505,9.967
0.17467637,0.08,-0.467,10.005
0.17864628,0.042,-0.467,10.005
0.1826163,0.042,-0.467,9.967
0.18658592,0.042,-0.505,9.967
0.19055516,0.042,-0.467,9.967
0.19452547,0.003,-0.467,9.967
0.1984957,0.042,-0.467,9.967
0.20246609,0.042,-0.505,9.967
0.20643632,0.08,-0.505,9.967
0.21040626,0.042,-0.505,9.967
0.21437672,0.042,-0.467,9.928
0.21834795,0.042,-0.467,9.967
0.22231841,0.08,-0.467,9.967
0.22628926,0.042,-0.467,9.967
0.2302598,0.08,-0.467,9.967
0.23423027,0.042,-0.467,9.928
0.23820059,0.08,-0.467,9.928
0.24217081,0.042,-0.467,9.967
0.24614082,0.08,-0.467,9.967
0.2501105,0.042,-0.467,9.967
0.25408036,0.08,-0.467,10.005
0.25805098,0.042,-0.467,10.005
0.2620215,0.042,-0.467,9.967
