TIME,X,Y,Z
0.0,0.08,-0.467,9.967
0.003971296,0.08,-0.467,10.005
0.007942911,0.08,-0.467,9.967
0.011914681,0.08,-0.467,9.967
0.015886365,0.042,-0.428,9.967
0.01985798,0.08,-0.467,9.967
0.023829134,0.08,-0.467,9.928
0.027800092,0.08,-0.467,9.967
0.031771783,0.08,-0.505,9.928
0.03574248,0.118,-0.467,9.928
0.03971346,0.08,-0.467,9.967
0.04368469,0.08,-0.505,9.967
0.047655616,0.08,-0.467,9.967
0.051626876,0.08,-0.467,10.005
0.055598106,0.08,-0.467,9.928
0.05956911,0.08,-0.467,9.967
0.06354012,0.08,-0.467,9.928
0.06751119,0.08,-0.467,9.967
0.07148165,0.042,-0.505,10.005
0.07545212,0.08,-0.467,9.967
0.0794232,0.08,-0.467,9.967
0.083394736,0.08,-0.467,10.005
0.08736552,0.08,-0.467,10.005
0.0913366,0.08,-0.467,9.967
0.09530775,0.118,-0.467,9.967
0.09927901,0.08,-0.467,10.005
0.10325047,0.08,-0.467,9.967
0.10722169,0.118,-0.467,9.967
0.11119272,0.08,-0.467,9.967
0.1151641,0.08,-0.467,10.005
0.11913502,0.118,-0.467,9.967
0.12310643,0.08,-0.467,10.005
0.12707758,0.08,-0.505,9.967
0.13104834,0.08,-0.467,9.928
0.13501966,0.042,-0.467,9.967
0.1389912,0.08,-0.505,9.967
0.14296259,0.118,-0.467,9.928
0.1469341,0.08,-0.467,10.005
0.15090518,0.118,-0.505,9.967
0.15487626,0.08,-0.467,9.928
0.15884812,0.08,-0.467,9.967
0.16281958,0.118,-0.467,9.967
0.16679081,0.08,-0.467,9.967
0.17076212,0.08,-0.467,9.967
0.1747335,0.08,-0.467,9.967
0.17870542,0.08,-0.467,10.005
0.1826769,0.08,-0.467,10.005
0.18664852,0.08,-0.467,9.928
0.19062005,0.08,-0.467,9.967
0.19459131,0.08,-0.467,9.967
0.19856268,0.08,-0.505,10.005
0.20253345,0.08,-0.467,9.967
0.20650439,0.118,-0.505,10.005
0.21047509,0.08,-0.467,9.967
0.21444592,0.118,-0.505,9.89
0.21841691,0.08,-0.467,10.005
0.22238822,0.08,-0.467,9.967
0.22635952,0.08,-0.505,9.928
0.23033077,0.118,-0.467,9.967
0.23430192,0.08,-0.467,9.967
0.23827277,0.118,-0.428,9.967
0.24224378,0.08,-0.467,9.967
0.246215,0.118,-0.428,10.005
0.25018638,0.08,-0.467,10.005
0.25415716,0.08,-0.505,10.005
0.2581281,0.042,-0.505,10.005
0.26209894,0.08,-0.467,9.967
0.26606962,0.08,-0.467,9.967
0.270041,0.08,-0.505,9.967
0.2740124,0.08,-0.467,9.967
0.27798423,0.042,-0.467,9.967
0.2819559,0.08,-0.467,9.967
0.28592768,0.08,-0.467,9.967
0.2898993,0.042,-0.505,9.967
0.29387122,0.08,-0.505,10.005
0.2978426,0.08,-0.505,9.928
0.30181414,0.08,-0.505,9.967
0.30578545,0.08,-0.467,9.967
0.30975714,0.08,-0.467,9.967
0.31372914,0.08,-0.505,10.005
0.3177006,0.08,-0.505,10.005
0.32167155,0.08,-0.467,9.967
0.32564232,0.08,-0.505,9.967
0.3296134,0.118,-0.467,9.967
0.333585,0.08,-0.467,9.967
0.33755687,0.042,-0.467,10.005
0.34152865,0.042,-0.467,9.967
0.3454996,0.08,-0.505,10.005
0.34947088,0.08,-0.467,9.928
0.3534421,0.118,-0.467,9.967
0.3574134,0.118,-0.505,9.928
0.36138448,0.08,-0.505,9.967
0.36535603,0.08,-0.467,10.005
0.36932743,0.08,-0.467,9.967
0.37329894,0.08,-0.467,9.928
0.3772708,0.118,-0.467,10.005
0.3812418,0.08,-0.467,9.928
0.38521263,0.042,-0.467,10.005
0.3891836,0.08,-0.467,10.005
0.3931547,0.118,-0.505,9.967
0.39712563,0.118,-0.505,9.967
0.4010971,0.118,-0.467,10.043
0.4050683,0.08,-0.467,10.005
0.40903932,0.08,-0.505,9.89
0.41301,0.08,-0.505,9.928
0.41698134,0.118,-0.467,10.005
0.4209531,0.08,-0.467,10.043
0.4249243,0.042,-0.467,10.043
0.42889518,0.042,-0.467,9.928
0.43286586,0.08,-0.467,9.967
0.4368362,0.118,-0.505,10.043
0.4408076,0.08,-0.428,9.967
0.44477823,0.08,-0.505,9.928
0.44874886,0.08,-0.467,10.005
0.4527194,0.08,-0.505,9.89
0.45668995,0.08,-0.505,9.928
0.46066064,0.08,-0.505,9.967
0.46463194,0.08,-0.505,9.928
0.46860278,0.08,-0.467,9.928
0.4725743,0.08,-0.467,10.005
0.47654548,0.08,-0.505,9.928
0.48051655,0.08,-0.505,9.928
0.48448762,0.08,-0.467,9.967
0.48845878,0.042,-0.467,9.928
0.4924304,0.118,-0.467,9.928
0.4964018,0.08,-0.505,10.005
0.50037354,0.08,-0.467,9.928
0.50434524,0.08,-0.467,9.928
0.5083175,0.08,-0.467,9.967
0.5122899,0.118,-0.467,9.89
0.5162617,0.08,-0.467,9.928
0.52023315,0.08,-0.505,10.005
0.524204,0.08,-0.467,9.967
0.5281754,0.08,-0.505,9.967
0.5321469,0.003,-0.467,9.967
0.53611803,0.08,-0.505,9.928
0.5400899,0.08,-0.467,9.967
0.544062,0.08,-0.467,10.005
0.54803455,0.08,-0.467,9.967
0.5520078,0.042,-0.467,9.967
0.5559798,0.08,-0.505,9.967
0.5599511,0.042,-0.467,9.967
0.5639228,0.08,-0.467,9.967
0.5678947,0.08,-0.505,10.005
0.5718666,0.08,-0.467,9.928
0.5758379,0.08,-0.467,9.928
0.5798092,0.08,-0.467,9.967
0.58378077,0.08,-0.505,9.967
0.5877523,0.08,-0.467,9.967
0.591724,0.08,-0.467,9.967
0.5956955,0.042,-0.467,10.005
0.59966654,0.08,-0.467,9.967
0.6036379,0.08,-0.467,9.967
0.6076094,0.08,-0.467,9.967
0.6115801,0.042,-0.467,9.928
0.6155516,0.08,-0.505,9.967
0.61952347,0.118,-0.467,10.005
0.62349564,0.08,-0.467,10.005
0.6274676,0.042,-0.505,9.967
0.6314392,0.08,-0.467,9.967
0.6354112,0.08,-0.505,9.967
0.63938254,0.08,-0.428,9.967
0.6433543,0.042,-0.467,9.928
0.6473256,0.08,-0.467,9.967
0.6512967,0.08,-0.505,9.967
0.65526843,0.08,-0.467,9.928
0.6592406,0.08,-0.467,9.967
0.6632124,0.08,-0.467,9.967
0.667184,0.08,-0.505,10.005
0.6711553,0.118,-0.467,9.967
0.67512673,0.08,-0.467,9.967
0.67909855,0.08,-0.505,10.005
0.6830706,0.118,-0.467,9.967
0.6870421,0.08,-0.467,9.928
0.69101405,0.08,-0.467,9.967
0.69498587,0.08,-0.467,9.967
0.698958,0.08,-0.467,9.967
0.7029297,0.08,-0.505,9.928
0.7069012,0.08,-0.505,9.928
0.7108717,0.08,-0.467,10.005
0.71484286,0.08,-0.467,9.967
0.71881425,0.042,-0.467,9.967
0.7227857,0.118,-0.467,9.928
0.7267576,0.08,-0.467,9.928
0.7307298,0.08,-0.505,9.967
0.73470175,0.042,-0.505,9.928
0.7386734,0.08,-0.467,9.967
0.7426448,0.08,-0.467,10.005
0.7466161,0.08,-0.505,9.967
0.7505873,0.08,-0.467,10.005
0.754558,0.08,-0.505,9.967
0.75852907,0.08,-0.467,10.005
0.7625,0.08,-0.467,9.967
0.7664715,0.08,-0.505,9.928
0.770443,0.118,-0.467,9.967
0.77441436,0.08,-0.467,10.005
0.77838546,0.08,-0.467,9.967
0.7823561,0.08,-0.428,10.005
0.7863264,0.08,-0.467,9.967
0.79029715,0.08,-0.467,9.967
0.7942685,0.042,-0.467,9.967
0.7982393,0.042,-0.428,10.005
0.80221045,0.08,-0.467,9.928
0.80618113,0.08,-0.467,9.967
