TIME,X,Y,Z
0.0,1.037,-2.382,9.737
0.003962455,0.999,-2.382,9.622
0.007923993,0.999,-2.458,9.622
0.011885916,1.037,-2.42,9.699
0.015848072,1.037,-2.382,9.775
0.01981015,1.037,-2.382,9.699
0.023772229,1.076,-2.42,9.737
0.02773461,1.076,-2.42,9.89
0.03169738,1.037,-2.382,9.775
0.035659533,1.037,-2.42,9.737
0.039621133,1.037,-2.458,9.737
0.04358344,0.999,-2.382,9.737
0.047545593,1.037,-2.382,9.699
0.05150691,1.037,-2.42,9.699
0.055468377,1.076,-2.382,9.699
0.059429914,1.037,-2.42,9.775
0.06339123,1.037,-2.42,9.737
0.067353,1.076,-2.382,9.737
0.07131439,1.076,-2.382,9.737
0.075275674,1.037,-2.382,9.699
0.07923698,1.037,-2.42,9.699
0.08319913,0.999,-2.458,9.737
0.08716121,1.037,-2.382,9.737
0.091122985,1.076,-2.42,9.66
0.09508437,1.037,-2.42,9.775
0.099046305,1.037,-2.42,9.737
0.10300769,1.037,-2.42,9.737
0.10697007,1.037,-2.458,9.737
0.11093212,1.076,-2.42,9.775
0.11489412,1.037,-2.458,9.737
0.11885612,0.999,-2.382,9.775
0.12281793,0.999,-2.42,9.699
0.12678,0.999,-2.42,9.66
0.13074262,0.999,-2.42,9.737
0.13470441,1.037,-2.42,9.737
0.13866626,1.037,-2.382,9.737
0.14262773,1.037,-2.382,9.737
0.14658943,1.037,-2.42,9.775
0.15055189,0.999,-2.382,9.775
0.15451443,1.076,-2.42,9.699
0.15847772,1.076,-2.42,9.737
0.16243988,0.999,-2.42,9.737
0.16640204,0.999,-2.382,9.737
0.17036405,0.999,-2.42,9.737
0.17432605,1.037,-2.42,9.66
0.17828852,1.076,-2.42,9.737
0.18225074,1.076,-2.42,9.737
0.18621282,1.037,-2.42,9.737
0.19017482,0.999,-2.42,9.775
0.19413714,1.037,-2.42,9.737
0.19809936,1.076,-2.42,9.737
0.20206204,1.076,-2.382,9.737
0.20602514,1.076,-2.42,9.737
0.20998736,1.037,-2.42,9.737
0.21394983,1.037,-2.42,9.737
0.21791236,0.999,-2.42,9.737
0.22187476,1.037,-2.42,9.775
0.22583714,1.037,-2.382,9.737
0.22980015,1.037,-2.382,9.737
0.23376314,1.037,-2.42,9.737
0.23772544,1.037,-2.42,9.737
0.24168736,1.037,-2.42,9.699
0.24564968,1.037,-2.42,9.737
0.24961206,1.037,-2.42,9.737
0.25357452,1.037,-2.42,9.737
0.25753766,1.037,-2.42,9.775
0.2615007,1.037,-2.42,9.737
0.26546338,1.037,-2.42,9.775
0.2694252,1.037,-2.42,9.737
0.27338755,1.037,-2.42,9.737
0.27734962,1.037,-2.42,9.775
0.28131178,1.037,-2.382,9.775
0.28527337,1.037,-2.42,9.66
0.28923538,1.037,-2.42,9.737
0.29319692,1.037,-2.42,9.737
0.29715884,1.037,-2.382,9.775
0.3011207,1.037,-2.42,9.699
0.30508262,1.037,-2.42,9.737
0.30904508,1.037,-2.42,9.775
0.3130076,0.999,-2.382,9.775
0.31697005,1.037,-2.382,9.699
