TIME,X,Y,Z
0.0,0.08,-0.39,9.392
0.003968758,0.08,-0.467,10.005
0.007937527,0.042,-0.428,9.967
0.011906373,0.08,-0.39,9.967
0.015875004,0.118,-0.428,9.928
0.019843776,0.08,-0.428,9.967
0.023812853,0.08,-0.428,9.967
0.02778246,0.08,-0.428,9.967
0.031751383,0.08,-0.428,9.967
0.035720304,0.08,-0.428,9.967
0.039689165,0.08,-0.467,9.967
0.043658163,0.042,-0.428,9.967
0.047626473,0.08,-0.428,9.928
0.051595725,0.08,-0.428,10.005
0.0555658,0.08,-0.467,9.967
0.05953595,0.08,-0.428,9.967
0.063505426,0.118,-0.428,9.967
0.06747512,0.08,-0.428,9.967
0.071444586,0.08,-0.428,9.967
0.0754142,0.08,-0.428,9.967
0.079383515,0.08,-0.428,9.967
0.083352745,0.08,-0.428,10.005
0.08732181,0.08,-0.428,9.967
0.0912915,0.042,-0.428,9.967
0.095260195,0.08,-0.467,9.967
0.09922944,0.042,-0.428,9.967
0.103198595,0.08,-0.467,9.967
0.10716744,0.08,-0.428,9.967
0.1111366,0.08,-0.467,10.005
0.11510537,0.08,-0.467,9.967
0.11907422,0.08,-0.428,9.928
0.123043075,0.08,-0.428,9.967
0.12701222,0.118,-0.428,9.967
0.13098083,0.08,-0.428,9.967
0.13494939,0.08,-0.428,9.967
0.13891886,0.118,-0.467,9.928
0.14288771,0.118,-0.428,9.967
0.14685649,0.08,-0.428,9.967
0.15082633,0.08,-0.428,9.967
0.15479563,0.08,-0.428,9.967
0.15876494,0.08,-0.467,9.967
0.1627338,0.08,-0.428,9.967
0.16670264,0.118,-0.39,9.967
0.17067133,0.118,-0.428,9.967
0.17463996,0.118,-0.467,9.967
0.17860894,0.08,-0.428,9.928
0.18257834,0.08,-0.428,9.967
0.18654788,0.08,-0.467,9.967
0.1905178,0.118,-0.467,10.005
0.1944879,0.08,-0.428,10.005
0.19845738,0.08,-0.428,10.005
0.20242697,0.08,-0.428,9.928
0.2063965,0.08,-0.428,9.967
0.21036567,0.08,-0.39,9.967
0.21433435,0.042,-0.39,9.928
0.21830338,0.08,-0.428,9.967
0.22227322,0.118,-0.428,9.967
0.22624245,0.08,-0.428,9.928
0.23021175,0.08,-0.467,10.005
0.23418112,0.08,-0.428,9.928
0.2381505,0.118,-0.428,9.967
0.24212003,0.08,-0.428,9.928
0.2460898,0.08,-0.428,9.967
0.25005928,0.08,-0.428,9.967
0.25402895,0.08,-0.428,9.967
0.25799856,0.08,-0.428,9.967
0.2619684,0.08,-0.428,9.967
0.26593834,0.08,-0.467,9.967
0.26990765,0.08,-0.428,9.967
0.27387708,0.08,-0.428,9.967
0.27784622,0.08,-0.39,9.967
0.2818156,0.118,-0.428,9.967
0.2857849,0.118,-0.39,9.967
0.28975368,0.08,-0.428,9.928
0.2937222,0.118,-0.428,9.967
0.29769126,0.08,-0.428,9.967
0.30166075,0.08,-0.428,9.967
0.30563012,0.118,-0.467,9.967
0.3095992,0.08,-0.467,9.967
0.31356826,0.08,-0.428,9.928
0.31753772,0.08,-0.467,9.928
0.3215069,0.042,-0.467,9.928
0.3254758,0.08,-0.428,9.928
0.32944527,0.08,-0.467,9.967
0.33341515,0.118,-0.467,9.967
0.337385,0.08,-0.467,9.967
0.34135452,0.042,-0.428,9.967
0.34532383,0.08,-0.428,9.967
0.34929267,0.042,-0.428,9.967
0.35326165,0.118,-0.428,9.967
0.35723087,0.08,-0.467,9.967
0.36120066,0.118,-0.428,9.967
0.36517015,0.08,-0.428,9.967
0.36913958,0.08,-0.467,9.967
0.37310937,0.08,-0.428,9.967
0.3770792,0.118,-0.467,9.967
0.38104907,0.08,-0.467,9.967
0.38501865,0.08,-0.428,9.928
0.38898835,0.08,-0.467,9.89
0.39295772,0.08,-0.428,9.967
0.3969273,0.08,-0.428,10.043
0.4008975,0.08,-0.467,9.89
0.40486753,0.118,-0.428,9.928
0.40883705,0.08,-0.467,9.928
0.41280672,0.08,-0.428,10.043
0.41677564,0.08,-0.428,10.005
0.420745,0.08,-0.467,9.967
0.42471445,0.08,-0.428,9.89
0.42868423,0.08,-0.428,9.89
0.43265367,0.08,-0.428,9.928
0.43662304,0.042,-0.428,9.852
0.44059214,0.08,-0.467,9.967
0.44456115,0.118,-0.467,9.89
0.44853008,0.08,-0.505,9.89
0.4524982,0.08,-0.428,10.082
0.4564673,0.08,-0.39,9.967
0.460436,0.08,-0.467,9.928
0.4644047,0.08,-0.467,10.043
0.4683736,0.118,-0.467,9.967
0.47234282,0.08,-0.428,9.928
0.47631168,0.08,-0.467,9.89
0.48028034,0.08,-0.505,10.005
0.4842492,0.08,-0.428,9.967
0.48821837,0.08,-0.39,9.967
0.49218762,0.08,-0.467,9.928
0.49615645,0.118,-0.428,9.967
0.50012565,0.08,-0.467,9.928
0.50409454,0.08,-0.428,10.005
0.5080632,0.08,-0.467,9.967
0.5120318,0.042,-0.428,9.928
0.5160009,0.118,-0.428,10.005
0.5199699,0.042,-0.428,10.005
0.52393854,0.08,-0.428,10.005
0.52790743,0.08,-0.428,9.928
0.5318757,0.08,-0.428,9.967
0.53584427,0.118,-0.428,10.005
0.53981245,0.08,-0.428,10.005
0.5437806,0.08,-0.428,9.928
0.5477484,0.08,-0.428,9.89
0.5517161,0.08,-0.467,9.967
0.555684,0.08,-0.467,9.967
0.55965203,0.118,-0.428,10.005
