TIME,X,Y,Z
0.0,0.042,-0.428,9.967
0.003960981,0.042,-0.428,9.928
0.007922058,0.042,-0.39,9.89
0.011883828,0.042,-0.39,9.928
0.015845211,0.042,-0.39,10.005
0.019806365,0.042,-0.39,9.928
0.023767596,0.003,-0.39,9.967
0.027728911,0.042,-0.428,9.928
0.031690143,0.042,-0.39,9.928
0.035650834,0.042,-0.39,9.967
0.039611455,0.042,-0.428,9.928
0.04357192,0.042,-0.428,9.928
0.04753338,0.042,-0.428,9.928
0.0514944,0.042,-0.39,9.928
0.05545594,0.042,-0.39,9.928
0.059417248,0.042,-0.428,9.928
0.063378334,0.042,-0.39,9.89
0.06733887,0.003,-0.428,9.928
0.07129979,0.042,-0.39,9.928
0.07526119,0.042,-0.39,9.928
0.07922188,0.08,-0.39,9.928
0.083182804,0.042,-0.39,9.928
0.08714366,0.042,-0.467,9.967
0.09110443,0.042,-0.39,9.89
0.09506582,0.042,-0.39,9.967
0.09902698,0.042,-0.39,9.928
0.102987826,0.042,-0.39,9.967
0.10694882,0.042,-0.428,9.967
0.11090976,0.042,-0.428,9.967
0.11487076,0.042,-0.39,9.967
0.11883214,0.042,-0.39,9.967
0.12279345,0.042,-0.39,9.967
0.12675469,0.042,-0.39,9.928
0.1307159,0.003,-0.428,9.967
0.13467744,0.042,-0.39,9.928
0.13863884,0.042,-0.39,9.928
0.14259982,0.042,-0.428,9.89
0.14656076,0.042,-0.428,9.967
0.15052222,0.042,-0.39,9.928
0.15448321,0.042,-0.428,9.928
0.15844484,0.042,-0.428,9.928
0.16240631,0.042,-0.39,9.928
0.16636792,0.042,-0.428,9.928
0.17032947,0.042,-0.428,9.928
0.17429103,0.042,-0.428,9.928
0.17825232,0.042,-0.428,9.928
0.18221387,0.08,-0.39,9.928
0.18617563,0.042,-0.39,9.928
0.19013749,0.042,-0.39,9.928
0.19409882,0.042,-0.39,9.928
0.19806059,0.003,-0.39,9.928
0.20202267,0.042,-0.428,9.928
0.2059843,0.042,-0.428,10.005
0.20994538,0.003,-0.428,9.928
0.21390636,0.042,-0.39,9.967
0.21786729,0.042,-0.39,9.928
0.22182913,0.042,-0.39,9.89
0.22578974,0.003,-0.39,9.89
0.22975019,0.042,-0.428,9.967
0.23371103,0.042,-0.428,9.928
0.23767312,0.042,-0.39,9.928
0.2416345,0.042,-0.428,9.967
0.24559635,0.042,-0.39,9.89
0.24955757,0.042,-0.352,9.89
0.25351888,0.042,-0.39,9.89
0.2574801,0.042,-0.428,9.928
0.26144165,0.042,-0.39,9.928
0.26540318,0.042,-0.39,9.928
0.26936442,0.042,-0.39,9.928
0.27332556,0.042,-0.39,9.928
0.27728695,0.003,-0.39,9.967
0.28124815,0.003,-0.39,9.928
0.28520963,0.042,-0.39,9.928
0.28917086,0.042,-0.39,9.928
0.29313263,0.042,-0.428,9.967
0.29709378,0.042,-0.39,9.928
0.30105516,0.042,-0.39,10.005
0.30501664,0.042,-0.39,9.967
0.30897817,0.042,-0.428,9.928
0.31293982,0.042,-0.428,9.928
0.3169015,0.003,-0.39,9.928
0.32086343,0.042,-0.428,9.967
0.3248249,0.042,-0.428,9.928
0.3287865,0.042,-0.428,9.89
0.33274758,0.003,-0.428,9.928
0.33670866,0.042,-0.428,9.928
0.34066933,0.08,-0.39,9.967
0.3446305,0.042,-0.39,9.967
0.34859228,0.042,-0.39,9.967
0.35255334,0.042,-0.39,9.928
0.3565146,0.003,-0.39,9.928
0.3604755,0.042,-0.39,9.928
0.3644367,0.042,-0.39,9.928
0.36839804,0.08,-0.39,9.928
0.37235942,0.042,-0.428,9.967
0.37632096,0.042,-0.39,9.967
0.38028276,0.042,-0.39,9.967
0.3842445,0.042,-0.428,9.967
0.38820633,0.042,-0.428,9.967
0.39216766,0.042,-0.39,9.967
