TIME,X,Y,Z
0.0,0.08,-0.467,9.967
0.003968307,0.08,-0.467,9.967
0.00793652,0.08,-0.467,9.928
0.011905443,0.08,-0.467,9.967
0.015874136,0.08,-0.467,9.967
0.0198429,0.08,-0.467,9.928
0.023811977,0.08,-0.428,9.967
0.027780516,0.08,-0.428,9.928
0.0317489,0.118,-0.467,9.928
0.035717666,0.118,-0.428,9.967
0.03968605,0.118,-0.39,9.928
0.043654297,0.08,-0.428,9.967
0.047622982,0.08,-0.428,10.005
0.05159168,0.08,-0.39,9.928
0.055559773,0.118,-0.428,9.967
0.059528314,0.08,-0.428,9.967
0.06349646,0.08,-0.467,9.967
0.06746463,0.08,-0.428,10.005
0.071433246,0.042,-0.467,9.967
0.0754017,0.08,-0.428,10.005
0.07937015,0.042,-0.467,9.967
0.083338685,0.08,-0.428,10.005
0.087307155,0.042,-0.428,9.928
0.09127585,0.118,-0.428,9.928
0.095244616,0.118,-0.467,10.005
0.099213384,0.118,-0.428,9.928
0.10318256,0.118,-0.428,9.928
0.1071511,0.118,-0.428,9.967
0.111119874,0.118,-0.428,9.967
0.115087405,0.08,-0.428,9.928
0.11905556,0.08,-0.428,9.967
0.12302417,0.08,-0.428,9.928
0.12699232,0.08,-0.467,9.928
0.13096124,0.042,-0.467,9.967
0.13492955,0.042,-0.467,9.967
0.13889778,0.118,-0.467,9.928
0.14286616,0.08,-0.428,9.967
0.14683463,0.08,-0.428,9.967
0.15080298,0.08,-0.467,9.928
0.15477198,0.08,-0.428,10.005
0.15874076,0.08,-0.39,9.967
0.16270946,0.118,-0.428,9.928
0.16667831,0.08,-0.428,10.005
0.170647,0.118,-0.428,9.967
0.17461574,0.118,-0.467,9.928
0.17858405,0.08,-0.428,9.967
0.18255298,0.08,-0.467,9.967
0.18652129,0.08,-0.428,10.005
0.19048929,0.042,-0.467,9.967
0.1944573,0.118,-0.467,9.967
0.19842517,0.08,-0.467,9.967
0.20239325,0.08,-0.467,9.967
0.20636155,0.08,-0.428,9.967
0.21032995,0.118,-0.428,9.928
0.21429886,0.118,-0.428,9.967
0.21826763,0.08,-0.428,9.967
0.22223595,0.08,-0.39,9.928
0.22620472,0.08,-0.39,10.005
0.2301735,0.08,-0.428,9.967
0.2341424,0.08,-0.428,9.928
0.23811156,0.042,-0.428,9.967
0.24208054,0.042,-0.467,9.967
0.24604976,0.08,-0.428,9.967
0.25001892,0.118,-0.467,9.967
0.25398767,0.08,-0.39,10.005
0.2579558,0.08,-0.428,9.928
0.261924,0.08,-0.467,9.967
0.26589248,0.118,-0.428,10.005
0.26986063,0.08,-0.428,9.89
0.2738291,0.08,-0.428,9.928
0.27779764,0.08,-0.428,9.967
0.28176594,0.08,-0.428,9.928
0.28573403,0.118,-0.428,9.967
0.28970233,0.118,-0.467,9.928
0.29367062,0.118,-0.428,9.928
0.2976395,0.08,-0.428,9.967
0.30160815,0.08,-0.428,9.967
0.30557686,0.118,-0.428,9.928
0.30954546,0.08,-0.428,9.967
0.31351408,0.08,-0.428,9.967
0.31748286,0.08,-0.428,9.967
0.32145223,0.08,-0.428,10.005
0.3254213,0.08,-0.428,9.928
0.3293899,0.118,-0.428,9.967
0.33335802,0.08,-0.467,9.967
0.33732694,0.08,-0.467,9.928
0.34129572,0.08,-0.39,9.928
0.34526426,0.042,-0.467,9.967
0.34923303,0.08,-0.428,9.967
0.3532018,0.08,-0.428,9.967
0.3571708,0.042,-0.467,9.928
0.3611394,0.08,-0.428,9.967
0.36510795,0.08,-0.428,9.967
0.36907586,0.08,-0.428,9.967
0.37304404,0.08,-0.428,9.967
0.37701234,0.08,-0.428,9.967
0.38098067,0.08,-0.467,9.928
0.38495058,0.118,-0.467,9.967
0.38891855,0.08,-0.467,9.967
0.39288712,0.08,-0.428,10.005
0.39685547,0.042,-0.428,9.967
0.40082347,0.118,-0.428,10.005
0.40479138,0.08,-0.428,10.005
0.40876004,0.118,-0.428,10.005
0.41272864,0.08,-0.428,10.005
0.41669664,0.042,-0.467,9.967
0.42066464,0.08,-0.505,10.043
0.42463303,0.118,-0.467,9.967
0.42860103,0.08,-0.467,9.928
0.4325695,0.08,-0.39,9.89
0.43653843,0.118,-0.428,9.967
0.44050735,0.08,-0.428,10.005
0.4444768,0.08,-0.428,9.928
0.44844535,0.08,-0.428,10.005
0.45241356,0.08,-0.467,9.967
0.456382,0.118,-0.428,9.967
0.46035025,0.118,-0.428,9.928
0.4643184,0.08,-0.428,9.967
0.46828634,0.08,-0.428,9.967
0.47225478,0.08,-0.428,9.928
0.47622293,0.08,-0.428,9.967
0.48019177,0.08,-0.428,10.005
0.48416024,0.118,-0.428,9.967
0.48812863,0.08,-0.467,9.967
0.4920967,0.08,-0.428,9.967
0.4960648,0.08,-0.428,9.89
0.5000326,0.08,-0.428,10.005
0.50400007,0.08,-0.428,9.967
0.5079682,0.118,-0.428,9.967
0.5119364,0.08,-0.467,10.005
0.51590466,0.08,-0.428,10.005
0.51987296,0.08,-0.428,9.928
0.523842,0.08,-0.467,9.928
0.5278113,0.118,-0.428,9.967
0.53178054,0.08,-0.467,9.928
0.53574896,0.118,-0.467,9.967
0.5397176,0.08,-0.467,9.967
0.54368585,0.08,-0.428,9.967
0.5476544,0.08,-0.467,10.005
0.551623,0.08,-0.428,10.005
0.5555919,0.118,-0.428,9.967
0.5595602,0.08,-0.428,9.928
0.56352925,0.08,-0.428,10.005
0.56749856,0.118,-0.428,9.967
0.57146764,0.08,-0.428,9.967
0.5754366,0.118,-0.428,9.967
0.5794053,0.08,-0.467,9.928
0.58337414,0.118,-0.467,9.967
0.5873426,0.118,-0.428,9.967
0.5913113,0.08,-0.428,9.928
0.59528,0.08,-0.467,10.005
0.59924823,0.08,-0.428,9.967
0.6032167,0.08,-0.428,9.967
0.6071849,0.042,-0.428,9.967
0.6111534,0.118,-0.467,9.967
0.61512214,0.08,-0.428,9.967
0.6190911,0.042,-0.428,9.967
0.6230603,0.118,-0.428,9.967
0.6270295,0.08,-0.467,9.967
0.63099813,0.118,-0.428,9.928
0.6349667,0.08,-0.428,9.967
0.63893497,0.08,-0.428,9.928
0.64290303,0.08,-0.428,9.967
0.646872,0.042,-0.467,10.005
0.65084004,0.118,-0.428,9.928
0.65480834,0.08,-0.467,9.928
0.65877664,0.08,-0.467,9.967
0.6627453,0.08,-0.467,9.928
0.66671365,0.118,-0.428,9.967
0.67068166,0.042,-0.467,9.967
0.67464966,0.118,-0.467,9.89
0.6786182,0.08,-0.428,9.967
0.6825866,0.08,-0.428,9.967
0.68655497,0.08,-0.428,9.967
0.69052386,0.042,-0.428,10.005
0.69449234,0.042,-0.428,9.928
0.6984609,0.08,-0.428,9.967
0.7024291,0.042,-0.428,9.967
0.70639694,0.08,-0.428,9.967
0.7103649,0.08,-0.428,9.967
0.7143325,0.08,-0.428,9.967
0.71830124,0.08,-0.428,9.967
0.72226995,0.08,-0.467,9.967
