TIME,X,Y,Z
0.0,0.961,-2.228,9.316
0.003962153,1.037,-2.458,9.852
0.007924439,1.076,-2.42,9.699
0.011886747,1.037,-2.42,9.775
0.015848825,1.037,-2.42,9.89
0.019810751,1.076,-2.458,9.699
0.023772908,0.999,-2.42,9.66
0.0277346,1.037,-2.42,9.737
0.03169591,0.999,-2.42,9.775
0.035657983,1.037,-2.42,9.66
0.03962037,0.999,-2.42,9.66
0.043582465,1.037,-2.42,9.775
0.047544464,1.076,-2.382,9.814
0.051506773,1.037,-2.42,9.737
0.05546893,1.076,-2.42,9.66
0.05943039,1.037,-2.42,9.814
0.063392475,1.037,-2.42,9.852
0.06735495,1.037,-2.42,9.66
0.07131717,1.076,-2.42,9.622
0.07527948,0.999,-2.458,9.852
0.07924201,0.999,-2.42,9.814
0.08320471,1.076,-2.382,9.622
0.0871671,1.037,-2.458,9.737
0.091129534,0.999,-2.42,9.89
0.095092,1.076,-2.382,9.699
0.09905477,1.076,-2.382,9.66
0.10301722,0.999,-2.458,9.814
0.10697968,1.037,-2.42,9.737
0.110942066,1.037,-2.42,9.699
0.114904545,1.037,-2.42,9.699
0.11886701,0.999,-2.42,9.737
0.1228297,1.037,-2.42,9.699
0.12679215,1.037,-2.458,9.775
0.13075484,1.037,-2.42,9.737
0.13471669,1.076,-2.42,9.699
0.13867936,1.037,-2.382,9.814
0.1426415,1.037,-2.458,9.814
0.14660375,1.037,-2.42,9.622
0.15056626,1.076,-2.42,9.775
0.15452857,0.999,-2.458,9.814
0.1584912,1.037,-2.42,9.66
0.16245352,1.076,-2.42,9.66
0.16641636,0.999,-2.42,9.852
0.170379,0.999,-2.458,9.775
0.17434222,1.076,-2.458,9.622
0.17830497,1.076,-2.42,9.775
0.18226744,0.999,-2.382,9.775
0.18622954,1.076,-2.42,9.66
0.19019169,1.037,-2.458,9.699
0.19415353,0.999,-2.42,9.814
0.19811577,1.037,-2.42,9.737
0.2020777,1.076,-2.458,9.622
0.20603992,1.037,-2.42,9.814
0.2100016,1.037,-2.42,9.737
0.21396393,1.037,-2.42,9.699
0.21792653,0.999,-2.458,9.737
0.2218886,1.037,-2.382,9.699
0.22585152,1.037,-2.42,9.699
0.22981429,1.037,-2.42,9.699
0.2337769,1.037,-2.458,9.737
0.23773958,1.076,-2.42,9.699
0.24170251,1.037,-2.458,9.775
0.24566543,0.999,-2.42,9.775
0.24962835,1.076,-2.382,9.699
0.25359136,1.076,-2.42,9.699
0.25755456,1.037,-2.458,9.775
0.2615178,1.037,-2.382,9.737
0.26547948,1.076,-2.42,9.66
0.26944202,0.999,-2.42,9.775
0.27340487,1.037,-2.42,9.814
0.27736756,1.076,-2.42,9.66
0.28133062,1.076,-2.42,9.699
0.28529346,0.999,-2.458,9.814
0.28925616,1.037,-2.42,9.737
0.29321817,1.037,-2.42,9.622
0.29718032,1.037,-2.458,9.737
0.30114272,1.037,-2.42,9.814
0.3051051,1.037,-2.458,9.737
0.30906755,1.037,-2.42,9.775
0.3130298,1.037,-2.42,9.699
0.3169921,1.037,-2.458,9.737
0.3209547,1.037,-2.42,9.775
0.32491812,1.037,-2.42,9.66
0.328881,0.999,-2.458,9.699
0.33284307,0.999,-2.42,9.775
0.33680588,1.037,-2.42,9.699
0.34076858,1.076,-2.42,9.66
0.3447317,1.037,-2.458,9.852
0.34869444,1.037,-2.42,9.775
0.35265672,1.037,-2.42,9.622
0.35661942,1.037,-2.42,9.737
0.36058158,1.037,-2.458,9.814
0.36454296,1.037,-2.382,9.699
0.36850473,1.037,-2.458,9.737
0.3724666,1.037,-2.458,9.814
0.37642872,1.037,-2.382,9.737
0.38039082,1.037,-2.382,9.66
0.38435352,1.037,-2.458,9.737
0.38831598,1.037,-2.42,9.814
0.39227837,1.037,-2.382,9.66
0.39624113,1.037,-2.42,9.737
0.40020373,1.037,-2.458,9.814
0.40416658,1.037,-2.42,9.737
0.4081289,1.037,-2.42,9.699
0.4120916,1.037,-2.458,9.775
0.4160543,1.037,-2.42,9.775
0.4200171,1.037,-2.42,9.699
0.42397916,1.037,-2.42,9.699
0.42794186,1.037,-2.42,9.814
0.43190387,1.037,-2.42,9.737
0.4358653,1.037,-2.382,9.775
0.439827,1.037,-2.42,9.775
0.4437891,1.037,-2.382,9.775
0.44775116,1.037,-2.42,9.737
0.45171317,1.037,-2.458,9.737
0.45567524,1.037,-2.42,9.775
0.45963725,1.037,-2.42,9.775
0.4635996,1.037,-2.42,9.737
0.46756196,1.037,-2.458,9.699
0.4715247,1.037,-2.42,9.737
0.4754874,1.037,-2.42,9.775
0.47944996,1.037,-2.382,9.699
0.48341236,1.037,-2.458,9.66
0.48737428,1.037,-2.42,9.699
0.49133697,1.037,-2.382,9.66
0.49530002,0.999,-2.42,9.699
0.49926326,0.999,-2.382,9.775
0.5032264,1.037,-2.42,9.814
0.50718933,1.037,-2.382,9.89
0.51115257,0.999,-2.42,9.852
0.5151155,0.999,-2.42,9.814
0.51907855,1.037,-2.458,9.66
0.5230413,1.037,-2.42,9.66
0.527004,0.999,-2.458,9.737
0.53096616,1.037,-2.42,9.622
