TIME,X,Y,Z
0.0,0.042,-0.428,9.775
0.003970724,0.08,-0.467,9.89
0.007941571,0.08,-0.467,10.043
0.011911494,0.08,-0.467,9.967
0.01588151,0.08,-0.467,9.967
0.019851433,0.08,-0.467,10.005
0.023821356,0.08,-0.467,9.967
0.027791683,0.08,-0.467,9.928
0.03176222,0.08,-0.467,9.967
0.035732605,0.08,-0.428,9.967
0.039702445,0.08,-0.428,9.967
0.043672442,0.042,-0.505,9.967
0.047642983,0.042,-0.467,10.005
0.05161254,0.042,-0.428,9.967
0.055582233,0.118,-0.467,9.967
0.05955231,0.118,-0.467,9.967
0.063523,0.042,-0.467,9.967
0.06749362,0.042,-0.428,9.967
0.0714637,0.08,-0.467,9.967
0.07543402,0.08,-0.467,9.967
0.079404175,0.042,-0.467,9.967
0.08337417,0.042,-0.467,9.967
0.08734455,0.003,-0.467,10.005
0.091314785,0.042,-0.428,9.967
0.09528501,0.042,-0.467,10.005
0.09925571,0.118,-0.467,10.005
0.103226714,0.08,-0.467,10.005
0.10719764,0.08,-0.505,9.967
0.111168325,0.118,-0.467,9.928
0.11513902,0.08,-0.428,9.967
0.119109794,0.08,-0.428,9.967
0.12308004,0.118,-0.428,10.005
0.12705065,0.08,-0.467,10.005
0.13102196,0.08,-0.467,10.005
0.13499212,0.042,-0.467,9.967
0.13896243,0.08,-0.467,9.967
0.14293267,0.08,-0.467,9.967
0.14690366,0.042,-0.467,10.005
0.15087382,0.118,-0.467,9.967
0.15484405,0.08,-0.467,9.967
0.15881445,0.08,-0.428,10.005
0.1627842,0.08,-0.428,10.005
0.16675429,0.042,-0.467,9.967
0.17072444,0.08,-0.428,9.967
0.17469437,0.042,-0.467,10.005
0.17866428,0.08,-0.467,9.928
0.18263431,0.08,-0.467,10.005
0.18660414,0.042,-0.467,9.967
0.19057399,0.042,-0.467,9.967
0.19454396,0.08,-0.467,9.928
0.19851379,0.08,-0.467,9.967
0.20248395,0.08,-0.467,10.005
0.20645404,0.08,-0.467,9.967
0.21042457,0.003,-0.467,9.967
0.21439534,0.08,-0.467,9.967
0.21836603,0.042,-0.467,9.967
0.22233663,0.042,-0.428,10.005
0.22630718,0.042,-0.428,9.967
0.23027718,0.08,-0.467,9.928
0.23424727,0.042,-0.467,10.005
0.23821694,0.08,-0.428,9.928
0.24218684,0.08,-0.428,9.967
0.24615732,0.08,-0.467,10.005
0.250128,0.08,-0.505,10.005
0.2540978,0.042,-0.428,9.967
0.25806722,0.08,-0.467,9.967
0.2620371,0.118,-0.467,9.928
0.26600686,0.08,-0.467,9.967
0.26997662,0.042,-0.467,10.005
0.27394623,0.08,-0.467,9.967
0.27791563,0.08,-0.467,9.967
0.2818852,0.08,-0.467,9.928
0.28585523,0.042,-0.467,9.967
0.2898257,0.08,-0.467,9.967
0.29379576,0.042,-0.505,9.967
0.29776576,0.08,-0.467,9.967
0.30173633,0.08,-0.467,9.928
0.3057064,0.118,-0.467,9.967
0.30967638,0.08,-0.467,9.967
0.3136474,0.042,-0.428,9.928
0.31761837,0.08,-0.467,9.967
0.32158938,0.08,-0.467,10.005
0.32555985,0.118,-0.467,9.967
0.3295307,0.042,-0.428,9.967
0.33350092,0.08,-0.428,9.928
0.33747154,0.08,-0.467,9.967
0.34144187,0.08,-0.467,9.967
0.34541178,0.118,-0.467,9.967
0.34938166,0.118,-0.467,9.967
0.35335168,0.118,-0.467,10.005
0.3573216,0.08,-0.467,9.928
0.36129138,0.042,-0.467,10.005
0.36526093,0.08,-0.505,10.043
0.36923054,0.08,-0.505,9.967
0.37320116,0.08,-0.467,10.005
0.37717175,0.08,-0.428,9.967
0.38114154,0.08,-0.505,9.967
0.3851117,0.08,-0.467,9.928
0.38908193,0.042,-0.467,10.005
0.39305246,0.08,-0.428,9.967
0.39702237,0.08,-0.505,9.967
0.40099367,0.042,-0.467,10.005
0.40496445,0.08,-0.467,9.928
0.40893552,0.042,-0.467,9.967
0.41290638,0.042,-0.428,10.005
0.4168768,0.042,-0.505,9.928
0.42084685,0.042,-0.428,9.928
0.424817,0.08,-0.505,9.928
0.42878747,0.08,-0.428,9.928
0.4327579,0.042,-0.505,9.928
0.4367286,0.08,-0.467,9.89
0.44069847,0.08,-0.467,9.967
0.44466922,0.042,-0.505,9.928
0.4486393,0.042,-0.505,9.967
0.45261,0.08,-0.467,9.967
0.45658013,0.042,-0.505,9.967
0.46055043,0.08,-0.467,9.967
0.46452045,0.08,-0.428,9.928
0.4684908,0.042,-0.467,9.967
0.47246188,0.08,-0.428,10.005
0.47643268,0.08,-0.467,9.928
0.48040366,0.08,-0.467,10.005
0.48437428,0.08,-0.428,9.967
0.48834512,0.08,-0.505,10.005
0.4923162,0.08,-0.467,9.967
0.49628687,0.08,-0.428,10.005
0.5002574,0.08,-0.505,10.005
0.5042273,0.08,-0.467,9.967
0.5081971,0.08,-0.505,10.005
0.51216733,0.08,-0.505,9.967
0.516137,0.08,-0.467,9.967
0.5201071,0.118,-0.505,10.005
0.5240772,0.08,-0.467,9.967
0.5280478,0.08,-0.505,9.967
0.5320186,0.08,-0.467,9.967
0.5359895,0.08,-0.467,10.005
0.5399601,0.08,-0.467,10.005
