TIME,X,Y,Z
0.0,0.08,-0.428,9.392
0.003970071,0.08,-0.505,10.043
0.007940763,0.08,-0.467,10.005
0.011911071,0.042,-0.428,9.967
0.015881915,0.042,-0.467,9.967
0.019852376,0.042,-0.467,9.967
0.023823684,0.08,-0.467,9.928
0.027794696,0.08,-0.467,10.005
0.03176562,0.08,-0.467,9.928
0.035736464,0.042,-0.467,10.005
0.039707545,0.08,-0.467,10.005
0.04367824,0.08,-0.428,9.928
0.047648933,0.042,-0.467,9.967
0.051619567,0.042,-0.467,10.005
0.05558995,0.118,-0.467,9.967
0.059561033,0.08,-0.467,9.928
0.06353258,0.08,-0.467,9.967
0.06750274,0.08,-0.467,9.967
0.07147328,0.042,-0.428,9.967
0.075443655,0.08,-0.467,10.005
0.07941381,0.08,-0.467,9.967
0.08338412,0.042,-0.467,9.967
0.08735504,0.08,-0.467,9.967
0.09132635,0.08,-0.467,9.967
0.0952972,0.042,-0.467,9.967
0.099268146,0.08,-0.467,10.005
0.103239454,0.08,-0.467,9.967
0.10721046,0.042,-0.467,9.967
0.11118156,0.042,-0.467,10.005
0.11515194,0.08,-0.428,9.967
0.11912233,0.042,-0.467,9.928
0.12309257,0.08,-0.467,9.967
0.12706326,0.08,-0.467,9.967
0.13103333,0.08,-0.467,9.967
0.13500395,0.08,-0.428,9.967
0.13897434,0.08,-0.467,9.928
0.14294504,0.08,-0.467,9.967
0.1469154,0.042,-0.505,10.005
0.15088609,0.08,-0.505,9.967
0.15485717,0.08,-0.467,9.928
0.15882833,0.08,-0.467,10.005
0.1627994,0.08,-0.505,10.005
0.1667701,0.042,-0.467,10.005
0.17074087,0.042,-0.428,9.967
0.17471126,0.08,-0.467,9.967
0.1786814,0.042,-0.467,9.967
0.18265165,0.042,-0.467,9.967
0.18662228,0.08,-0.467,9.967
0.1905925,0.042,-0.428,9.967
0.1945629,0.08,-0.467,10.005
0.19853273,0.08,-0.505,9.967
0.20250335,0.042,-0.467,9.928
0.20647366,0.042,-0.505,9.967
0.21044399,0.08,-0.467,9.967
0.2144145,0.042,-0.467,10.005
0.21838498,0.08,-0.505,9.967
0.22235583,0.08,-0.467,9.967
0.22632658,0.08,-0.505,9.967
0.23029782,0.042,-0.428,9.967
0.23426867,0.042,-0.467,9.967
0.23823883,0.042,-0.467,9.967
0.24220859,0.08,-0.467,9.967
0.2461786,0.08,-0.467,9.967
0.25014898,0.042,-0.428,9.967
0.25411975,0.042,-0.467,10.005
0.25809044,0.08,-0.467,9.967
0.2620613,0.08,-0.467,9.967
0.26603207,0.118,-0.467,9.967
0.2700033,0.042,-0.467,10.005
0.27397448,0.042,-0.467,10.005
0.2779457,0.042,-0.467,9.967
0.28191617,0.08,-0.505,9.967
0.28588712,0.08,-0.428,9.928
0.2898583,0.042,-0.505,9.928
0.2938289,0.042,-0.467,9.967
0.29779968,0.042,-0.467,9.928
0.30177027,0.08,-0.467,9.928
0.3057409,0.042,-0.505,9.967
0.30971113,0.042,-0.467,9.928
0.3136816,0.08,-0.467,9.928
0.31765243,0.08,-0.467,10.005
0.3216236,0.08,-0.467,10.005
0.3255949,0.08,-0.467,10.005
0.32956588,0.08,-0.467,10.005
0.33353668,0.08,-0.467,9.928
0.33750752,0.042,-0.505,9.967
0.34147877,0.08,-0.467,10.005
0.34545007,0.08,-0.467,9.928
0.34942144,0.08,-0.467,10.005
0.35339284,0.08,-0.505,10.005
0.35736424,0.042,-0.467,9.928
0.36133492,0.08,-0.467,9.967
0.36530524,0.08,-0.505,9.967
0.36927545,0.08,-0.467,9.928
0.3732457,0.08,-0.467,10.005
0.37721577,0.08,-0.467,9.928
0.3811863,0.042,-0.467,9.967
0.3851567,0.042,-0.467,9.967
0.3891274,0.08,-0.467,9.967
0.39309862,0.08,-0.467,9.967
0.39706933,0.08,-0.467,9.967
0.4010402,0.08,-0.467,10.005
0.40501112,0.08,-0.467,10.043
0.4089821,0.042,-0.505,9.967
0.4129529,0.042,-0.467,10.005
0.41692343,0.042,-0.428,9.967
0.42089444,0.042,-0.467,10.005
0.42486474,0.042,-0.467,9.967
0.42883536,0.042,-0.467,9.928
0.43280655,0.08,-0.467,9.967
0.4367774,0.042,-0.467,9.967
0.44074795,0.08,-0.428,9.967
0.44471753,0.08,-0.428,9.928
0.44868785,0.08,-0.505,10.005
0.45265824,0.042,-0.505,9.928
0.45662838,0.08,-0.428,9.967
0.46059868,0.118,-0.467,9.967
0.46456882,0.08,-0.428,10.005
0.46853942,0.042,-0.467,9.928
0.4725105,0.08,-0.467,10.043
0.4764815,0.08,-0.428,9.967
0.48045188,0.042,-0.467,9.967
0.48442233,0.08,-0.505,10.043
