TIME,X,Y,Z
0.0,1.037,-2.382,9.584
0.003963,1.037,-2.42,9.737
0.007925838,1.037,-2.382,9.699
0.011888684,1.037,-2.42,9.775
0.015851608,1.037,-2.458,9.775
0.019814353,1.037,-2.42,9.699
0.023777507,1.037,-2.458,9.737
0.027740125,1.037,-2.42,9.737
0.03170289,1.037,-2.42,9.699
0.035665352,1.037,-2.458,9.737
0.039627813,1.037,-2.42,9.775
0.04359034,1.037,-2.42,9.737
0.04755311,1.076,-2.42,9.699
0.051515497,1.037,-2.458,9.775
0.055478115,1.037,-2.42,9.737
0.05944119,1.037,-2.42,9.699
0.0634035,1.037,-2.42,9.775
0.06736612,0.999,-2.458,9.775
0.07132912,1.037,-2.42,9.699
0.075292274,1.037,-2.458,9.737
0.079255514,1.037,-2.42,9.775
0.083218895,1.037,-2.42,9.699
0.08718121,1.037,-2.42,9.775
0.091144055,1.037,-2.458,9.737
0.09510752,1.037,-2.458,9.737
0.099071056,1.037,-2.42,9.737
0.10303422,1.037,-2.458,9.737
0.106997535,1.037,-2.458,9.737
0.11096084,1.037,-2.42,9.737
0.114923455,1.037,-2.42,9.775
0.118886374,0.999,-2.458,9.775
0.12284907,1.076,-2.42,9.699
0.12681215,1.037,-2.42,9.699
0.130775,1.037,-2.382,9.775
0.13473846,1.037,-2.458,9.737
0.1387014,1.037,-2.42,9.699
0.14266439,0.999,-2.42,9.814
0.14662716,1.037,-2.42,9.737
0.15059076,1.076,-2.497,9.699
0.154554,1.037,-2.458,9.775
0.15851732,1.037,-2.458,9.814
0.1624801,1.037,-2.382,9.737
0.1664427,1.037,-2.458,9.699
0.17040509,1.037,-2.42,9.737
0.17436762,1.037,-2.42,9.775
0.17833109,1.037,-2.42,9.699
0.18229432,0.999,-2.42,9.737
0.18625677,1.037,-2.42,9.737
0.19021931,1.037,-2.42,9.775
0.19418184,0.999,-2.458,9.775
0.19814426,0.999,-2.42,9.699
0.20210686,1.037,-2.42,9.737
0.2060691,1.037,-2.42,9.775
0.2100318,1.037,-2.42,9.699
0.21399458,1.076,-2.42,9.699
0.21795735,1.037,-2.42,9.775
0.22191967,1.037,-2.458,9.737
0.22588235,1.037,-2.42,9.66
0.22984444,1.037,-2.42,9.699
0.2338068,1.037,-2.42,9.775
0.23776935,1.037,-2.42,9.737
0.24173225,1.037,-2.458,9.699
