TIME,X,Y,Z
0.0,0.003,-0.352,9.354
0.003964385,0.003,-0.428,10.082
0.007928854,0.042,-0.39,9.967
0.011893239,0.003,-0.428,9.928
0.015857317,0.003,-0.428,9.928
0.019821376,0.042,-0.39,9.967
0.0237853,0.042,-0.428,9.928
0.027749376,0.003,-0.428,9.928
0.03171284,0.042,-0.467,9.928
0.035676148,0.042,-0.428,9.928
0.039639454,0.042,-0.428,9.967
0.043602765,0.003,-0.428,9.928
0.047565997,0.042,-0.428,9.928
0.051529534,0.042,-0.428,9.928
0.05549309,0.003,-0.428,9.967
0.05945663,0.042,-0.428,9.928
0.06342048,0.003,-0.428,9.967
0.06738432,0.003,-0.428,9.89
0.071348086,0.042,-0.39,9.89
0.07531194,0.003,-0.428,9.967
0.07927647,0.003,-0.39,9.967
0.08324008,0.042,-0.428,9.967
0.08720331,0.003,-0.39,9.967
0.09116691,0.042,-0.428,9.967
0.095130295,0.042,-0.428,9.967
0.09909422,0.003,-0.428,9.928
0.103058144,0.003,-0.428,9.928
0.10702245,0.003,-0.428,9.967
0.11098522,0.042,-0.428,9.967
0.11494859,0.003,-0.428,9.967
0.11891244,0.042,-0.428,9.928
0.12287659,-0.034,-0.428,9.928
0.12684038,0.003,-0.428,9.928
0.13080415,0.003,-0.428,9.967
0.13476816,0.003,-0.428,9.967
0.13873155,0.003,-0.428,9.967
0.14269555,0.003,-0.467,9.928
0.14666001,0.042,-0.39,9.967
0.15062448,0.042,-0.428,9.967
0.1545887,0.042,-0.428,9.928
0.1585531,0.003,-0.428,9.928
0.16251743,0.042,-0.39,9.967
0.16648175,0.042,-0.428,9.967
0.17044559,0.042,-0.428,9.967
0.17440921,0.042,-0.428,9.967
0.17837289,0.003,-0.428,9.967
0.18233728,0.042,-0.428,9.967
0.18630168,0.042,-0.428,10.005
0.19026574,0.042,-0.39,9.928
0.19422927,0.042,-0.428,9.928
0.19819273,0.003,-0.39,9.89
0.20215596,0.003,-0.428,9.967
0.20611873,0.042,-0.428,9.967
0.21008176,0.003,-0.39,9.928
0.2140453,0.042,-0.428,9.928
0.2180083,0.003,-0.39,9.89
0.22197114,0.003,-0.428,9.89
0.22593437,0.003,-0.428,9.928
0.22989768,0.003,-0.39,9.928
0.23386073,0.003,-0.428,9.928
0.23782396,0.042,-0.39,9.928
0.2417869,0.042,-0.39,9.928
0.24574989,0.003,-0.428,9.928
0.24971281,0.042,-0.428,9.928
0.25367612,0.042,-0.428,9.967
0.2576395,0.042,-0.39,9.928
0.26160288,0.003,-0.428,9.928
0.2655664,0.042,-0.428,9.928
0.26952994,0.003,-0.428,9.967
0.2734935,0.042,-0.39,9.928
0.27745703,0.003,-0.428,9.928
0.28142014,0.003,-0.428,9.928
0.28538403,0.003,-0.39,9.967
0.28934804,0.042,-0.39,9.928
0.29331142,0.042,-0.428,9.967
0.2972749,0.003,-0.428,9.967
0.30123833,0.003,-0.39,9.928
0.3052019,0.003,-0.428,9.928
0.30916518,0.003,-0.428,9.967
0.3131285,0.003,-0.428,9.928
0.31709158,0.042,-0.39,9.928
0.3210545,0.042,-0.39,9.928
0.32501727,0.042,-0.39,9.928
0.32898,0.003,-0.39,9.928
0.33294314,0.042,-0.39,9.928
0.33690682,0.042,-0.39,9.928
0.3408702,0.003,-0.428,9.967
0.34483373,0.042,-0.428,9.928
0.34879705,0.042,-0.428,9.967
0.35276052,0.003,-0.428,9.928
0.3567241,0.003,-0.428,9.928
0.36068812,0.003,-0.428,9.967
0.36465198,0.003,-0.428,9.928
0.3686156,0.003,-0.428,9.967
0.37257904,0.003,-0.428,9.928
0.37654254,0.003,-0.39,9.928
