TIME,X,Y,Z
0.0,0.348,-0.237,9.316
0.003958294,0.348,-0.275,10.005
0.007916448,0.386,-0.275,9.928
0.011873987,0.386,-0.314,9.928
0.015832003,0.386,-0.275,9.928
0.019789927,0.348,-0.275,9.967
0.023747927,0.348,-0.275,9.967
0.027705844,0.348,-0.275,9.967
0.031663537,0.386,-0.314,9.928
0.03562123,0.386,-0.314,9.967
0.03957945,0.348,-0.275,9.967
0.043537993,0.386,-0.275,9.928
0.04749661,0.386,-0.275,9.967
0.051455084,0.386,-0.275,9.928
0.05541339,0.348,-0.275,9.928
0.059371542,0.386,-0.314,9.967
0.06332942,0.386,-0.237,9.967
0.067287266,0.348,-0.314,9.967
0.07124496,0.348,-0.275,9.928
0.07520266,0.348,-0.275,9.928
0.079160355,0.348,-0.275,9.928
0.083117805,0.348,-0.275,9.928
0.08707581,0.348,-0.275,9.967
0.091033645,0.348,-0.275,9.928
0.09499127,0.386,-0.275,9.89
0.09894842,0.386,-0.275,9.928
0.10290588,0.386,-0.275,9.89
0.10686419,0.386,-0.275,9.89
0.1108225,0.348,-0.275,9.928
0.11478034,0.386,-0.275,9.967
0.11873834,0.386,-0.275,9.928
0.122696415,0.386,-0.314,9.928
0.12665427,0.386,-0.314,9.928
0.13061234,0.386,-0.314,9.928
0.13457097,0.386,-0.275,9.928
0.13852873,0.386,-0.314,9.928
0.14248666,0.386,-0.275,9.928
0.14644513,0.386,-0.275,9.928
0.15040381,0.348,-0.314,9.928
0.15436234,0.348,-0.314,9.928
0.15832056,0.386,-0.275,9.89
0.1622788,0.348,-0.314,9.967
0.16623703,0.386,-0.314,9.928
0.17019548,0.386,-0.275,9.928
0.17415424,0.348,-0.237,9.928
0.1781124,0.386,-0.314,9.967
0.18207063,0.348,-0.275,9.928
0.18602878,0.386,-0.314,9.967
0.18998656,0.348,-0.314,9.967
0.19394426,0.386,-0.275,10.005
0.19790232,0.348,-0.314,9.89
0.20186056,0.348,-0.275,9.928
0.20581885,0.386,-0.275,9.928
0.20977747,0.386,-0.275,9.967
0.21373594,0.386,-0.314,9.89
0.21769439,0.386,-0.275,9.928
0.22165298,0.386,-0.275,9.928
0.225611,0.386,-0.314,9.928
0.2295698,0.386,-0.275,9.967
0.23352903,0.348,-0.275,9.928
0.23748787,0.386,-0.275,9.928
0.24144655,0.348,-0.275,9.967
0.2454048,0.348,-0.275,9.928
0.24936318,0.348,-0.275,9.928
0.25332162,0.348,-0.275,9.89
0.25728008,0.348,-0.275,9.928
0.26123908,0.348,-0.275,9.928
0.26519808,0.386,-0.314,9.967
0.26915616,0.348,-0.275,9.89
0.27311403,0.386,-0.275,9.928
0.27707177,0.386,-0.275,9.928
0.28103077,0.386,-0.275,9.928
0.2849888,0.386,-0.275,9.89
0.28894618,0.348,-0.275,9.89
0.29290357,0.386,-0.314,9.928
0.29686102,0.386,-0.275,9.928
0.30081865,0.386,-0.314,9.967
0.30477643,0.386,-0.275,9.89
0.30873427,0.425,-0.275,9.928
0.3126918,0.348,-0.275,9.928
0.3166493,0.386,-0.275,9.928
0.32060748,0.386,-0.314,9.89
0.32456595,0.386,-0.275,9.928
0.3285245,0.348,-0.275,9.928
0.3324828,0.348,-0.275,9.967
0.33644083,0.386,-0.275,9.928
0.34039876,0.386,-0.314,9.967
0.34435618,0.386,-0.275,9.928
0.34831384,0.386,-0.275,9.928
0.3522723,0.386,-0.275,9.928
0.35623026,0.348,-0.314,9.928
0.36018807,0.348,-0.275,9.928
