TIME,X,Y,Z
0.0,0.042,-0.505,10.426
0.003970154,0.003,-0.428,9.775
0.007940309,0.08,-0.467,10.043
0.01191054,0.08,-0.467,9.967
0.015880154,0.08,-0.428,9.967
0.019850297,0.08,-0.428,10.005
0.023820063,0.042,-0.428,9.928
0.027789911,0.08,-0.428,10.005
0.03176029,0.08,-0.428,9.967
0.035730444,0.118,-0.428,9.928
0.039700367,0.042,-0.467,10.005
0.04367029,0.08,-0.467,10.005
0.047640517,0.042,-0.428,9.928
0.051610976,0.08,-0.467,9.967
0.05558112,0.042,-0.428,9.967
0.0595512,0.042,-0.428,9.89
0.06352159,0.042,-0.467,10.005
0.06749129,0.042,-0.467,10.005
0.071462065,0.08,-0.428,9.967
0.075432606,0.042,-0.467,9.967
0.079402775,0.08,-0.428,10.005
0.08337316,0.042,-0.428,9.967
0.08734393,0.08,-0.467,9.967
0.0913147,0.042,-0.428,10.005
0.09528539,0.08,-0.428,9.89
0.09925578,0.118,-0.467,10.005
0.10322631,0.118,-0.428,10.005
0.10719701,0.08,-0.428,9.967
0.11116793,0.08,-0.428,9.967
0.11513825,0.08,-0.467,10.005
0.119109094,0.08,-0.467,9.967
0.1230791,0.08,-0.467,9.928
0.12704925,0.042,-0.428,9.967
0.13102025,0.08,-0.467,9.89
0.1349904,0.08,-0.467,10.005
0.13896094,0.08,-0.428,9.967
0.14293094,0.042,-0.428,9.967
0.14690164,0.042,-0.467,9.967
0.1508721,0.042,-0.467,9.967
0.15484294,0.08,-0.467,9.967
0.15881349,0.042,-0.467,9.967
0.16278403,0.08,-0.467,9.967
0.16675395,0.042,-0.467,9.967
0.17072426,0.042,-0.467,10.005
0.17469455,0.08,-0.428,10.005
0.17866425,0.08,-0.428,9.928
0.1826345,0.08,-0.428,9.928
0.18660441,0.08,-0.428,9.967
0.19057518,0.08,-0.467,9.967
0.19454612,0.042,-0.467,9.967
0.19851698,0.042,-0.467,9.967
0.20248781,0.08,-0.428,9.928
0.20645805,0.042,-0.428,9.967
0.21042852,0.042,-0.428,10.005
0.21439976,0.08,-0.467,9.967
0.21837053,0.042,-0.428,9.967
0.22234121,0.08,-0.467,10.005
0.22631207,0.08,-0.428,10.005
0.2302836,0.08,-0.467,9.967
0.23425497,0.08,-0.467,10.005
0.2382259,0.08,-0.428,9.967
0.24219675,0.042,-0.428,9.967
0.24616791,0.042,-0.428,9.967
0.25013876,0.08,-0.467,9.928
0.25411007,0.042,-0.467,10.005
0.25808114,0.08,-0.467,9.967
0.26205206,0.08,-0.428,9.967
0.26602253,0.08,-0.428,9.967
0.26999307,0.08,-0.428,9.967
0.27396336,0.042,-0.467,10.005
0.27793384,0.042,-0.467,9.967
0.28190386,0.042,-0.428,9.967
0.285874,0.042,-0.467,9.928
0.2898442,0.08,-0.467,9.967
0.29381478,0.08,-0.467,9.967
0.29778564,0.08,-0.467,9.967
0.3017564,0.08,-0.428,9.967
0.3057269,0.08,-0.428,10.005
0.30969834,0.042,-0.428,10.005
