TIME,X,Y,Z
0.0,-0.187,-0.428,9.354
0.003965385,-0.225,-0.467,10.005
0.007929997,-0.225,-0.467,9.928
0.01189369,-0.225,-0.467,9.928
0.015857767,-0.225,-0.467,9.928
0.019821778,-0.187,-0.467,9.928
0.023785548,-0.187,-0.467,9.928
0.02774924,-0.225,-0.467,9.928
0.03171309,-0.225,-0.467,9.928
0.035676554,-0.225,-0.467,9.928
0.03964017,-0.225,-0.467,9.928
0.043604553,-0.225,-0.505,9.928
0.04756901,-0.225,-0.467,9.967
0.051534012,-0.225,-0.467,9.967
0.05549834,-0.225,-0.467,9.928
0.059463263,-0.187,-0.505,9.89
0.06342749,-0.225,-0.428,9.928
0.06739189,-0.225,-0.467,9.928
0.071356274,-0.225,-0.467,9.89
0.07532043,-0.187,-0.505,9.928
0.07928397,-0.187,-0.505,9.928
0.08324813,-0.187,-0.467,9.928
0.087212585,-0.187,-0.467,9.967
0.09117744,-0.225,-0.505,9.928
0.09514229,-0.187,-0.467,9.928
0.099106595,-0.225,-0.505,9.928
0.1030706,-0.225,-0.467,9.928
0.10703491,-0.187,-0.467,9.928
0.1109996,-0.187,-0.467,9.928
0.11496384,-0.187,-0.505,9.928
0.11892776,-0.225,-0.467,9.928
0.12289199,-0.225,-0.505,9.928
0.12685604,-0.225,-0.505,10.005
0.13082059,-0.225,-0.428,9.928
0.13478512,-0.225,-0.428,9.928
0.13874987,-0.187,-0.467,9.928
0.14271463,-0.187,-0.467,9.967
0.14667957,-0.225,-0.467,9.967
0.15064426,-0.149,-0.467,9.928
0.15460795,-0.225,-0.467,9.928
0.15857203,-0.225,-0.467,9.928
0.16253702,-0.225,-0.467,9.89
0.1665014,-0.225,-0.428,9.928
0.17046656,-0.225,-0.467,9.928
0.17443125,-0.225,-0.467,9.967
0.17839642,-0.187,-0.467,9.928
0.18236125,-0.225,-0.467,9.967
0.18632512,-0.187,-0.467,9.967
0.19028904,-0.264,-0.467,9.89
0.19425282,-0.187,-0.467,9.928
0.19821668,-0.225,-0.505,9.928
0.20218074,-0.225,-0.467,9.967
0.20614512,-0.225,-0.467,9.967
0.21010976,-0.225,-0.467,9.928
0.21407422,-0.225,-0.467,9.967
0.2180387,-0.225,-0.505,9.967
0.22200307,-0.225,-0.467,9.967
0.22596715,-0.225,-0.467,9.967
0.22993107,-0.225,-0.467,9.967
0.23389556,-0.187,-0.467,9.967
0.23785964,-0.225,-0.467,9.928
0.24182346,-0.187,-0.505,9.89
0.24578732,-0.187,-0.467,9.928
0.24975133,-0.225,-0.467,9.89
0.25371563,-0.187,-0.505,9.967
0.2576793,-0.264,-0.467,9.967
0.26164433,-0.225,-0.467,9.967
0.26560873,-0.225,-0.505,9.928
0.26957402,-0.225,-0.505,9.89
0.2735391,-0.225,-0.467,9.89
0.2775037,-0.187,-0.467,9.928
0.28146836,-0.187,-0.467,9.967
0.28543204,-0.187,-0.467,9.928
0.28939533,-0.225,-0.467,9.928
0.29335916,-0.187,-0.467,9.967
0.29732376,-0.187,-0.467,9.928
0.3012883,-0.225,-0.467,9.928
0.30525324,-0.225,-0.467,9.928
0.30921817,-0.187,-0.467,9.967
0.31318295,-0.225,-0.467,9.928
0.31714702,-0.187,-0.467,9.928
0.32111117,-0.225,-0.467,9.89
0.32507557,-0.225,-0.467,9.928
0.3290397,-0.225,-0.467,9.967
0.33300367,-0.225,-0.505,9.967
0.33696797,-0.187,-0.467,9.928
0.34093222,-0.225,-0.467,9.967
0.34489644,-0.187,-0.505,9.967
0.34886053,-0.225,-0.467,9.89
0.35282466,-0.187,-0.428,9.928
0.35678905,-0.225,-0.467,9.967
0.36075276,-0.225,-0.467,9.928
0.36471668,-0.187,-0.467,9.967
0.36868098,-0.187,-0.467,9.928
0.372645,-0.225,-0.467,9.928
0.376609,-0.225,-0.467,9.928
0.38057315,-0.225,-0.505,9.967
0.38453755,-0.187,-0.467,9.967
0.38850215,-0.225,-0.467,9.928
0.39246646,-0.187,-0.467,9.928
0.39643136,-0.225,-0.467,9.967
0.40039536,-0.225,-0.467,9.928
0.40435937,-0.187,-0.467,9.928
0.40832373,-0.225,-0.467,9.928
0.41228774,-0.187,-0.505,9.928
0.41625234,-0.225,-0.505,9.928
0.4202166,-0.264,-0.467,9.967
0.42418063,-0.225,-0.467,9.967
0.42814437,-0.187,-0.467,9.89
0.4321082,-0.225,-0.467,9.928
0.43607202,-0.187,-0.428,9.928
0.44003597,-0.187,-0.467,9.928
0.4439998,-0.225,-0.467,9.89
0.4479641,-0.225,-0.467,9.967
0.45192876,-0.225,-0.467,9.928
0.4558931,-0.225,-0.467,9.967
0.4598574,-0.225,-0.505,9.89
0.46382162,-0.225,-0.467,9.967
0.46778587,-0.187,-0.467,9.89
0.47175008,-0.187,-0.467,9.928
0.47571462,-0.225,-0.467,9.967
0.47967884,-0.225,-0.467,9.967
0.48364323,-0.225,-0.467,9.967
0.48760754,-0.225,-0.467,9.928
0.49157208,-0.187,-0.467,9.967
0.49553645,-0.225,-0.505,9.928
0.49950093,-0.187,-0.467,9.928
0.5034658,-0.225,-0.467,9.928
0.5074308,-0.225,-0.467,9.967
0.5113956,-0.187,-0.467,9.928
0.5153598,-0.225,-0.467,9.928
0.51932436,-0.187,-0.467,9.928
0.5232895,-0.225,-0.467,9.967
0.5272543,-0.225,-0.467,9.967
0.5312188,-0.225,-0.428,9.928
0.5351827,-0.187,-0.467,9.967
0.5391471,-0.187,-0.505,9.928
0.5431112,-0.187,-0.467,9.928
0.54707575,-0.187,-0.467,9.928
0.55104053,-0.187,-0.505,9.89
0.5550061,-0.187,-0.467,9.928
0.5589716,-0.225,-0.428,9.928
0.56293637,-0.187,-0.505,9.967
0.56690204,-0.187,-0.467,9.967
0.5708672,-0.187,-0.467,9.967
0.5748321,-0.225,-0.467,9.928
0.5787968,-0.225,-0.467,10.005
0.5827616,-0.187,-0.505,10.005
0.5867269,-0.187,-0.467,9.928
0.5906913,-0.187,-0.505,9.852
0.594656,-0.187,-0.467,9.967
0.5986204,-0.187,-0.467,9.89
0.60258543,-0.225,-0.467,10.005
0.60654956,-0.187,-0.467,9.967
0.6105143,-0.225,-0.505,9.967
0.61447805,-0.187,-0.467,10.043
0.618443,-0.187,-0.505,9.852
0.6224079,-0.225,-0.505,9.928
0.62637335,-0.225,-0.505,10.005
0.63033867,-0.225,-0.467,9.89
0.6343043,-0.225,-0.505,9.928
0.63826895,-0.225,-0.505,10.005
0.64223313,-0.225,-0.505,10.005
0.6461967,-0.187,-0.467,9.89
0.6501608,-0.225,-0.467,9.852
0.65412545,-0.187,-0.467,9.89
0.65809023,-0.264,-0.467,9.928
0.6620542,-0.187,-0.467,10.005
0.6660187,-0.187,-0.467,10.005
0.6699832,-0.187,-0.467,9.89
0.6739477,-0.187,-0.467,9.928
