TIME,X,Y,Z
0.0,0.118,-0.39,9.316
0.003968231,0.157,-0.428,10.043
0.00793654,0.118,-0.428,9.967
0.011904155,0.118,-0.428,9.967
0.015872385,0.118,-0.428,10.005
0.019840747,0.118,-0.428,9.928
0.023809288,0.118,-0.428,9.967
0.027777517,0.118,-0.428,9.967
0.031746224,0.157,-0.428,9.967
0.03571484,0.118,-0.428,9.967
0.03968338,0.118,-0.428,9.967
0.043652065,0.118,-0.39,9.928
0.047621064,0.118,-0.428,9.967
0.051589373,0.157,-0.428,10.005
0.055558696,0.157,-0.39,9.967
0.059526924,0.118,-0.39,9.928
0.06349539,0.118,-0.428,9.967
0.06746406,0.157,-0.39,9.967
0.07143337,0.118,-0.428,10.005
0.07540253,0.08,-0.428,9.967
0.079371005,0.118,-0.428,9.967
0.0833397,0.08,-0.428,9.967
0.08730854,0.118,-0.428,9.967
0.09127701,0.157,-0.39,9.928
0.09524555,0.118,-0.39,9.967
0.09921354,0.118,-0.39,9.967
0.10318233,0.157,-0.428,9.967
0.10715148,0.118,-0.39,9.967
0.11112048,0.118,-0.39,10.005
0.11508923,0.118,-0.428,10.005
0.11905847,0.118,-0.39,9.967
0.12302754,0.118,-0.428,9.928
0.12699616,0.157,-0.428,9.967
0.13096562,0.118,-0.428,9.967
0.13493477,0.118,-0.39,10.005
0.13890362,0.118,-0.39,10.005
0.1428723,0.118,-0.39,9.967
0.14684084,0.118,-0.428,9.967
0.15080968,0.157,-0.39,9.928
0.15477799,0.118,-0.39,9.967
0.1587459,0.157,-0.39,9.967
0.16271418,0.118,-0.428,9.928
0.16668217,0.157,-0.39,9.967
0.17065056,0.157,-0.428,9.928
0.17461903,0.157,-0.39,9.967
0.17858781,0.118,-0.428,9.967
0.18255611,0.118,-0.428,9.967
0.18652475,0.118,-0.428,9.967
0.19049329,0.118,-0.428,9.967
0.19446221,0.118,-0.428,10.005
0.19843084,0.118,-0.39,9.928
0.2023996,0.118,-0.428,9.928
0.2063685,0.118,-0.39,10.005
0.21033701,0.118,-0.428,9.967
0.21430555,0.118,-0.428,9.967
0.21827416,0.118,-0.39,9.967
0.22224271,0.118,-0.428,9.967
0.2262108,0.118,-0.428,9.928
0.23017903,0.118,-0.428,9.967
0.23414719,0.118,-0.428,9.967
0.23811534,0.118,-0.39,9.967
0.24208419,0.118,-0.428,9.967
0.24605277,0.157,-0.39,10.005
0.25002155,0.118,-0.428,9.928
0.25399047,0.118,-0.39,9.967
0.25795949,0.118,-0.428,9.967
0.26192877,0.118,-0.428,9.967
0.26589754,0.118,-0.428,9.967
0.2698664,0.157,-0.39,9.967
0.27383494,0.118,-0.39,9.967
0.27780345,0.118,-0.39,9.967
0.281772,0.157,-0.39,9.967
0.2857405,0.118,-0.428,9.928
0.28970894,0.118,-0.428,9.967
0.29367748,0.157,-0.39,10.005
0.29764733,0.157,-0.39,9.967
0.30161592,0.118,-0.428,9.928
0.3055845,0.118,-0.39,9.967
0.30955312,0.118,-0.39,9.967
0.31352156,0.157,-0.428,9.967
0.31748995,0.118,-0.428,10.005
0.32145828,0.118,-0.39,9.967
0.32542714,0.118,-0.39,10.005
0.3293952,0.118,-0.39,9.967
0.33336347,0.118,-0.39,9.928
0.3373314,0.157,-0.39,9.967
0.3412994,0.118,-0.428,10.005
0.34526747,0.118,-0.428,9.967
0.34923598,0.118,-0.39,9.967
0.35320425,0.118,-0.428,9.967
0.35717303,0.118,-0.428,9.928
0.36114135,0.118,-0.428,9.928
0.36510935,0.157,-0.428,9.967
0.36907756,0.118,-0.428,9.967
0.37304628,0.118,-0.428,9.928
0.37701488,0.118,-0.428,9.967
0.38098317,0.118,-0.39,9.967
0.38495132,0.118,-0.428,9.967
0.3889195,0.118,-0.428,9.967
0.39288762,0.118,-0.39,9.967
0.39685532,0.118,-0.39,9.967
0.40082368,0.118,-0.428,9.928
0.40479252,0.118,-0.39,9.967
0.4087613,0.118,-0.39,9.928
0.41272897,0.08,-0.428,9.967
0.41669673,0.118,-0.39,9.89
0.42066544,0.118,-0.39,9.967
0.42463428,0.118,-0.428,9.967
0.4286029,0.118,-0.39,10.005
0.43257192,0.118,-0.428,9.967
0.436541,0.157,-0.39,9.928
0.44050997,0.08,-0.428,9.967
0.44447875,0.157,-0.428,9.967
0.4484473,0.118,-0.428,9.967
0.45241567,0.157,-0.428,9.967
0.4563839,0.118,-0.428,9.89
0.4603525,0.118,-0.428,10.005
0.46432143,0.118,-0.428,10.005
0.4682902,0.118,-0.428,9.967
0.47225812,0.118,-0.428,9.89
0.47622612,0.157,-0.39,9.967
0.4801951,0.118,-0.39,10.082
0.48416376,0.157,-0.428,10.043
0.48813215,0.118,-0.428,9.928
0.49210033,0.118,-0.428,10.005
0.4960693,0.118,-0.467,9.89
0.5000378,0.157,-0.428,10.005
0.50400686,0.118,-0.428,9.928
0.5079745,0.157,-0.467,9.928
0.5119429,0.157,-0.39,10.043
0.5159117,0.157,-0.39,9.928
0.5198803,0.118,-0.39,9.928
0.5238492,0.157,-0.428,10.005
0.5278177,0.118,-0.39,10.005
0.53178596,0.118,-0.428,9.852
0.535754,0.157,-0.428,9.967
0.53972244,0.118,-0.39,10.082
0.543691,0.118,-0.428,9.928
0.5476603,0.118,-0.39,9.89
0.5516294,0.118,-0.39,10.043
0.555599,0.157,-0.39,10.043
0.55956846,0.195,-0.428,9.928
0.5635374,0.118,-0.467,9.89
0.5675063,0.157,-0.39,9.967
0.5714751,0.118,-0.39,10.043
0.5754438,0.08,-0.39,9.967
0.5794126,0.118,-0.428,9.89
0.58338135,0.157,-0.428,9.967
0.5873501,0.157,-0.428,10.005
0.5913186,0.118,-0.39,10.005
0.5952868,0.157,-0.428,9.89
0.5992548,0.118,-0.428,9.928
0.60322386,0.118,-0.428,10.005
0.6071922,0.118,-0.39,10.043
0.6111606,0.118,-0.39,9.928
0.6151289,0.08,-0.428,9.967
0.6190975,0.157,-0.467,10.043
0.6230654,0.157,-0.428,9.967
0.62703353,0.118,-0.39,9.928
0.63100183,0.157,-0.39,9.967
0.6349705,0.08,-0.428,9.967
0.63893914,0.118,-0.428,9.967
0.6429076,0.118,-0.39,9.967
0.6468759,0.118,-0.428,9.928
0.6508444,0.118,-0.428,9.928
0.65481293,0.157,-0.428,10.005
0.6587815,0.08,-0.39,9.967
0.6627496,0.118,-0.39,10.005
0.6667182,0.118,-0.39,9.928
0.6706866,0.118,-0.428,9.928
0.67465526,0.08,-0.39,10.005
0.6786236,0.118,-0.428,10.005
0.6825919,0.118,-0.39,9.928
0.6865599,0.118,-0.428,9.928
0.6905287,0.118,-0.428,9.967
0.69449717,0.118,-0.428,9.967
0.69846547,0.157,-0.428,9.928
0.70243376,0.118,-0.428,9.928
0.7064028,0.157,-0.428,10.005
0.7103719,0.157,-0.39,9.928
0.714341,0.08,-0.39,9.967
0.71830916,0.118,-0.428,9.967
0.7222772,0.118,-0.39,9.967
0.72624576,0.118,-0.428,9.967
0.73021406,0.118,-0.39,9.928
0.73418206,0.118,-0.428,9.967
0.7381509,0.118,-0.428,9.928
0.7421204,0.157,-0.39,9.928
0.7460896,0.118,-0.39,9.967
0.75005853,0.08,-0.39,9.967
0.75402766,0.08,-0.39,9.967
0.7579965,0.118,-0.428,9.967
0.76196593,0.118,-0.428,10.005
0.7659349,0.118,-0.428,9.967
0.76990414,0.118,-0.39,9.967
0.7738725,0.118,-0.39,9.967
0.7778412,0.118,-0.39,9.928
0.7818098,0.118,-0.428,9.967
0.7857787,0.157,-0.428,9.967
0.7897475,0.157,-0.428,9.928
0.79371625,0.118,-0.39,9.967
0.79768497,0.118,-0.428,9.967
0.8016532,0.157,-0.39,10.005
0.8056215,0.118,-0.428,9.967
0.8095898,0.118,-0.428,9.967
