TIME,X,Y,Z
0.0,0.08,-0.467,10.426
0.003968384,0.08,-0.39,9.775
0.007936679,0.08,-0.39,10.005
0.011905064,0.08,-0.428,9.928
0.01587368,0.08,-0.39,9.928
0.01984244,0.08,-0.428,10.005
0.023811672,0.08,-0.428,9.928
0.027779749,0.118,-0.39,9.928
0.031747594,0.118,-0.428,9.967
0.03571544,0.118,-0.428,9.967
0.03968329,0.08,-0.428,9.967
0.04365144,0.118,-0.352,9.967
0.04761944,0.118,-0.39,9.928
0.0515879,0.118,-0.428,9.967
0.055555895,0.08,-0.428,9.967
0.05952382,0.118,-0.39,10.005
0.06349236,0.118,-0.39,10.005
0.06746043,0.08,-0.428,9.967
0.0714292,0.118,-0.39,9.928
0.07539782,0.118,-0.428,9.967
0.07936689,0.118,-0.428,9.967
0.0833352,0.118,-0.428,9.967
0.08730328,0.118,-0.39,9.967
0.09127105,0.118,-0.428,9.967
0.09523882,0.118,-0.39,9.967
0.09920681,0.08,-0.39,9.928
0.10317512,0.08,-0.428,9.928
0.1071432,0.08,-0.428,9.967
0.11111112,0.118,-0.428,9.967
0.11507911,0.118,-0.39,9.928
0.11904696,0.08,-0.428,9.967
0.12301496,0.08,-0.428,9.967
0.12698334,0.118,-0.39,9.967
0.13095129,0.118,-0.428,9.967
0.13491951,0.08,-0.39,9.967
0.13888851,0.08,-0.428,9.928
0.14285752,0.08,-0.428,9.928
0.14682567,0.118,-0.39,9.928
0.15079375,0.08,-0.428,9.967
0.15476197,0.042,-0.39,9.928
0.15873043,0.08,-0.428,9.967
0.16269912,0.118,-0.428,9.928
0.1666678,0.118,-0.428,9.967
0.17063613,0.118,-0.428,9.967
0.17460473,0.08,-0.428,9.967
0.17857295,0.08,-0.428,9.967
0.18254158,0.118,-0.428,9.967
0.18650989,0.08,-0.428,9.967
0.19047849,0.08,-0.428,9.967
0.19444688,0.08,-0.39,9.967
0.19841596,0.08,-0.39,9.967
0.2023845,0.08,-0.428,9.928
0.20635365,0.118,-0.428,9.967
0.21032266,0.118,-0.39,9.967
0.21429172,0.118,-0.428,9.967
0.21826042,0.08,-0.428,9.967
0.22222874,0.08,-0.39,9.967
0.22619674,0.08,-0.428,9.967
0.23016503,0.08,-0.39,9.967
0.23413303,0.08,-0.39,9.967
0.23810126,0.118,-0.39,9.928
0.24207003,0.118,-0.428,9.928
0.24603811,0.08,-0.39,9.967
0.25000587,0.118,-0.39,9.928
0.25397426,0.08,-0.428,9.928
0.25794283,0.08,-0.39,9.967
0.26191133,0.08,-0.39,9.967
0.26587942,0.118,-0.428,9.967
0.26984775,0.118,-0.428,9.967
0.27381575,0.08,-0.428,9.89
0.27778387,0.118,-0.39,9.967
0.28175175,0.08,-0.39,10.005
0.28571957,0.08,-0.428,10.005
0.2896872,0.08,-0.428,9.967
0.2936546,0.08,-0.428,10.005
0.29762188,0.118,-0.428,9.928
0.30159032,0.08,-0.428,9.967
0.30555844,0.08,-0.467,9.967
0.30952665,0.08,-0.428,9.967
0.31349498,0.08,-0.428,9.928
0.3174633,0.118,-0.428,10.005
0.32143158,0.08,-0.39,9.967
0.3254001,0.118,-0.428,9.967
0.3293689,0.118,-0.39,9.967
0.33333743,0.118,-0.352,9.967
0.33730638,0.118,-0.428,9.967
0.34127516,0.118,-0.428,9.928
0.345244,0.08,-0.39,9.967
0.34921232,0.08,-0.428,9.967
0.35318023,0.08,-0.428,9.928
0.35714856,0.118,-0.352,9.967
0.3611173,0.08,-0.39,9.967
0.36508608,0.08,-0.428,9.967
0.36905453,0.118,-0.39,9.928
0.37302238,0.08,-0.428,9.967
0.3769904,0.08,-0.39,10.005
0.38095933,0.08,-0.39,9.967
0.38492772,0.08,-0.428,9.928
0.388896,0.118,-0.39,9.967
0.392864,0.08,-0.39,9.928
0.39683172,0.08,-0.39,9.967
0.40080002,0.042,-0.428,9.967
0.40476847,0.118,-0.428,9.967
0.4087371,0.08,-0.39,9.928
0.41270587,0.118,-0.428,9.967
0.41667455,0.118,-0.428,9.967
0.42064303,0.118,-0.428,9.928
