TIME,X,Y,Z
0.0,0.118,-0.39,9.814
0.003968538,0.08,-0.428,9.928
0.007936846,0.08,-0.428,9.967
0.011905233,0.118,-0.428,9.89
0.015873771,0.08,-0.428,10.005
0.019842232,0.08,-0.428,9.967
0.023810908,0.08,-0.39,10.005
0.0277806,0.118,-0.428,9.967
0.03175037,0.08,-0.428,9.928
0.035719585,0.08,-0.39,9.967
0.039688665,0.118,-0.428,9.967
0.04365751,0.08,-0.428,9.967
0.0476266,0.08,-0.428,9.967
0.05159575,0.118,-0.428,9.928
0.05556537,0.08,-0.39,9.967
0.059534658,0.118,-0.428,10.005
0.063503966,0.118,-0.428,9.967
0.06747266,0.08,-0.428,9.967
0.071441345,0.118,-0.428,9.967
0.075410806,0.08,-0.428,9.967
0.079380274,0.08,-0.428,9.928
0.0833498,0.08,-0.428,9.967
0.08731895,0.08,-0.428,9.928
0.09128772,0.08,-0.428,9.967
0.09525659,0.08,-0.467,9.967
0.09922529,0.08,-0.428,10.005
0.10319429,0.08,-0.39,9.967
0.10716396,0.118,-0.428,9.967
0.11113381,0.08,-0.428,10.005
0.115103655,0.118,-0.428,9.967
0.119073115,0.08,-0.428,9.967
0.123042345,0.08,-0.428,10.005
0.12701158,0.042,-0.428,9.967
0.13098064,0.08,-0.39,9.967
0.13494979,0.08,-0.428,9.928
0.13891934,0.08,-0.428,9.928
0.1428888,0.118,-0.428,10.005
0.14685795,0.118,-0.428,9.967
0.15082742,0.08,-0.39,9.928
0.15479627,0.08,-0.428,9.967
0.15876582,0.08,-0.428,9.967
0.16273504,0.08,-0.428,9.928
0.1667043,0.118,-0.428,9.967
0.170674,0.118,-0.467,9.928
0.17464407,0.08,-0.428,9.967
0.17861325,0.042,-0.428,9.967
0.18258195,0.08,-0.428,9.967
0.18655089,0.08,-0.39,9.967
0.19052018,0.042,-0.39,9.967
0.19448963,0.08,-0.428,9.967
0.1984587,0.08,-0.428,9.928
0.20242801,0.08,-0.428,10.005
0.2063967,0.08,-0.467,9.967
0.21036564,0.08,-0.428,9.928
0.21433425,0.08,-0.428,9.967
0.21830302,0.118,-0.428,9.928
0.22227187,0.08,-0.428,9.928
0.2262411,0.118,-0.428,9.967
0.23021089,0.042,-0.428,10.005
0.23418018,0.118,-0.428,10.005
0.23814996,0.08,-0.428,9.928
0.24211927,0.08,-0.428,9.967
0.24608847,0.08,-0.428,9.967
0.25005773,0.08,-0.39,9.967
0.2540275,0.08,-0.428,9.967
