TIME,X,Y,Z
0.0,0.157,-0.428,10.426
0.003967045,0.118,-0.39,9.775
0.007933584,0.118,-0.39,10.005
0.011900737,0.118,-0.428,9.967
0.015867738,0.157,-0.39,9.967
0.019835662,0.118,-0.428,9.928
0.023802662,0.118,-0.428,9.967
0.027769888,0.118,-0.39,9.967
0.031736735,0.08,-0.467,9.967
0.035704043,0.08,-0.428,9.967
0.039671272,0.118,-0.428,9.967
0.043638505,0.118,-0.428,10.005
0.047606505,0.08,-0.428,10.005
0.05157406,0.042,-0.428,9.967
0.055540904,0.08,-0.428,10.043
0.059508137,0.08,-0.39,9.967
0.06347538,0.08,-0.39,9.967
0.06744253,0.08,-0.39,10.005
0.07140976,0.08,-0.352,9.928
0.07537706,0.08,-0.39,9.967
0.07934383,0.118,-0.39,9.967
0.08331076,0.118,-0.428,9.967
0.08727737,0.118,-0.428,9.928
0.09124414,0.118,-0.428,9.928
0.095210984,0.157,-0.428,10.005
0.09917782,0.118,-0.428,9.967
0.10314475,0.157,-0.428,9.967
0.10711214,0.118,-0.467,9.967
0.11107929,0.118,-0.428,9.928
0.11504659,0.08,-0.428,10.043
0.119013056,0.08,-0.428,9.967
0.12297936,0.118,-0.428,9.967
0.12694597,0.118,-0.428,9.967
0.13091268,0.118,-0.428,9.967
0.13487968,0.118,-0.39,10.005
0.13884692,0.118,-0.428,9.967
0.14281407,0.157,-0.428,9.967
0.14678091,0.118,-0.39,10.005
0.15074737,0.118,-0.39,9.967
0.1547139,0.08,-0.428,10.005
0.1586813,0.118,-0.428,9.967
0.16264783,0.08,-0.39,10.005
0.16661522,0.118,-0.39,9.967
0.17058215,0.08,-0.39,9.967
0.17454883,0.08,-0.467,9.967
0.17851499,0.118,-0.428,9.967
0.182481,0.118,-0.428,9.967
0.18644747,0.08,-0.428,10.043
0.19041446,0.08,-0.428,10.005
0.19438037,0.118,-0.39,9.967
0.19834651,0.08,-0.39,10.043
0.20231283,0.08,-0.39,9.967
0.20627876,0.118,-0.39,9.967
0.21024513,0.118,-0.428,9.928
0.21421114,0.118,-0.39,9.967
0.21817735,0.08,-0.428,10.005
0.22214365,0.08,-0.428,9.967
0.22610997,0.118,-0.39,10.005
0.23007667,0.118,-0.467,10.005
0.23404297,0.08,-0.428,9.967
0.23801005,0.08,-0.428,9.967
0.24197696,0.08,-0.39,9.928
0.24594373,0.08,-0.428,10.005
0.24991049,0.118,-0.428,9.967
0.25387704,0.118,-0.428,9.967
0.2578432,0.118,-0.428,9.967
0.26180944,0.08,-0.39,10.043
0.26577586,0.118,-0.39,9.967
0.2697425,0.118,-0.39,9.967
0.27370897,0.08,-0.428,9.967
0.27767572,0.08,-0.428,9.967
0.28164256,0.118,-0.428,9.967
0.28560925,0.08,-0.39,10.005
0.28957668,0.118,-0.39,10.005
0.2935439,0.118,-0.428,9.967
0.29751152,0.118,-0.428,10.005
0.30147874,0.118,-0.428,9.928
0.30544558,0.08,-0.428,9.928
0.30941203,0.118,-0.428,10.005
0.31337887,0.08,-0.428,9.928
0.31734496,0.118,-0.428,9.967
0.3213116,0.08,-0.428,10.005
0.32527804,0.118,-0.428,9.928
0.32924452,0.118,-0.428,9.967
0.33321083,0.118,-0.39,9.967
0.3371774,0.118,-0.428,9.967
0.34114388,0.118,-0.39,9.967
0.34511012,0.118,-0.39,9.967
0.34907636,0.08,-0.39,10.005
0.3530428,0.08,-0.39,10.005
0.35700828,0.08,-0.428,9.967
0.3609748,0.08,-0.39,9.967
0.3649405,0.118,-0.428,10.005
0.3689069,0.118,-0.428,9.967
0.3728741,0.118,-0.428,9.967
0.37684065,0.08,-0.428,9.928
0.38080725,0.118,-0.39,9.967
0.3847737,0.118,-0.39,10.005
0.38874063,0.118,-0.39,10.005
0.39270732,0.08,-0.428,9.967
0.3966744,0.08,-0.39,9.967
0.40064108,0.08,-0.428,9.967
0.40460792,0.118,-0.428,9.967
0.408574,0.118,-0.428,9.967
0.41254053,0.08,-0.428,9.89
0.41650704,0.08,-0.428,9.928
0.42047366,0.118,-0.428,10.005
0.4244403,0.157,-0.428,9.967
0.42840675,0.118,-0.428,10.043
0.4323736,0.118,-0.428,9.967
0.43634036,0.118,-0.428,9.928
0.4403076,0.157,-0.428,10.043
0.44427443,0.118,-0.428,9.967
0.4482408,0.118,-0.467,9.852
0.45220715,0.118,-0.428,10.005
0.45617312,0.118,-0.39,10.005
0.46014068,0.118,-0.428,9.852
0.46410713,0.118,-0.428,9.967
0.468074,0.118,-0.39,10.082
0.4720416,0.118,-0.428,9.928
0.47600812,0.08,-0.428,9.89
0.4799748,0.118,-0.467,9.928
0.4839411,0.157,-0.428,10.005
0.48790774,0.118,-0.39,10.043
0.49187383,0.118,-0.428,10.005
0.49583945,0.118,-0.428,9.89
0.4998056,0.118,-0.467,9.928
0.50377196,0.118,-0.467,9.89
0.5077388,0.118,-0.39,9.967
0.5117051,0.118,-0.428,10.005
0.5156711,0.157,-0.39,10.043
0.51963717,0.118,-0.428,10.005
0.5236033,0.157,-0.428,10.005
0.52756983,0.157,-0.428,9.967
0.53153545,0.118,-0.428,9.967
0.53550154,0.118,-0.467,9.967
0.53946763,0.118,-0.428,9.967
0.5434336,0.08,-0.39,10.043
0.5473998,0.08,-0.428,9.967
0.55136555,0.118,-0.428,9.89
0.5553312,0.08,-0.39,10.043
0.5592973,0.118,-0.428,10.005
0.5632634,0.08,-0.428,9.967
0.5672298,0.118,-0.428,9.967
0.5711959,0.118,-0.39,10.005
0.5751626,0.118,-0.428,10.005
0.57912874,0.118,-0.428,9.928
0.58309525,0.118,-0.39,10.005
0.5870616,0.118,-0.428,10.005
0.59102803,0.118,-0.428,9.967
0.5949952,0.118,-0.428,9.928
0.59896195,0.118,-0.428,9.967
0.60292834,0.118,-0.39,10.005
0.6068944,0.118,-0.428,10.005
0.6108611,0.08,-0.428,9.967
0.6148278,0.118,-0.428,9.928
0.6187941,0.08,-0.467,9.928
0.6227603,0.118,-0.39,10.005
0.6267266,0.118,-0.39,9.967
0.63069344,0.118,-0.428,9.928
0.6346598,0.08,-0.39,10.005
0.6386263,0.118,-0.428,9.928
0.6425922,0.118,-0.428,9.967
0.64655817,0.118,-0.428,9.967
0.650525,0.118,-0.428,9.967
0.6544915,0.118,-0.428,10.005
0.65845793,0.118,-0.39,10.005
0.662425,0.118,-0.428,9.967
0.6663921,0.118,-0.428,9.928
0.67035866,0.118,-0.428,9.967
0.6743252,0.118,-0.39,9.967
0.67829216,0.118,-0.428,10.005
0.68225867,0.118,-0.39,9.967
0.68622553,0.08,-0.428,9.928
0.6901917,0.08,-0.428,9.967
0.69415784,0.08,-0.428,9.967
0.69812393,0.08,-0.428,10.005
0.7020904,0.118,-0.428,9.967
0.70605654,0.08,-0.428,10.005
0.71002245,0.08,-0.428,9.967
0.7139888,0.118,-0.428,9.967
0.7179554,0.08,-0.39,10.005
0.7219213,0.157,-0.428,9.928
0.7258871,0.118,-0.428,9.967
0.72985345,0.118,-0.428,9.967
0.7338196,0.118,-0.39,10.005
0.73778594,0.157,-0.428,9.967
0.74175227,0.118,-0.428,9.967
0.7457186,0.118,-0.428,9.928
0.74968547,0.08,-0.428,9.928
0.7536523,0.118,-0.39,10.005
0.7576192,0.118,-0.428,9.89
0.7615858,0.118,-0.428,9.928
0.7655524,0.157,-0.428,9.967
0.7695187,0.08,-0.39,9.967
0.7734853,0.08,-0.428,9.928
0.7774517,0.118,-0.428,9.967
