TIME,X,Y,Z
0.0,0.31,-0.237,9.316
0.003958154,0.348,-0.275,10.005
0.007916296,0.386,-0.275,9.89
0.011875219,0.348,-0.275,9.967
0.01583345,0.348,-0.275,9.967
0.0197919,0.386,-0.275,9.967
0.0237499,0.386,-0.275,9.928
0.027708668,0.386,-0.275,9.928
0.03166719,0.348,-0.314,9.928
0.03562573,0.348,-0.314,9.967
0.039584342,0.348,-0.314,9.928
0.043542597,0.348,-0.275,9.967
0.047500595,0.348,-0.314,9.967
0.05145883,0.386,-0.314,9.89
0.05541763,0.348,-0.275,9.89
0.05937555,0.386,-0.275,9.967
0.06333317,0.386,-0.314,9.928
0.0672909,0.386,-0.314,9.967
0.071248755,0.348,-0.314,9.967
0.07520714,0.386,-0.314,9.967
0.07916552,0.348,-0.275,9.928
0.08312375,0.386,-0.275,9.928
0.08708198,0.386,-0.314,9.928
0.09104075,0.386,-0.314,9.928
0.094999135,0.386,-0.314,9.928
0.0989586,0.386,-0.275,9.967
0.10291737,0.348,-0.275,9.967
0.10687614,0.348,-0.314,9.928
0.11083476,0.348,-0.314,9.967
0.11479324,0.348,-0.314,9.928
0.11875178,0.348,-0.314,9.928
0.12271032,0.348,-0.314,9.928
0.12666878,0.348,-0.275,9.967
0.13062686,0.386,-0.275,9.928
0.13458495,0.386,-0.314,10.005
0.13854359,0.386,-0.275,9.928
0.14250189,0.348,-0.314,9.928
0.14646041,0.386,-0.314,9.928
0.15041904,0.386,-0.275,9.928
0.15437773,0.386,-0.275,9.967
0.15833636,0.348,-0.314,9.967
0.16229513,0.386,-0.314,9.967
0.16625413,0.386,-0.314,9.928
0.17021213,0.348,-0.314,9.928
0.17417037,0.348,-0.314,9.928
0.17812851,0.348,-0.314,9.928
0.18208636,0.386,-0.314,9.928
0.18604435,0.425,-0.275,9.928
0.19000243,0.386,-0.314,9.89
0.19396065,0.386,-0.314,9.89
0.19791913,0.348,-0.314,9.928
0.2018773,0.348,-0.275,9.89
0.20583552,0.386,-0.314,9.928
0.20979424,0.386,-0.314,9.967
0.21375263,0.348,-0.275,9.967
0.21771109,0.386,-0.275,10.005
0.22166947,0.386,-0.314,9.967
0.22562793,0.386,-0.314,9.967
0.22958648,0.386,-0.314,9.967
0.23354518,0.386,-0.314,9.967
0.2375041,0.348,-0.275,9.928
0.24146272,0.386,-0.352,9.928
0.24542148,0.348,-0.314,9.928
0.24938034,0.386,-0.314,9.967
0.25333902,0.386,-0.314,9.928
0.25729725,0.425,-0.275,9.967
0.26125568,0.386,-0.275,9.967
0.26521486,0.386,-0.314,9.967
0.26917374,0.348,-0.314,9.928
0.27313226,0.386,-0.314,9.928
0.2770901,0.386,-0.275,9.928
0.28104836,0.386,-0.275,9.928
0.28500694,0.348,-0.314,9.967
0.28896534,0.348,-0.275,9.928
0.29292396,0.348,-0.352,9.928
0.29688174,0.386,-0.314,9.928
0.30083957,0.386,-0.275,9.89
0.3047974,0.386,-0.314,9.928
0.30875537,0.386,-0.314,9.967
0.31271327,0.386,-0.275,9.928
0.31667152,0.386,-0.275,9.928
0.32062957,0.386,-0.314,9.967
0.32458773,0.386,-0.314,9.967
0.32854638,0.386,-0.314,9.928
0.3325051,0.348,-0.275,9.928
0.33646291,0.348,-0.275,9.89
0.3404206,0.386,-0.314,9.928
0.34437874,0.386,-0.275,9.928
0.34833732,0.386,-0.314,9.928
0.35229623,0.386,-0.314,9.89
0.35625508,0.386,-0.275,9.967
0.36021316,0.386,-0.275,9.967
0.36417115,0.386,-0.314,9.928
0.3681289,0.386,-0.275,9.928
0.37208638,0.348,-0.314,9.928
0.37604392,0.348,-0.314,9.928
0.3800017,0.348,-0.352,9.967
0.38395923,0.386,-0.314,9.928
0.38791683,0.386,-0.314,9.89
0.39187443,0.386,-0.314,9.967
0.3958325,0.386,-0.314,9.928
0.39979059,0.386,-0.314,9.928
0.40374875,0.425,-0.314,9.928
0.40770635,0.386,-0.275,9.928
0.41166422,0.348,-0.314,9.928
0.415622,0.348,-0.275,9.928
0.41957983,0.386,-0.314,9.928
0.42353746,0.348,-0.314,9.928
0.42749518,0.348,-0.314,9.928
0.43145332,0.348,-0.275,9.928
0.4354113,0.386,-0.314,9.967
0.43936905,0.348,-0.314,10.005
0.44332737,0.386,-0.275,10.043
0.44728565,0.386,-0.314,9.928
0.45124358,0.386,-0.314,9.852
0.45520136,0.386,-0.275,9.814
0.45915997,0.386,-0.314,9.967
0.46311834,0.425,-0.275,10.005
0.46707696,0.386,-0.314,10.043
0.4710359,0.386,-0.275,9.967
0.4749946,0.348,-0.352,9.852
0.47895327,0.348,-0.314,9.814
0.48291132,0.348,-0.352,9.89
0.48686913,0.386,-0.352,9.928
0.49082726,0.425,-0.275,10.005
0.49478465,0.386,-0.314,10.043
0.4987421,0.386,-0.314,9.928
0.50270057,0.386,-0.352,9.928
0.50665796,0.386,-0.314,9.89
0.51061565,0.386,-0.314,9.89
0.51457334,0.386,-0.275,9.928
0.51853156,0.425,-0.275,9.967
0.52249,0.386,-0.275,10.005
0.5264479,0.386,-0.275,9.967
0.5304064,0.386,-0.314,9.928
0.5343644,0.348,-0.314,9.852
0.5383223,0.386,-0.352,9.852
0.5422798,0.386,-0.314,9.928
0.5462382,0.386,-0.275,9.967
0.55019665,0.386,-0.314,9.967
0.5541558,0.386,-0.314,9.89
0.5581144,0.348,-0.314,9.928
0.5620729,0.386,-0.352,9.89
0.56603205,0.348,-0.275,9.928
0.56999147,0.348,-0.314,9.852
0.5739504,0.348,-0.314,9.928
0.57790875,0.386,-0.352,9.967
0.58186686,0.425,-0.314,10.005
0.5858254,0.386,-0.275,9.967
0.58978367,0.386,-0.352,9.967
0.5937419,0.386,-0.314,9.928
0.5977002,0.386,-0.314,9.928
0.6016587,0.386,-0.314,9.928
0.6056176,0.425,-0.314,9.928
0.6095766,0.386,-0.314,9.928
0.6135352,0.386,-0.314,9.967
0.6174937,0.348,-0.314,9.89
0.6214519,0.348,-0.314,9.852
0.6254103,0.386,-0.314,9.928
0.629369,0.386,-0.275,9.928
0.63332736,0.386,-0.275,9.967
0.63728625,0.386,-0.275,9.967
0.64124537,0.386,-0.314,9.89
