TIME,X,Y,Z
0.0,0.042,-0.467,9.928
0.003964154,0.042,-0.428,9.967
0.007928469,0.042,-0.467,9.928
0.0118927,0.042,-0.467,9.928
0.01585693,0.042,-0.467,9.967
0.019822167,0.003,-0.467,9.967
0.02378686,0.08,-0.467,9.928
0.027751245,0.042,-0.428,9.967
0.031715713,0.042,-0.428,9.928
0.035680864,0.042,-0.467,9.967
0.039645866,0.042,-0.467,10.005
0.04361032,0.042,-0.467,9.967
0.04757501,0.042,-0.467,9.967
0.05153955,0.042,-0.467,9.967
0.05550432,0.042,-0.467,9.967
0.05946955,0.08,-0.428,9.967
0.06343402,0.08,-0.428,9.967
0.067398794,0.042,-0.467,9.928
0.07136317,0.08,-0.428,9.928
0.07532779,0.042,-0.467,9.928
0.079293326,0.003,-0.467,10.005
0.083257325,0.08,-0.428,9.928
0.08722117,0.042,-0.428,9.928
0.09118538,0.042,-0.428,9.928
0.09515,0.08,-0.428,9.928
0.09911438,0.042,-0.428,9.967
0.103078775,0.042,-0.467,9.928
0.10704324,0.042,-0.467,9.928
0.11100801,0.042,-0.428,9.928
0.11497216,0.042,-0.467,9.967
0.11893662,0.042,-0.467,9.928
0.12290132,0.042,-0.428,9.928
0.12686555,0.042,-0.467,9.967
0.13082956,0.042,-0.467,9.967
0.13479371,0.042,-0.428,9.967
0.13875811,0.042,-0.467,9.967
0.14272219,0.042,-0.428,9.928
0.14668666,0.08,-0.428,9.967
0.15065074,0.042,-0.467,9.928
0.15461496,0.08,-0.428,9.928
0.15857904,0.042,-0.467,9.928
0.1625429,0.042,-0.505,9.89
0.16650797,0.003,-0.467,9.967
0.17047274,0.003,-0.467,9.928
0.17443758,0.042,-0.467,9.967
0.17840268,0.042,-0.467,9.928
0.1823666,0.042,-0.428,9.967
0.186331,0.042,-0.467,9.928
0.19029532,0.042,-0.467,9.967
0.19426002,0.042,-0.428,9.967
0.19822416,0.042,-0.428,9.928
0.20218794,0.042,-0.467,9.928
0.20615155,0.042,-0.428,9.928
0.21011555,0.042,-0.428,9.928
0.21407962,0.08,-0.428,9.967
0.21804424,0.042,-0.467,9.967
0.22200863,0.042,-0.428,9.928
0.22597246,0.042,-0.428,9.967
0.22993632,0.003,-0.428,9.928
0.23390001,0.042,-0.428,10.005
0.23786424,0.042,-0.428,9.928
0.24182878,0.042,-0.428,9.89
0.2457927,0.042,-0.428,9.928
0.24975649,0.042,-0.428,9.967
0.25372064,0.003,-0.428,9.89
0.2576848,0.042,-0.428,9.967
0.26164934,0.042,-0.467,9.928
0.2656138,0.042,-0.467,9.967
0.26957792,0.08,-0.467,9.967
0.27354142,0.042,-0.428,9.967
0.2775051,0.042,-0.467,9.967
0.28146932,0.042,-0.467,9.928
0.28543413,0.042,-0.428,9.928
0.28939894,0.042,-0.39,9.89
0.29336333,0.003,-0.467,9.89
0.29732794,0.003,-0.467,9.967
0.30129293,0.042,-0.428,9.928
0.30525753,0.042,-0.467,9.967
0.30922192,0.042,-0.467,9.967
0.31318587,0.042,-0.467,9.928
0.31715006,0.08,-0.428,9.967
0.3211143,0.042,-0.428,9.967
0.3250786,0.08,-0.467,9.928
0.32904324,0.042,-0.428,9.928
0.3330083,0.042,-0.467,9.967
0.33697343,0.042,-0.467,9.967
0.34093693,0.042,-0.467,9.967
0.34490132,0.042,-0.467,9.928
0.34886593,0.08,-0.467,9.928
0.35282993,0.042,-0.467,9.928
0.3567939,0.042,-0.428,9.928
0.36075783,0.042,-0.467,9.928
0.36472267,0.042,-0.467,9.967
0.3686875,0.042,-0.467,9.928
0.37265235,0.042,-0.428,9.928
0.37661743,0.042,-0.428,9.967
0.3805816,0.08,-0.428,9.967
0.3845455,0.08,-0.428,9.89
0.38850954,0.003,-0.467,10.005
0.3924739,0.042,-0.467,9.967
0.39643797,0.042,-0.428,9.967
0.40040222,0.042,-0.428,9.928
0.4043669,0.042,-0.467,9.967
0.40833086,0.042,-0.467,9.89
0.41229513,0.042,-0.428,9.928
0.4162592,0.042,-0.467,10.005
0.42022336,0.042,-0.467,9.967
0.4241879,0.042,-0.467,9.967
0.4281522,0.08,-0.467,9.967
0.43211618,0.042,-0.467,9.967
0.43608052,0.042,-0.467,9.967
0.44004482,0.042,-0.428,9.967
0.44400844,0.042,-0.428,9.928
0.4479719,0.042,-0.467,9.967
0.4519356,0.042,-0.467,9.967
0.45589975,0.042,-0.467,9.89
0.45986313,0.042,-0.428,9.928
0.46382698,0.042,-0.467,9.967
0.46779042,0.042,-0.467,9.967
0.47175437,0.08,-0.467,9.967
0.47571775,0.08,-0.428,9.967
0.47968137,0.042,-0.467,10.005
0.48364592,0.042,-0.428,10.005
0.4876104,0.042,-0.467,9.967
0.49157453,0.08,-0.428,9.967
0.4955389,0.003,-0.428,9.928
0.49950325,0.042,-0.467,9.967
0.5034673,0.042,-0.467,9.928
0.5074312,0.042,-0.428,9.928
0.5113949,0.042,-0.467,9.89
0.51535887,0.042,-0.467,9.967
0.5193227,0.08,-0.467,9.928
0.5232874,0.08,-0.428,9.928
0.5272518,0.08,-0.428,9.967
0.53121614,0.08,-0.428,9.967
0.53518,0.042,-0.467,10.005
0.53914356,0.08,-0.428,9.967
0.54310745,0.042,-0.467,9.967
0.5470711,0.042,-0.467,9.967
0.5510348,0.042,-0.428,9.967
0.55499977,0.08,-0.428,9.967
0.55896425,0.042,-0.467,9.928
0.56292915,0.003,-0.467,9.967
0.5668937,0.003,-0.428,9.967
0.57085836,0.042,-0.428,9.967
0.5748234,0.042,-0.467,9.89
0.5787873,0.042,-0.467,9.928
0.5827504,0.042,-0.428,9.928
0.5867144,0.042,-0.467,9.967
0.5906784,0.042,-0.428,9.967
0.5946427,0.042,-0.467,9.928
0.5986069,0.042,-0.428,10.005
0.60257167,0.042,-0.467,9.928
0.60653543,0.08,-0.467,9.928
0.6104993,0.08,-0.428,9.967
0.6144632,0.08,-0.505,9.967
0.6184272,0.118,-0.467,9.928
0.6223911,0.118,-0.467,9.928
0.62635475,0.08,-0.467,9.967
0.63031805,0.08,-0.505,9.967
0.63428134,0.042,-0.467,10.005
0.6382448,0.042,-0.467,9.928
0.6422088,0.042,-0.467,9.928
0.64617217,0.042,-0.467,9.967
0.65013516,0.042,-0.428,9.967
0.6540986,0.042,-0.467,9.928
0.6580627,0.003,-0.428,9.967
0.66202706,0.003,-0.467,9.928
0.6659916,0.042,-0.467,9.928
0.66995543,0.003,-0.428,9.967
0.67391944,0.042,-0.467,9.928
0.6778831,0.042,-0.428,9.928
0.68184716,0.003,-0.467,9.928
0.68581057,0.042,-0.428,9.928
0.68977445,0.003,-0.428,9.928
0.69373876,0.042,-0.428,9.928
0.69770336,0.042,-0.428,9.967
0.7016668,0.042,-0.467,9.967
0.7056307,0.08,-0.428,9.967
0.7095951,0.042,-0.428,9.928
