TIME,X,Y,Z
0.0,0.042,-0.314,9.775
0.003962993,0.003,-0.314,10.005
0.007926224,0.042,-0.39,9.967
0.011888839,0.003,-0.352,9.967
0.015852217,0.042,-0.352,9.928
0.019816216,0.042,-0.352,9.967
0.02377937,0.042,-0.352,9.928
0.027742766,0.042,-0.314,9.967
0.031705845,0.042,-0.352,9.967
0.035669304,0.042,-0.352,9.967
0.039632402,0.042,-0.352,9.967
0.04359594,0.042,-0.352,9.928
0.04755863,0.042,-0.352,9.928
0.051521324,0.042,-0.39,9.967
0.05548386,0.042,-0.314,9.928
0.05944686,0.042,-0.352,9.967
0.063409805,0.042,-0.352,9.967
0.06737288,0.042,-0.352,10.005
0.071335725,0.042,-0.39,9.967
0.07529861,0.042,-0.39,9.967
0.07926161,0.042,-0.352,9.928
0.083224446,0.042,-0.352,9.967
0.08718731,0.003,-0.39,9.967
0.09115031,0.08,-0.39,9.967
0.095113315,0.042,-0.352,9.967
0.09907601,0.042,-0.39,9.967
0.10303924,0.042,-0.352,9.967
0.10700293,0.003,-0.352,9.967
0.11096641,0.042,-0.352,10.005
0.11492941,0.042,-0.352,9.967
0.11889241,0.042,-0.39,9.928
0.122855335,0.042,-0.352,9.967
0.12681796,0.042,-0.352,9.928
0.13078056,0.003,-0.352,10.005
0.13474353,0.042,-0.352,9.928
0.13870598,0.08,-0.352,9.928
0.14266905,0.042,-0.352,9.928
0.1466316,0.003,-0.352,10.005
0.1505939,0.042,-0.39,9.967
0.15455645,0.042,-0.39,9.928
0.15851969,0.042,-0.39,10.005
0.16248207,0.042,-0.39,9.967
0.16644453,0.003,-0.352,9.967
0.17040685,0.042,-0.352,9.928
0.1743697,0.003,-0.39,9.967
0.17833206,0.042,-0.39,9.967
0.18229523,0.042,-0.39,9.967
0.18625863,0.08,-0.352,9.967
0.19022216,0.042,-0.352,9.967
0.19418538,0.042,-0.352,9.967
0.19814844,0.042,-0.39,9.967
0.20211115,0.042,-0.39,10.005
0.20607352,0.042,-0.352,9.967
0.2100363,0.042,-0.352,9.967
0.2139993,0.042,-0.39,10.005
0.21796265,0.042,-0.352,9.967
0.22192559,0.042,-0.39,9.928
0.22588882,0.042,-0.352,9.967
0.22985159,0.042,-0.352,9.928
0.23381414,0.042,-0.352,9.928
0.23777743,0.042,-0.39,10.005
0.2417406,0.042,-0.352,9.928
0.24570298,0.042,-0.39,9.928
0.24966538,0.042,-0.352,9.928
0.25362805,0.08,-0.352,9.928
0.25759158,0.042,-0.352,9.967
0.26155472,0.042,-0.352,9.928
0.26551715,0.042,-0.352,9.967
0.26947972,0.042,-0.352,9.967
0.2734427,0.003,-0.352,9.967
0.2774058,0.042,-0.39,9.967
0.2813685,0.042,-0.39,9.967
0.28533226,0.042,-0.352,9.967
0.2892956,0.042,-0.352,9.928
0.29325962,0.042,-0.39,9.89
0.29722306,0.042,-0.39,9.928
