TIME,X,Y,Z
0.0,0.118,-0.352,9.775
0.003956868,0.118,-0.39,9.928
0.007913638,0.118,-0.39,9.928
0.011870176,0.08,-0.39,9.928
0.015826574,0.08,-0.39,9.967
0.019782575,0.118,-0.39,9.928
0.023739036,0.118,-0.39,9.967
0.027695438,0.08,-0.39,10.005
0.031652283,0.118,-0.39,9.928
0.03560836,0.118,-0.39,9.928
0.039564133,0.08,-0.352,9.967
0.043519903,0.08,-0.352,9.967
0.047476057,0.08,-0.39,9.967
0.05143137,0.08,-0.39,9.967
0.055387903,0.118,-0.39,9.928
0.059344135,0.08,-0.39,9.89
0.06330001,0.08,-0.39,9.928
0.067255944,0.08,-0.39,9.928
0.07121171,0.118,-0.39,9.967
0.07516815,0.118,-0.39,9.967
0.07912446,0.08,-0.352,9.89
0.083080076,0.118,-0.39,9.928
0.08703576,0.118,-0.39,9.928
0.090992294,0.08,-0.39,9.928
0.094948836,0.118,-0.39,9.928
0.09890493,0.118,-0.352,9.89
0.10286055,0.08,-0.39,9.928
0.10681647,0.118,-0.39,9.967
0.11077275,0.118,-0.352,9.928
0.11472814,0.157,-0.39,9.967
0.118683904,0.118,-0.39,9.967
0.12263952,0.118,-0.39,9.928
0.12659568,0.118,-0.352,9.928
0.13055152,0.118,-0.39,9.967
0.13450785,0.118,-0.352,9.928
0.13846415,0.118,-0.352,9.967
0.14241993,0.118,-0.352,9.928
0.14637579,0.118,-0.352,9.928
0.1503318,0.118,-0.352,9.967
0.15428773,0.118,-0.39,9.928
0.15824404,0.08,-0.352,9.928
0.16220012,0.08,-0.39,9.967
0.16615704,0.08,-0.352,9.967
0.17011406,0.118,-0.39,9.928
0.17407073,0.118,-0.39,9.967
0.17802742,0.118,-0.39,9.928
0.18198413,0.118,-0.39,9.928
0.18594052,0.118,-0.39,9.928
0.18989667,0.118,-0.39,9.928
0.1938532,0.118,-0.39,9.967
0.19780989,0.118,-0.39,9.967
0.20176682,0.118,-0.39,9.967
0.20572329,0.08,-0.39,9.928
