TIME,X,Y,Z
0.0,0.042,-0.39,9.354
0.003963538,0.042,-0.428,10.082
0.00792722,0.042,-0.39,9.967
0.011890758,0.042,-0.467,9.928
0.01585468,0.042,-0.428,9.928
0.019818667,0.08,-0.428,9.928
0.023783132,0.042,-0.428,9.928
0.027747363,0.042,-0.467,9.928
0.031711597,0.08,-0.467,9.928
0.03567567,0.042,-0.428,9.928
0.03964044,0.042,-0.467,10.005
0.043604735,0.042,-0.467,9.928
0.047568046,0.042,-0.428,9.928
0.051531736,0.003,-0.428,10.005
0.05549622,0.042,-0.467,9.928
0.059460606,0.042,-0.428,9.928
0.06342453,0.042,-0.428,9.967
0.067388155,0.042,-0.428,9.967
0.07135162,0.08,-0.39,9.89
0.075315304,0.042,-0.428,9.967
0.07927908,0.042,-0.428,9.967
0.083243154,0.042,-0.39,9.928
0.08720731,0.08,-0.467,9.967
0.09117083,0.08,-0.428,9.967
0.09513437,0.042,-0.467,9.928
0.09909775,0.042,-0.467,9.928
0.10306129,0.042,-0.467,9.928
0.1070246,0.003,-0.428,9.928
0.11098813,0.003,-0.467,9.967
0.11495122,0.042,-0.467,9.89
0.11891476,0.003,-0.428,9.967
0.1228783,0.042,-0.467,9.967
0.12684184,0.042,-0.467,9.928
0.13080546,0.08,-0.428,9.89
0.13476922,0.08,-0.428,9.928
0.13873285,0.042,-0.428,9.928
0.1426964,0.042,-0.39,9.928
0.14666016,0.08,-0.39,10.005
0.15062393,0.042,-0.428,9.928
0.15458733,0.042,-0.428,9.928
0.15855108,0.042,-0.428,9.967
0.16251479,0.042,-0.467,9.967
0.16647856,0.042,-0.428,9.89
0.1704424,0.042,-0.467,10.005
0.17440596,0.042,-0.428,9.967
0.1783695,0.042,-0.467,9.89
0.1823335,0.042,-0.428,9.967
0.18629742,0.042,-0.428,9.967
0.19026074,0.042,-0.428,9.928
0.19422449,0.042,-0.467,9.967
0.19818796,0.042,-0.428,9.967
0.20215127,0.08,-0.428,9.928
0.20611487,0.042,-0.428,10.005
0.2100786,0.042,-0.428,9.967
0.21404214,0.003,-0.428,9.928
0.21800606,0.042,-0.428,9.89
0.22196978,0.042,-0.428,9.89
0.22593331,0.003,-0.428,9.89
