TIME,X,Y,Z
0.0,0.003,-0.39,9.967
0.003968308,0.042,-0.428,9.967
0.007936843,0.08,-0.428,9.928
0.011905074,0.042,-0.428,9.967
0.015873536,0.042,-0.467,9.967
0.019842302,0.042,-0.428,9.967
0.023811301,0.003,-0.39,9.967
0.027780302,0.042,-0.428,9.967
0.03174916,0.003,-0.428,9.967
0.03571816,-0.034,-0.39,9.928
0.039685927,0.042,-0.428,9.967
0.04365432,0.003,-0.467,9.967
0.047622785,0.003,-0.428,10.005
0.051591784,0.042,-0.428,9.967
0.055560645,0.003,-0.467,9.967
0.059529334,0.003,-0.428,10.005
0.06349772,0.042,-0.428,10.005
0.067466564,0.003,-0.428,9.967
0.07143495,0.003,-0.39,9.967
0.075403035,0.042,-0.428,9.928
0.0793711,0.003,-0.467,9.928
0.08333895,0.003,-0.39,9.967
0.08730726,0.003,-0.428,9.967
0.091275565,0.042,-0.428,9.967
0.095243335,0.003,-0.39,10.005
0.09921125,0.042,-0.428,9.967
0.103179105,0.042,-0.39,9.928
0.10714649,0.003,-0.39,9.967
0.11111449,0.042,-0.39,9.967
0.115082264,0.003,-0.39,9.928
0.11904973,0.042,-0.39,9.928
0.123017184,0.042,-0.428,9.928
0.12698512,0.042,-0.428,10.005
0.13095304,0.042,-0.428,9.967
0.13492095,0.042,-0.428,9.928
0.13888888,0.003,-0.428,9.967
0.14285688,0.003,-0.428,9.967
0.14682466,0.042,-0.39,9.967
0.1507924,0.042,-0.428,10.005
0.15476055,0.042,-0.428,10.005
0.15872793,0.003,-0.39,9.967
0.16269605,0.003,-0.428,10.005
0.16666451,0.042,-0.428,9.967
0.17063273,0.003,-0.428,9.928
0.17460115,0.003,-0.428,10.005
0.17856891,0.003,-0.428,9.928
0.18253699,0.003,-0.428,9.967
0.18650532,0.042,-0.428,9.928
0.19047424,0.042,-0.39,9.967
0.19444232,0.003,-0.428,10.005
0.19841038,0.042,-0.428,9.967
0.2023783,0.042,-0.428,9.967
0.20634685,0.042,-0.428,10.005
0.210315,0.003,-0.428,9.967
0.214283,0.003,-0.428,9.967
0.2182511,0.003,-0.428,9.928
0.22221947,0.003,-0.428,9.967
0.22618747,0.003,-0.39,10.005
0.2301554,0.042,-0.39,9.967
0.23412402,0.042,-0.428,9.967
0.23809232,0.003,-0.39,9.967
0.24206078,0.003,-0.428,10.005
0.24602899,0.042,-0.428,9.967
0.24999683,0.003,-0.39,10.005
0.25396484,0.003,-0.428,10.005
0.25793332,0.042,-0.428,10.043
0.26190162,0.003,-0.428,9.967
0.26587015,0.042,-0.428,9.967
0.26983863,0.003,-0.428,10.005
0.27380693,0.042,-0.428,9.967
