TIME,X,Y,Z
0.0,0.042,-0.39,9.775
0.003968063,0.003,-0.428,9.928
0.007936063,0.003,-0.39,10.005
0.011904602,0.003,-0.428,9.967
0.015872903,0.042,-0.39,10.005
0.019841444,0.003,-0.428,9.928
0.023810135,0.003,-0.39,9.967
0.027778296,0.003,-0.428,10.005
0.03174745,0.042,-0.39,10.005
0.035716373,0.042,-0.428,10.005
0.0396853,0.042,-0.428,10.005
0.04365353,0.042,-0.428,9.967
0.047621835,0.08,-0.39,10.005
0.051590465,0.08,-0.39,9.967
0.05555954,0.042,-0.428,9.967
0.05952808,0.042,-0.428,10.005
0.06349655,0.042,-0.39,10.005
0.06746493,0.003,-0.428,9.967
0.071433015,0.003,-0.39,10.005
0.07540157,0.042,-0.428,9.967
0.07937011,0.042,-0.428,9.967
0.08333826,0.003,-0.428,10.005
0.08730651,0.003,-0.39,10.005
0.091274805,0.003,-0.428,10.005
0.09524381,0.042,-0.39,10.005
0.09921237,0.042,-0.39,10.043
0.10318114,0.042,-0.39,9.967
0.10714983,0.003,-0.467,9.928
0.1111183,0.042,-0.428,9.967
0.115087,0.042,-0.428,9.967
0.11905592,0.042,-0.428,9.89
0.12302446,0.003,-0.428,10.005
0.12699278,0.003,-0.39,9.967
0.130961,0.042,-0.39,9.967
0.13492917,0.003,-0.428,10.005
0.13889755,0.042,-0.428,9.928
0.14286609,0.042,-0.428,9.967
0.14683464,0.042,-0.39,9.967
0.15080318,0.042,-0.39,9.967
0.15477164,0.042,-0.428,9.967
0.15874018,0.042,-0.39,10.043
0.16270871,0.042,-0.428,9.928
0.16667733,0.042,-0.39,9.928
0.17064567,0.003,-0.39,9.967
0.17461452,0.042,-0.428,9.928
0.17858312,0.08,-0.428,9.928
0.18255205,0.042,-0.428,10.005
0.18652005,0.042,-0.39,10.005
0.19048867,0.042,-0.428,10.005
0.19445728,0.042,-0.39,10.005
0.19842683,0.003,-0.39,9.928
0.2023959,0.08,-0.428,9.967
0.20636477,0.042,-0.428,9.967
0.21033323,0.042,-0.39,9.928
0.21430168,0.042,-0.428,9.967
0.21827063,0.042,-0.428,10.005
0.22223915,0.042,-0.39,9.967
0.22620754,0.003,-0.39,10.005
0.23017578,0.042,-0.39,9.967
0.23414439,0.042,-0.39,9.967
0.23811308,0.042,-0.39,9.967
0.2420816,0.042,-0.428,9.967
0.24604976,0.003,-0.428,10.005
0.25001785,0.003,-0.428,9.928
0.25398606,0.042,-0.428,10.005
0.25795436,0.042,-0.39,10.005
0.26192266,0.042,-0.39,10.005
0.2658916,0.042,-0.428,9.967
0.26986116,0.042,-0.428,9.967
0.2738299,0.08,-0.428,9.967
0.27779865,0.003,-0.428,9.967
0.28176776,0.042,-0.39,9.967
0.2857369,0.042,-0.428,9.928
0.2897059,0.042,-0.428,10.005
0.29367483,0.042,-0.428,9.967
0.29764342,0.042,-0.39,9.967
0.30161175,0.042,-0.428,9.967
0.3055802,0.042,-0.39,9.967
0.30954865,0.042,-0.428,9.928
0.313518,0.042,-0.39,10.005
0.31748715,0.042,-0.428,9.928
0.32145673,0.003,-0.428,9.967
0.3254257,0.042,-0.39,9.967
0.32939443,0.042,-0.428,10.005
0.33336326,0.003,-0.39,10.005
0.33733243,0.042,-0.428,9.967
0.3413013,0.042,-0.39,10.005
0.3452698,0.042,-0.39,9.967
0.34923804,0.003,-0.39,10.005
0.35320696,0.042,-0.39,9.967
0.3571756,0.042,-0.39,9.967
0.36114395,0.042,-0.39,9.967
0.36511296,0.042,-0.39,10.005
0.36908194,0.042,-0.428,9.967
0.37305135,0.042,-0.39,10.005
0.3770205,0.042,-0.428,9.967
0.38098943,0.042,-0.39,9.967
0.38495937,0.042,-0.39,9.967
0.38892856,0.042,-0.428,9.967
0.3928972,0.042,-0.39,9.928
0.39686573,0.042,-0.428,10.005
0.40083405,0.042,-0.428,9.967
0.40480226,0.042,-0.428,9.928
0.40877032,0.042,-0.428,9.967
0.41273862,0.003,-0.428,9.928
0.416707,0.042,-0.39,9.967
0.4206758,0.003,-0.428,9.967
0.4246444,0.042,-0.428,10.005
0.42861286,0.042,-0.428,9.967
0.4325819,0.003,-0.39,9.967
0.43654996,0.042,-0.428,10.005
0.44051826,0.042,-0.428,9.967
0.44448704,0.042,-0.428,9.967
0.4484558,0.003,-0.428,10.005
0.45242497,0.042,-0.39,9.928
0.4563939,0.042,-0.39,10.005
0.4603628,0.08,-0.39,10.005
0.46433154,0.042,-0.39,9.967
0.4683004,0.042,-0.39,10.005
0.47226885,0.003,-0.39,9.967
0.47623718,0.042,-0.39,9.967
0.4802055,0.042,-0.39,9.967
0.48417422,0.042,-0.39,9.928
0.48814297,0.042,-0.39,9.967
0.4921118,0.08,-0.428,9.928
0.4960809,0.042,-0.428,9.967
0.50004894,0.042,-0.428,9.967
0.50401664,0.042,-0.39,10.005
0.5079848,0.042,-0.39,10.005
0.5119531,0.042,-0.39,9.967
0.51592135,0.042,-0.428,9.967
0.5198899,0.042,-0.428,10.005
0.52385896,0.042,-0.39,9.928
0.5278275,0.042,-0.428,9.967
0.53179646,0.003,-0.39,10.005
0.5357654,0.003,-0.39,9.967
0.5397338,0.042,-0.428,9.928
0.5437026,0.003,-0.39,9.967
0.54767114,0.042,-0.39,9.967
0.55163914,0.042,-0.428,10.005
0.55560756,0.042,-0.428,10.005
0.5595755,0.042,-0.428,10.005
0.5635442,0.042,-0.428,10.005
0.5675124,0.042,-0.39,10.005
0.57148117,0.003,-0.428,9.967
0.57545006,0.003,-0.428,10.005
0.57941824,0.003,-0.428,9.967
0.583387,0.042,-0.428,9.928
0.58735585,0.042,-0.428,9.967
0.5913244,0.042,-0.39,9.967
0.5952929,0.042,-0.39,9.967
0.5992615,0.003,-0.39,9.928
0.6032306,0.042,-0.39,10.005
0.60719913,0.003,-0.428,9.967
0.61116827,0.042,-0.39,9.967
0.6151376,0.042,-0.39,10.005
0.61910677,0.042,-0.39,9.928
0.6230761,0.042,-0.39,10.005
0.62704587,0.042,-0.39,10.005
0.6310145,0.003,-0.428,9.967
0.6349834,0.003,-0.428,9.967
0.638952,0.08,-0.39,10.005
0.64292055,0.042,-0.39,9.967
0.6468894,0.042,-0.428,9.967
0.6508585,0.042,-0.39,9.928
0.6548266,0.042,-0.39,9.967
0.65879506,0.042,-0.428,9.967
0.6627641,0.042,-0.428,9.928
0.6667329,0.042,-0.428,9.967
0.67070186,0.042,-0.39,9.928
0.67467034,0.003,-0.39,9.967
0.6786387,0.042,-0.428,9.928
0.6826071,0.003,-0.428,9.967
0.6865756,0.042,-0.428,9.967
0.69054437,0.042,-0.39,9.967
0.69451356,0.042,-0.428,9.967
0.6984828,0.042,-0.39,10.005
0.70245224,0.042,-0.39,9.967
0.70642143,0.042,-0.428,10.005
0.71039003,0.042,-0.428,10.005
0.7143588,0.042,-0.428,9.967
0.71832746,0.042,-0.39,9.967
0.7222963,0.042,-0.39,9.967
