TIME,X,Y,Z
0.0,0.08,-0.39,10.005
0.003968923,0.157,-0.428,10.005
0.007937998,0.118,-0.39,9.967
0.011906844,0.157,-0.428,9.928
0.01587569,0.118,-0.39,10.005
0.019844616,0.08,-0.428,10.005
0.023813693,0.08,-0.39,10.005
0.027783308,0.118,-0.428,9.967
0.0317531,0.118,-0.428,10.005
0.035722867,0.118,-0.428,9.967
0.039692715,0.118,-0.428,10.005
0.043662645,0.118,-0.428,9.928
0.047631875,0.118,-0.39,9.967
0.0516008,0.118,-0.428,9.967
0.055570416,0.118,-0.428,9.967
0.059540264,0.118,-0.428,9.967
0.06350988,0.118,-0.428,9.928
0.06747973,0.157,-0.428,9.967
0.07144958,0.08,-0.428,9.967
0.07541881,0.118,-0.428,9.967
0.079388045,0.118,-0.428,9.967
0.083356895,0.08,-0.39,9.967
0.087325744,0.08,-0.428,9.967
0.09129512,0.118,-0.428,9.928
0.09526412,0.08,-0.428,10.043
0.099233575,0.118,-0.428,9.967
0.10320289,0.118,-0.428,9.967
0.10717204,0.118,-0.428,9.967
0.11114166,0.157,-0.428,9.967
0.11511184,0.157,-0.428,9.967
0.11908176,0.157,-0.39,9.967
0.12305169,0.118,-0.428,9.967
0.12702172,0.118,-0.428,9.967
0.13099149,0.118,-0.467,10.005
0.13495995,0.118,-0.428,10.005
0.13892864,0.118,-0.39,9.967
0.14289726,0.08,-0.428,9.967
0.14686604,0.157,-0.428,9.967
0.1508355,0.157,-0.428,10.005
0.15480512,0.157,-0.428,9.967
0.1587749,0.157,-0.428,9.967
0.16274415,0.118,-0.428,9.928
0.16671322,0.157,-0.39,9.967
0.17068215,0.157,-0.39,10.005
0.17465168,0.08,-0.428,9.928
0.1786216,0.118,-0.428,9.967
0.18259045,0.157,-0.428,9.967
0.18655956,0.157,-0.428,9.967
0.19052847,0.118,-0.428,9.967
0.19449739,0.08,-0.467,9.967
0.1984658,0.118,-0.467,9.967
0.20243448,0.118,-0.428,9.967
0.2064034,0.118,-0.428,10.005
0.21037225,0.118,-0.428,9.928
0.21434127,0.118,-0.428,9.928
0.21831034,0.118,-0.428,9.967
0.2222804,0.118,-0.428,10.005
0.22624932,0.118,-0.428,9.967
0.23021832,0.118,-0.39,9.928
0.23418695,0.118,-0.467,9.967
0.23815534,0.118,-0.428,10.005
0.24212395,0.118,-0.428,10.005
0.2460924,0.118,-0.467,9.967
0.2500611,0.08,-0.428,10.043
0.25402987,0.118,-0.428,9.967
0.25799868,0.08,-0.428,9.928
0.26196727,0.08,-0.428,9.967
0.26593584,0.118,-0.39,10.005
0.26990497,0.118,-0.428,10.005
0.27387434,0.08,-0.428,9.967
0.27784356,0.118,-0.428,10.005
0.28181258,0.157,-0.39,10.005
0.2857821,0.118,-0.428,9.928
0.2897508,0.118,-0.428,9.967
0.29372048,0.157,-0.428,9.967
0.29769018,0.157,-0.428,9.928
0.30165982,0.118,-0.428,10.005
0.30562925,0.157,-0.39,10.005
0.30959877,0.118,-0.428,9.967
0.31356788,0.118,-0.428,10.005
0.31753695,0.118,-0.428,10.005
0.32150602,0.157,-0.428,9.967
0.32547456,0.118,-0.428,9.967
0.3294438,0.118,-0.428,9.967
0.33341247,0.08,-0.428,9.967
0.33738086,0.08,-0.428,10.005
0.34135017,0.118,-0.428,9.967
0.34531894,0.118,-0.428,9.967
0.34928787,0.118,-0.428,10.005
0.35325694,0.118,-0.428,9.967
0.3572263,0.118,-0.467,9.967
0.36119562,0.118,-0.39,9.967
0.36516422,0.157,-0.467,9.967
0.36913267,0.118,-0.428,9.89
0.37310076,0.118,-0.467,9.967
0.3770689,0.118,-0.428,10.005
0.38103792,0.195,-0.467,9.967
0.38500652,0.118,-0.467,9.928
0.38897514,0.118,-0.467,9.928
0.39294392,0.118,-0.428,9.967
0.39691305,0.118,-0.467,9.928
0.40088195,0.118,-0.467,9.967
0.40485093,0.118,-0.428,10.005
0.40881944,0.118,-0.428,9.967
0.41278818,0.08,-0.428,9.928
0.41675687,0.157,-0.428,9.89
0.42072564,0.118,-0.39,9.967
0.42469487,0.08,-0.428,9.928
0.42866427,0.118,-0.428,9.928
0.43263218,0.118,-0.428,10.005
0.43660143,0.118,-0.467,10.043
0.44057035,0.118,-0.428,10.005
0.44453937,0.118,-0.428,10.005
0.44850844,0.118,-0.39,9.967
0.45247734,0.118,-0.428,10.005
0.456446,0.118,-0.428,9.967
0.4604153,0.08,-0.428,10.005
0.46438432,0.118,-0.467,9.928
0.46835348,0.118,-0.428,10.005
0.47232372,0.118,-0.39,9.928
0.47629368,0.157,-0.428,9.967
0.48026377,0.118,-0.39,10.005
0.48423356,0.118,-0.467,9.928
0.48820257,0.157,-0.428,10.043
0.49217215,0.118,-0.428,9.928
0.49614125,0.08,-0.428,9.928
0.5001106,0.118,-0.428,10.043
0.50407976,0.118,-0.39,9.928
0.5080485,0.08,-0.428,10.005
0.5120171,0.118,-0.428,10.005
0.5159854,0.118,-0.428,10.005
0.5199544,0.118,-0.467,9.928
0.52392334,0.118,-0.428,9.928
0.52789295,0.118,-0.428,10.005
0.5318623,0.08,-0.467,9.967
0.5358322,0.118,-0.428,10.005
0.53980136,0.118,-0.428,10.005
0.54377025,0.08,-0.428,10.005
0.547739,0.118,-0.428,10.005
0.55170816,0.118,-0.428,9.967
0.5556771,0.118,-0.428,10.005
0.5596464,0.118,-0.428,9.967
0.5636158,0.08,-0.428,9.928
0.56758606,0.118,-0.428,9.967
0.5715553,0.118,-0.428,9.967
0.5755246,0.118,-0.428,9.967
0.5794936,0.118,-0.39,9.928
0.58346254,0.157,-0.428,10.005
0.5874321,0.118,-0.428,9.967
0.5914013,0.08,-0.428,9.928
0.5953713,0.157,-0.39,10.005
0.5993414,0.118,-0.39,9.967
0.60331154,0.118,-0.428,10.005
0.6072816,0.157,-0.39,9.967
0.61125094,0.118,-0.39,9.967
0.61522084,0.08,-0.428,9.967
0.6191905,0.157,-0.428,9.967
0.62316006,0.118,-0.428,9.967
0.6271293,0.118,-0.428,9.967
0.6310982,0.118,-0.428,9.928
0.6350675,0.118,-0.428,9.967
0.63903683,0.118,-0.428,10.005
0.6430063,0.118,-0.428,9.967
0.6469757,0.118,-0.428,10.005
0.65094507,0.118,-0.428,10.005
0.6549148,0.157,-0.428,9.967
0.65888417,0.08,-0.39,10.005
0.66285306,0.118,-0.428,9.967
0.6668218,0.118,-0.428,9.928
0.670791,0.157,-0.39,9.967
0.6747599,0.118,-0.428,9.967
0.6787288,0.118,-0.428,9.967
0.6826977,0.118,-0.39,9.967
0.68666667,0.118,-0.467,9.967
0.6906353,0.118,-0.467,9.967
0.694604,0.08,-0.467,9.967
0.6985729,0.08,-0.428,10.005
0.70254254,0.118,-0.428,10.005
0.7065119,0.118,-0.428,9.967
0.7104819,0.118,-0.428,9.967
0.7144518,0.118,-0.428,9.967
0.71842164,0.118,-0.39,9.967
0.7223914,0.118,-0.428,10.005
0.72636074,0.118,-0.428,10.005
0.73033077,0.118,-0.467,10.005
0.73430055,0.118,-0.428,9.967
0.73827064,0.118,-0.39,9.928
0.7422402,0.118,-0.39,9.967
0.7462092,0.118,-0.428,9.967
0.7501781,0.118,-0.428,9.967
0.7541473,0.118,-0.467,9.967
0.75811684,0.118,-0.428,9.967
0.76208675,0.157,-0.39,9.967
0.76605576,0.157,-0.428,10.005
0.77002573,0.118,-0.428,9.928
0.7739949,0.157,-0.428,9.967
0.7779642,0.157,-0.428,9.967
0.78193384,0.118,-0.39,9.967
0.785904,0.157,-0.428,10.005
0.789873,0.118,-0.428,9.967
0.79384214,0.08,-0.428,9.967
0.7978115,0.118,-0.467,10.005
0.8017813,0.118,-0.428,9.967
0.8057509,0.08,-0.39,9.967
0.80972034,0.08,-0.428,9.967
0.8136893,0.08,-0.467,9.967
0.8176586,0.08,-0.428,9.928
0.82162786,0.157,-0.428,10.005
0.82559747,0.118,-0.39,10.005
0.8295668,0.118,-0.39,9.967
0.83353657,0.118,-0.428,9.967
0.83750707,0.157,-0.39,9.967
0.84147686,0.157,-0.428,9.928
0.845446,0.118,-0.428,9.967
