TIME,X,Y,Z
0.0,0.118,-0.467,9.737
0.003966307,0.08,-0.467,9.967
0.007932079,0.118,-0.467,9.967
0.01189831,0.118,-0.428,9.928
0.015863849,0.118,-0.467,9.967
0.019830106,0.08,-0.428,9.967
0.023795798,0.118,-0.428,9.967
0.02776172,0.118,-0.428,10.005
0.03172741,0.118,-0.467,9.928
0.035693027,0.118,-0.428,9.928
0.039658565,0.118,-0.467,9.967
0.043623883,0.118,-0.467,9.967
0.0475895,0.08,-0.428,9.967
0.051555347,0.08,-0.467,9.967
0.05552104,0.08,-0.467,9.967
0.059486963,0.118,-0.428,9.967
0.06345243,0.08,-0.467,9.967
0.06741813,0.08,-0.428,9.967
0.07138336,0.118,-0.467,9.967
0.07534874,0.118,-0.467,9.967
0.07931443,0.08,-0.467,9.967
0.08327997,0.08,-0.428,9.967
0.0872452,0.08,-0.467,9.928
0.09121059,0.08,-0.428,9.967
0.095176056,0.118,-0.428,9.967
0.09914182,0.118,-0.428,9.928
0.103107125,0.08,-0.467,9.967
0.10707267,0.118,-0.428,9.967
0.11103844,0.118,-0.428,9.928
0.115004376,0.118,-0.428,9.928
0.118970074,0.157,-0.428,9.967
0.12293576,0.118,-0.428,9.967
0.12690093,0.118,-0.467,9.967
0.13086608,0.118,-0.428,9.967
0.13483255,0.08,-0.428,10.005
0.1387988,0.118,-0.428,9.967
0.14276503,0.08,-0.467,9.89
0.14673126,0.118,-0.467,9.967
0.15069637,0.118,-0.428,9.967
0.1546622,0.08,-0.467,10.005
0.1586279,0.118,-0.467,10.005
0.1625932,0.118,-0.467,9.928
0.1665592,0.08,-0.467,9.967
0.17052482,0.118,-0.467,10.005
0.17449021,0.118,-0.428,10.005
0.1784562,0.118,-0.467,9.967
0.18242167,0.08,-0.467,9.967
0.18638732,0.08,-0.428,9.928
0.19035316,0.08,-0.467,9.928
0.19431862,0.08,-0.467,9.967
0.19828409,0.08,-0.428,9.967
0.20224947,0.118,-0.428,9.967
0.20621508,0.118,-0.467,9.928
0.21018109,0.118,-0.467,9.967
0.21414639,0.08,-0.428,9.967
0.21811247,0.08,-0.467,10.005
0.222078,0.118,-0.39,9.967
0.22604433,0.118,-0.428,9.967
0.23000994,0.118,-0.467,10.005
0.23397593,0.118,-0.467,9.928
0.23794164,0.08,-0.428,9.928
0.24190739,0.08,-0.467,9.967
0.24587348,0.08,-0.428,10.005
0.24983971,0.118,-0.467,10.005
0.25380573,0.118,-0.467,9.967
0.25777087,0.118,-0.428,9.928
0.26173624,0.08,-0.428,9.928
0.26570186,0.118,-0.428,9.967
0.26966757,0.118,-0.467,9.967
0.27363357,0.08,-0.467,9.967
0.2775989,0.08,-0.428,9.967
0.28156427,0.118,-0.467,10.005
0.2855298,0.118,-0.467,10.005
0.28949532,0.118,-0.467,9.967
0.29346088,0.08,-0.428,9.928
0.2974261,0.118,-0.467,9.967
0.30139166,0.08,-0.428,9.928
0.30535713,0.118,-0.428,9.928
0.30932233,0.118,-0.428,9.928
0.31328765,0.118,-0.428,9.967
0.3172529,0.118,-0.467,9.967
0.32121828,0.118,-0.428,9.967
0.32518327,0.08,-0.467,9.928
0.32914826,0.08,-0.467,9.967
0.33311373,0.08,-0.428,9.967
0.33707958,0.08,-0.428,9.967
0.34104526,0.118,-0.428,9.967
0.34501094,0.118,-0.467,9.967
0.34897658,0.118,-0.428,9.967
0.3529427,0.08,-0.467,9.967
0.35690826,0.118,-0.428,9.928
0.3608738,0.118,-0.467,9.967
0.36483952,0.118,-0.428,9.967
0.36880538,0.118,-0.467,9.928
0.37277105,0.08,-0.428,9.967
0.3767369,0.118,-0.467,10.005
0.38070258,0.118,-0.467,9.967
0.38466796,0.118,-0.467,9.967
0.38863337,0.08,-0.428,9.928
0.39259875,0.118,-0.467,9.928
0.3965646,0.118,-0.467,9.928
0.40053025,0.118,-0.428,9.967
0.4044954,0.118,-0.543,9.967
