TIME,X,Y,Z
0.0,0.118,-0.467,9.967
0.003970231,0.118,-0.428,9.928
0.007940546,0.118,-0.428,10.005
0.011910546,0.118,-0.428,9.967
0.015880393,0.118,-0.467,9.967
0.019850008,0.08,-0.467,9.967
0.023819624,0.118,-0.467,10.005
0.027789472,0.157,-0.428,9.967
0.03175893,0.118,-0.428,9.967
0.035728853,0.118,-0.39,10.005
0.0396987,0.118,-0.428,9.928
0.043668855,0.118,-0.428,9.928
0.047639083,0.118,-0.39,10.005
0.05160924,0.118,-0.467,10.005
0.055578776,0.118,-0.428,9.967
0.05954831,0.118,-0.467,10.005
0.06351762,0.118,-0.467,10.005
0.0674871,0.118,-0.39,9.967
0.07145695,0.118,-0.428,9.967
0.075427555,0.157,-0.428,10.005
0.079397626,0.157,-0.428,9.928
0.083367705,0.118,-0.428,9.967
0.08733809,0.118,-0.428,9.967
0.09130832,0.118,-0.428,9.967
0.095278084,0.157,-0.428,10.043
0.09924809,0.118,-0.428,10.005
0.10321809,0.118,-0.467,9.967
0.10718871,0.08,-0.428,10.005
0.11115886,0.118,-0.428,9.967
0.11512865,0.118,-0.428,9.928
0.11909888,0.118,-0.428,10.005
0.123069264,0.118,-0.428,10.005
0.12703918,0.157,-0.428,9.967
0.13100894,0.118,-0.428,10.005
0.13497917,0.157,-0.467,9.967
0.13894935,0.157,-0.428,9.967
0.14291981,0.118,-0.428,9.967
0.14689042,0.118,-0.467,10.005
0.15086125,0.118,-0.428,9.967
0.15483141,0.118,-0.467,9.967
0.1588018,0.08,-0.428,10.005
0.16277224,0.118,-0.39,9.967
0.16674279,0.08,-0.428,10.005
0.17071278,0.118,-0.467,10.005
0.17468266,0.118,-0.428,9.967
0.17865244,0.08,-0.428,9.967
0.18262282,0.08,-0.428,9.967
0.18659262,0.08,-0.467,9.967
0.19056293,0.118,-0.428,9.967
0.19453287,0.118,-0.428,10.005
0.19850317,0.118,-0.428,9.967
0.2024734,0.118,-0.428,9.967
0.20644371,0.118,-0.467,9.967
0.21041381,0.08,-0.428,10.005
0.21438435,0.118,-0.39,9.967
0.21835473,0.157,-0.428,10.005
0.2223249,0.118,-0.428,10.005
0.22629482,0.118,-0.428,10.005
0.23026527,0.118,-0.467,10.005
0.2342353,0.157,-0.428,9.967
0.23820484,0.118,-0.428,10.005
0.24217491,0.118,-0.428,9.967
0.24614474,0.118,-0.428,9.967
0.2501143,0.118,-0.428,9.928
0.25408414,0.157,-0.428,9.967
0.25805414,0.157,-0.428,9.967
0.26202396,0.118,-0.428,9.967
0.26599398,0.118,-0.428,9.967
0.2699642,0.118,-0.428,9.967
0.27393448,0.118,-0.428,9.928
0.2779048,0.157,-0.428,9.967
0.28187436,0.118,-0.467,9.967
0.28584412,0.118,-0.428,9.967
0.2898142,0.118,-0.39,10.005
0.29378435,0.118,-0.467,9.967
0.297754,0.118,-0.428,9.928
0.30172434,0.118,-0.428,10.005
0.30569446,0.08,-0.428,10.005
0.3096646,0.118,-0.467,9.928
0.31363463,0.118,-0.428,9.967
0.31760484,0.118,-0.467,9.967
0.32157528,0.118,-0.467,10.043
0.32554567,0.118,-0.428,9.967
0.32951605,0.118,-0.428,9.967
0.33348632,0.118,-0.428,9.967
0.33745623,0.118,-0.428,9.967
0.34142634,0.118,-0.467,9.967
0.34539658,0.08,-0.467,9.967
0.34936735,0.118,-0.467,9.967
0.3533375,0.157,-0.428,9.967
0.3573072,0.118,-0.428,9.967
0.36127728,0.118,-0.428,9.967
0.3652471,0.118,-0.428,9.928
0.36921763,0.118,-0.467,9.967
0.37318793,0.157,-0.467,10.005
0.37715855,0.118,-0.428,9.967
0.38112903,0.118,-0.428,9.967
0.38509884,0.118,-0.467,9.967
0.38906878,0.118,-0.428,10.005
0.39303884,0.08,-0.428,9.967
0.39700937,0.118,-0.467,10.005
0.4009796,0.118,-0.428,10.005
0.40495014,0.118,-0.428,10.043
0.40892,0.157,-0.467,9.967
0.41288984,0.157,-0.428,9.928
0.4168599,0.118,-0.39,9.928
0.42082977,0.157,-0.428,9.967
0.4247994,0.118,-0.467,9.967
0.4287689,0.118,-0.428,9.928
0.43273932,0.118,-0.39,9.967
0.43670958,0.118,-0.428,9.928
0.44067937,0.118,-0.467,10.043
0.44464895,0.118,-0.428,10.005
0.44861883,0.118,-0.428,9.967
0.45258945,0.118,-0.428,9.967
0.45656013,0.118,-0.428,9.967
0.46053013,0.118,-0.467,9.967
0.46450022,0.118,-0.428,9.928
0.4684707,0.157,-0.467,10.005
0.47244057,0.118,-0.428,9.928
0.47641104,0.118,-0.428,9.967
0.4803814,0.118,-0.428,9.967
0.48435196,0.08,-0.428,9.967
0.48832217,0.157,-0.467,9.967
0.49229264,0.118,-0.428,10.005
0.49626312,0.157,-0.467,9.967
0.500233,0.118,-0.39,9.967
0.5042029,0.118,-0.428,10.005
0.50817245,0.118,-0.428,10.005
0.51214206,0.118,-0.428,9.967
0.5161122,0.118,-0.467,10.005
0.5200827,0.118,-0.428,9.967
0.5240526,0.118,-0.428,9.967
0.5280227,0.118,-0.428,10.043
0.5319934,0.118,-0.428,10.005
0.53596306,0.118,-0.428,9.967
0.53993267,0.157,-0.428,9.967
0.54390234,0.118,-0.428,10.005
0.5478728,0.118,-0.467,10.005
0.55184263,0.118,-0.428,9.967
0.55581254,0.118,-0.428,9.967
0.55978227,0.08,-0.467,9.967
0.5637523,0.157,-0.428,9.89
0.5677222,0.118,-0.428,9.967
0.5716921,0.157,-0.428,9.967
0.575662,0.118,-0.428,9.928
0.5796324,0.118,-0.428,9.967
0.5836021,0.08,-0.428,10.005
0.58757216,0.118,-0.467,9.967
0.59154224,0.118,-0.428,9.967
0.5955119,0.118,-0.428,9.967
0.59948224,0.118,-0.467,9.967
0.60345256,0.118,-0.467,9.928
0.60742205,0.118,-0.428,9.967
0.6113917,0.118,-0.428,10.005
0.6153614,0.118,-0.428,10.005
0.619331,0.118,-0.428,9.928
0.6233009,0.118,-0.428,9.967
0.6272705,0.118,-0.467,10.043
0.63124055,0.118,-0.428,9.928
0.63521004,0.118,-0.467,9.967
0.6391794,0.118,-0.428,10.043
0.64314884,0.118,-0.467,9.928
0.6471184,0.118,-0.428,10.043
0.651088,0.157,-0.467,10.005
0.65505755,0.118,-0.428,9.967
0.6590276,0.118,-0.428,10.005
0.6629983,0.118,-0.467,9.967
0.66696894,0.157,-0.39,10.005
0.67093986,0.118,-0.428,9.967
0.67491,0.118,-0.428,10.005
0.67888016,0.118,-0.428,10.005
0.6828497,0.157,-0.467,9.967
0.68682015,0.157,-0.467,10.043
0.6907904,0.118,-0.428,10.043
0.6947602,0.118,-0.467,9.928
0.6987299,0.157,-0.467,10.043
0.7026999,0.118,-0.39,10.005
0.70666987,0.157,-0.428,10.005
