TIME,X,Y,Z
0.0,0.386,-0.275,9.354
0.00396,0.386,-0.314,10.005
0.00791894,0.348,-0.275,9.928
0.011878017,0.348,-0.314,9.928
0.015837556,0.386,-0.314,9.928
0.019796958,0.386,-0.275,9.928
0.023756575,0.348,-0.314,9.928
0.02771642,0.31,-0.275,9.967
0.03167612,0.348,-0.314,9.928
0.035635505,0.348,-0.275,9.967
0.03959535,0.386,-0.275,9.89
0.043555036,0.348,-0.314,9.928
0.04751465,0.348,-0.275,9.928
0.051473886,0.348,-0.314,9.928
0.055433296,0.386,-0.314,9.928
0.05939214,0.348,-0.275,9.928
0.06335176,0.348,-0.314,9.967
0.06731106,0.386,-0.314,9.967
0.07127068,0.386,-0.314,9.928
0.075230144,0.31,-0.314,9.967
0.07918967,0.386,-0.314,9.928
0.08314952,0.386,-0.275,9.928
0.08710952,0.348,-0.275,9.967
0.091068864,0.348,-0.275,9.967
0.09502856,0.386,-0.314,9.928
0.09898748,0.386,-0.314,9.89
0.1029468,0.348,-0.314,9.928
0.10690672,0.386,-0.275,9.928
0.11086672,0.348,-0.314,9.967
0.11482672,0.348,-0.275,9.967
0.118787184,0.386,-0.275,9.967
0.12274772,0.386,-0.314,9.928
0.12670796,0.386,-0.275,9.928
0.1306674,0.386,-0.314,9.928
0.13462657,0.348,-0.314,9.928
0.13858603,0.348,-0.275,9.928
0.14254549,0.386,-0.352,9.928
0.14650488,0.386,-0.314,9.967
0.1504645,0.386,-0.275,9.928
0.15442482,0.386,-0.275,9.928
0.15838458,0.348,-0.275,9.967
0.16234481,0.348,-0.275,9.967
0.16630504,0.348,-0.314,9.928
0.17026512,0.348,-0.314,9.967
0.17422459,0.348,-0.275,9.89
0.17818406,0.348,-0.275,9.928
0.18214336,0.386,-0.314,9.967
0.1861033,0.348,-0.275,9.967
0.19006267,0.425,-0.275,9.928
0.19402191,0.348,-0.275,9.928
0.1979812,0.386,-0.314,9.967
0.20194043,0.348,-0.314,9.967
0.20590013,0.386,-0.275,9.967
0.2098599,0.348,-0.275,9.928
0.21381958,0.348,-0.314,9.967
0.21777882,0.348,-0.314,9.967
0.22173758,0.386,-0.314,9.928
0.22569674,0.386,-0.314,9.89
0.22965635,0.348,-0.275,9.928
0.23361589,0.386,-0.275,9.928
0.2375752,0.348,-0.275,9.928
0.24153419,0.348,-0.314,9.967
0.24549377,0.348,-0.275,9.967
0.2494534,0.386,-0.314,9.928
0.25341254,0.348,-0.314,9.928
0.25737163,0.348,-0.275,9.928
0.2613307,0.348,-0.275,9.928
0.26528972,0.348,-0.314,9.967
0.26924926,0.386,-0.275,9.928
0.27320865,0.348,-0.314,9.928
0.2771681,0.386,-0.275,9.967
0.28112757,0.348,-0.275,9.928
0.2850866,0.386,-0.275,9.928
0.28904638,0.386,-0.314,9.928
0.29300544,0.348,-0.314,9.928
0.2969643,0.386,-0.275,9.928
0.3009233,0.386,-0.275,9.89
0.30488276,0.386,-0.275,9.928
0.30884215,0.386,-0.314,9.928
0.31280115,0.386,-0.314,9.928
0.31676078,0.386,-0.275,9.928
0.3207197,0.348,-0.275,9.89
0.32467863,0.386,-0.275,9.928
0.3286373,0.348,-0.314,9.928
0.33259678,0.348,-0.275,9.967
0.3365554,0.348,-0.314,9.928
0.3405149,0.386,-0.314,9.89
0.3444736,0.348,-0.314,9.928
0.34843266,0.386,-0.314,9.928
0.352392,0.348,-0.314,9.928
0.3563514,0.348,-0.314,9.967
0.3603114,0.386,-0.275,9.967
0.36427101,0.348,-0.275,9.967
0.36823124,0.386,-0.314,10.043
0.3721913,0.386,-0.275,9.967
0.37615144,0.348,-0.275,9.928
0.38011137,0.386,-0.275,9.967
0.38407084,0.386,-0.314,9.852
0.3880302,0.386,-0.314,9.967
0.3919896,0.425,-0.275,9.967
0.39594975,0.348,-0.314,9.967
0.39990938,0.386,-0.314,9.967
0.40386915,0.386,-0.275,9.89
0.4078282,0.386,-0.275,9.967
0.41178712,0.348,-0.314,9.89
0.41574597,0.386,-0.275,9.852
0.4197051,0.386,-0.314,9.967
0.4236646,0.386,-0.275,9.852
0.42762312,0.31,-0.314,9.928
0.43158224,0.386,-0.275,9.967
0.43554172,0.348,-0.314,9.967
0.4395014,0.386,-0.275,9.89
0.44346002,0.31,-0.314,9.852
0.4474184,0.386,-0.314,9.928
0.4513773,0.386,-0.314,9.852
0.4553367,0.31,-0.275,9.967
0.4592968,0.348,-0.275,9.89
0.46325707,0.31,-0.275,9.967
0.46721655,0.386,-0.275,10.005
0.47117594,0.386,-0.275,9.928
0.4751348,0.386,-0.275,9.967
0.4790938,0.31,-0.275,9.928
0.483053,0.386,-0.314,9.928
0.487012,0.348,-0.314,9.89
0.49097055,0.348,-0.275,9.89
0.49492922,0.386,-0.275,10.043
0.49888828,0.348,-0.275,9.89
0.50284725,0.348,-0.314,9.928
0.5068065,0.386,-0.275,9.967
0.5107664,0.386,-0.314,9.89
0.51472616,0.425,-0.275,9.928
0.518685,0.386,-0.314,9.928
0.5226446,0.386,-0.314,9.967
0.5266037,0.386,-0.275,9.928
0.53056246,0.348,-0.275,9.928
0.5345212,0.386,-0.314,9.967
0.53848016,0.348,-0.314,9.967
0.54244,0.348,-0.275,9.967
0.5463984,0.348,-0.275,9.928
0.5503574,0.348,-0.275,9.928
0.55431676,0.348,-0.314,9.928
0.5582762,0.348,-0.314,9.967
0.5622351,0.386,-0.314,9.967
0.5661947,0.386,-0.237,9.928
0.5701543,0.348,-0.275,10.005
0.5741137,0.386,-0.314,9.928
0.57807326,0.386,-0.275,9.967
0.5820324,0.348,-0.314,9.89
0.5859914,0.386,-0.275,9.967
0.5899509,0.386,-0.275,9.928
0.5939095,0.348,-0.314,9.928
0.5978685,0.386,-0.275,9.928
0.6018279,0.386,-0.314,9.89
0.6057873,0.386,-0.275,9.967
0.6097459,0.348,-0.314,9.928
0.61370456,0.425,-0.314,9.928
0.6176638,0.386,-0.275,9.928
0.6216222,0.386,-0.275,9.967
0.6255808,0.386,-0.314,9.928
0.6295396,0.425,-0.314,10.005
0.6334984,0.386,-0.314,9.89
0.63745743,0.348,-0.314,9.928
0.64141595,0.386,-0.314,9.967
