TIME,X,Y,Z
0.0,0.348,-0.237,9.737
0.003958769,0.348,-0.275,9.89
0.00791738,0.348,-0.275,9.967
0.011876457,0.348,-0.275,9.928
0.015835535,0.386,-0.275,9.928
0.019794803,0.386,-0.275,9.967
0.023753803,0.348,-0.275,9.928
0.027713265,0.386,-0.314,9.928
0.031672645,0.348,-0.275,9.928
0.035631794,0.348,-0.275,9.967
0.039591186,0.348,-0.314,9.928
0.04355071,0.348,-0.275,9.928
0.04750971,0.348,-0.314,9.89
0.05146871,0.386,-0.275,9.967
0.055427805,0.348,-0.275,9.928
0.059386726,0.386,-0.275,9.928
0.06334565,0.348,-0.275,9.928
0.06730441,0.386,-0.314,9.928
0.07126341,0.386,-0.275,9.89
0.07522241,0.348,-0.275,9.89
0.07918132,0.386,-0.237,9.928
0.08314063,0.386,-0.275,9.967
0.0870997,0.348,-0.314,9.928
0.09105862,0.386,-0.314,9.967
0.09501862,0.386,-0.314,9.928
0.09897777,0.386,-0.275,9.967
0.10293678,0.348,-0.314,9.928
0.10689563,0.386,-0.275,9.928
0.11085432,0.386,-0.314,9.928
0.11481308,0.425,-0.314,9.928
0.11877201,0.348,-0.275,9.928
0.122730546,0.31,-0.275,9.928
0.12668978,0.348,-0.275,9.928
0.13064955,0.386,-0.275,9.967
0.13460848,0.386,-0.275,9.967
0.13856687,0.348,-0.314,9.928
0.14252563,0.348,-0.314,9.89
0.14648432,0.386,-0.275,9.967
0.15044287,0.348,-0.275,9.928
0.15440163,0.348,-0.275,9.967
0.1583604,0.348,-0.237,9.89
0.16231848,0.348,-0.275,9.928
0.16627695,0.386,-0.314,9.928
0.17023563,0.386,-0.314,9.928
0.17419489,0.348,-0.275,9.89
0.17815444,0.348,-0.275,9.928
0.18211411,0.386,-0.314,9.967
0.18607353,0.386,-0.275,9.89
0.19003251,0.348,-0.275,9.89
0.19399098,0.348,-0.275,9.967
0.19795036,0.386,-0.275,9.967
0.20190851,0.348,-0.314,9.928
0.20586728,0.348,-0.275,9.928
0.20982555,0.348,-0.275,9.928
0.21378371,0.348,-0.275,9.928
0.21774164,0.386,-0.275,9.928
0.22169948,0.386,-0.314,9.928
0.22565801,0.425,-0.237,9.928
0.22961631,0.386,-0.314,9.928
0.23357533,0.348,-0.275,9.89
0.23753472,0.386,-0.314,9.928
0.24149425,0.348,-0.275,9.967
0.24545334,0.386,-0.275,9.967
0.24941266,0.386,-0.275,9.928
0.25337118,0.386,-0.275,9.89
0.25732973,0.348,-0.275,9.967
0.26128927,0.386,-0.275,9.967
0.2652488,0.386,-0.275,9.89
0.2692084,0.348,-0.275,9.967
0.27316782,0.348,-0.275,9.967
0.27712688,0.348,-0.275,9.928
0.28108522,0.348,-0.275,9.928
0.28504413,0.386,-0.275,9.928
0.2890028,0.348,-0.314,9.928
0.29296228,0.386,-0.237,9.928
0.29692122,0.386,-0.275,9.89
0.30088067,0.386,-0.314,9.928
0.30483967,0.386,-0.275,9.89
0.30879915,0.386,-0.275,9.967
0.3127586,0.386,-0.314,9.967
0.3167174,0.348,-0.275,9.967
0.32067624,0.386,-0.275,9.928
0.32463482,0.386,-0.275,9.928
0.32859367,0.386,-0.275,9.928
0.33255237,0.386,-0.275,9.928
0.33651093,0.386,-0.275,9.928
0.34046975,0.348,-0.275,9.928
0.3444286,0.348,-0.275,9.89
0.3483873,0.348,-0.275,9.928
0.35234642,0.386,-0.275,9.928
0.3563055,0.348,-0.275,9.89
0.36026457,0.348,-0.314,9.928
0.3642235,0.386,-0.275,9.967
0.36818197,0.386,-0.275,9.89
0.37214044,0.348,-0.275,9.967
0.37609926,0.348,-0.275,9.852
0.3800588,0.386,-0.275,9.852
0.38401824,0.348,-0.275,9.814
0.38797742,0.348,-0.275,9.852
0.39193663,0.386,-0.275,9.967
0.39589614,0.348,-0.237,10.082
0.39985588,0.386,-0.275,9.967
0.40381494,0.31,-0.314,9.852
0.40777346,0.31,-0.314,9.89
0.41173202,0.386,-0.314,9.89
0.41569072,0.386,-0.275,9.89
0.41964963,0.348,-0.275,9.967
0.42360878,0.348,-0.314,9.967
0.42756745,0.348,-0.314,9.928
0.43152598,0.348,-0.314,9.928
0.43548477,0.348,-0.314,9.852
0.439444,0.348,-0.314,9.89
0.44340324,0.348,-0.314,9.852
0.44736224,0.348,-0.275,9.852
0.4513213,0.348,-0.275,9.852
0.45528138,0.348,-0.275,9.967
0.45924067,0.386,-0.275,10.005
0.46320045,0.386,-0.314,10.043
0.4671597,0.386,-0.275,9.967
0.47111928,0.386,-0.275,9.967
0.47507843,0.386,-0.314,9.89
0.4790376,0.31,-0.314,9.852
0.48299655,0.348,-0.314,9.852
0.48695502,0.348,-0.314,9.89
0.49091375,0.348,-0.275,9.89
0.4948732,0.348,-0.275,9.928
0.49883226,0.386,-0.275,9.928
0.5027904,0.348,-0.314,9.928
0.5067487,0.348,-0.275,10.005
0.51070756,0.386,-0.275,10.043
0.5146668,0.348,-0.275,10.005
0.51862574,0.386,-0.275,10.005
