TIME,X,Y,Z
0.0,0.042,-0.39,9.775
0.00396323,0.042,-0.428,9.89
0.007926621,0.042,-0.428,9.967
0.01188939,0.042,-0.428,9.928
0.015852466,0.042,-0.428,9.967
0.019815322,0.003,-0.428,9.967
0.023778552,0.08,-0.467,9.967
0.027741246,0.08,-0.428,9.967
0.031703953,0.042,-0.428,10.005
0.035666417,0.08,-0.39,9.967
0.0396288,0.042,-0.428,9.967
0.04359111,0.042,-0.39,9.928
0.047553416,0.042,-0.428,9.928
0.051515877,0.08,-0.428,9.967
0.055478424,0.042,-0.428,9.967
0.059440274,0.042,-0.428,9.967
0.06340235,0.042,-0.428,9.928
0.06736453,0.08,-0.428,9.928
0.07132683,0.08,-0.428,9.967
0.07528923,0.042,-0.428,9.928
0.07925192,0.042,-0.428,10.005
0.08321476,0.042,-0.39,9.928
0.08717754,0.08,-0.428,9.928
0.09114031,0.08,-0.428,9.928
0.09510291,0.042,-0.467,9.928
0.09906553,0.042,-0.428,9.967
0.10302795,0.08,-0.428,9.928
0.106990404,0.08,-0.39,9.967
0.110953175,0.08,-0.428,9.967
0.11491611,0.042,-0.428,9.967
0.11887896,0.08,-0.428,10.005
0.1228418,0.08,-0.428,9.967
0.1268045,0.08,-0.428,9.928
0.13076735,0.042,-0.467,9.928
0.13472973,0.042,-0.39,9.928
0.13869222,0.08,-0.467,9.967
0.14265513,0.042,-0.467,9.928
0.14661767,0.08,-0.39,9.967
0.15057975,0.042,-0.428,9.928
0.15454221,0.042,-0.428,9.967
0.15850459,0.042,-0.428,9.967
0.16246745,0.08,-0.428,9.928
0.16642953,0.118,-0.428,9.928
0.17039192,0.08,-0.428,9.928
0.17435502,0.042,-0.428,9.928
0.17831849,0.042,-0.467,9.967
0.18228172,0.042,-0.428,9.967
0.18624464,0.08,-0.39,9.967
0.19020733,0.042,-0.428,9.89
0.19416988,0.042,-0.428,9.928
0.19813202,0.042,-0.428,9.967
0.20209418,0.042,-0.428,9.928
0.20605601,0.042,-0.428,9.928
0.21001787,0.042,-0.428,9.967
0.21398033,0.042,-0.428,9.967
0.21794264,0.042,-0.467,9.928
0.2219051,0.042,-0.428,9.928
0.22586718,0.042,-0.39,9.967
0.2298291,0.042,-0.428,10.005
0.23379079,0.042,-0.428,9.967
0.23775248,0.042,-0.39,9.967
0.24171402,0.042,-0.39,9.928
0.24567647,0.042,-0.428,9.967
0.24963917,0.042,-0.428,9.967
0.2536014,0.042,-0.428,9.967
0.25756356,0.08,-0.428,9.967
0.26152557,0.08,-0.428,9.89
0.26548788,0.08,-0.428,9.928
0.26944992,0.042,-0.39,9.928
0.27341223,0.042,-0.428,9.928
0.27737406,0.042,-0.428,9.928
0.281336,0.042,-0.39,10.005
0.28529814,0.042,-0.428,9.928
0.28926006,0.042,-0.467,9.928
0.29322168,0.003,-0.428,9.928
0.29718375,0.003,-0.428,10.005
0.3011457,0.042,-0.428,10.005
0.30510798,0.042,-0.428,9.928
0.30907005,0.08,-0.428,9.928
0.31303218,0.08,-0.428,9.928
0.3169939,0.118,-0.39,9.967
0.32095614,0.118,-0.39,9.967
0.32491913,0.042,-0.428,9.928
0.32888174,0.08,-0.428,9.967
0.33284357,0.118,-0.39,9.928
0.33680606,0.08,-0.428,9.852
0.34076858,0.042,-0.428,9.967
0.3447312,0.042,-0.467,10.005
0.3486935,0.003,-0.428,9.928
0.35265586,-0.034,-0.467,9.928
0.35661864,-0.034,-0.428,9.928
0.36058164,0.003,-0.428,9.89
0.36454487,0.042,-0.428,9.967
0.36850777,0.08,-0.428,9.928
0.37246996,0.08,-0.428,9.89
0.37643203,0.08,-0.428,9.967
0.38039473,0.08,-0.428,9.967
0.38435757,0.08,-0.428,10.005
0.38832018,0.118,-0.467,9.967
0.39228243,0.08,-0.428,9.967
0.39624533,0.08,-0.428,9.928
0.40020797,0.042,-0.428,9.928
0.40417105,0.042,-0.39,9.928
0.4081341,0.003,-0.428,9.928
0.4120968,0.042,-0.428,9.928
0.4160599,0.042,-0.467,9.967
0.42002314,0.042,-0.428,10.005
0.4239855,0.08,-0.428,9.967
0.42794797,0.08,-0.428,9.967
0.43190998,0.118,-0.428,9.967
0.43587223,0.08,-0.39,9.967
0.4398353,0.042,-0.428,10.005
0.44379815,0.042,-0.39,9.967
0.44776028,0.003,-0.39,9.967
0.45172226,0.003,-0.428,9.928
0.45568472,0.042,-0.428,9.89
0.45964688,0.003,-0.505,9.967
0.46360928,0.08,-0.467,9.967
0.46757126,0.08,-0.428,9.967
0.4715338,0.08,-0.428,9.967
0.4754966,0.118,-0.428,10.043
0.4794591,0.08,-0.39,9.967
0.48342136,0.157,-0.505,10.082
0.48738378,0.118,-0.428,9.967
0.4913465,0.042,-0.428,9.928
0.49530935,0.003,-0.467,10.005
0.49927172,-0.034,-0.467,9.89
0.5032344,-0.034,-0.467,9.967
0.5071978,0.003,-0.428,9.967
0.5111608,0.003,-0.467,9.967
0.5151242,0.003,-0.467,9.928
0.5190877,0.003,-0.428,9.852
0.5230508,0.042,-0.428,9.89
0.5270138,0.08,-0.428,9.89
0.5309768,0.08,-0.39,9.89
0.53493935,0.08,-0.39,9.928
0.5389023,0.118,-0.39,9.89
0.5428654,0.118,-0.39,9.928
0.5468285,0.08,-0.39,9.967
0.5507915,0.08,-0.428,9.928
0.55475456,0.08,-0.428,9.967
0.5587172,0.08,-0.467,9.967
0.5626802,0.042,-0.467,10.005
0.5666428,0.042,-0.428,9.89
0.57060534,0.042,-0.467,10.005
0.57456785,0.042,-0.467,10.043
0.57853,0.08,-0.428,9.928
0.5824925,0.08,-0.428,9.89
0.5864548,0.042,-0.428,9.967
0.59041727,0.08,-0.39,9.928
0.5943797,0.08,-0.428,9.967
0.5983421,0.08,-0.39,10.043
0.60230434,0.118,-0.39,9.852
0.60626686,0.08,-0.39,9.89
0.61022955,0.08,-0.39,9.967
0.6141915,0.08,-0.39,9.928
0.61815333,0.042,-0.39,9.928
0.6221157,0.042,-0.39,9.89
0.62607807,0.003,-0.428,9.89
0.63004076,0.003,-0.428,9.928
0.634003,-0.034,-0.428,9.967
0.637966,0.003,-0.39,9.928
0.6419295,-0.034,-0.428,9.967
0.6458907,0.003,-0.352,9.928
0.6498532,0.003,-0.428,10.005
0.6538158,0.003,-0.467,9.852
0.65777797,0.042,-0.467,10.043
0.66174054,0.042,-0.467,9.967
0.66570306,0.042,-0.467,9.928
0.66966546,0.08,-0.428,10.005
0.6736283,0.233,-0.39,9.66
0.6775902,0.003,-0.467,10.273
0.68155295,0.118,-0.467,9.852
0.685515,0.118,-0.428,9.967
0.6894775,0.118,-0.428,9.928
0.69344026,0.157,-0.428,9.967
0.6974011,3.067,0.337,9.852
0.7013633,3.565,0.49,10.311
0.70532554,3.374,0.375,10.043
0.7092896,3.374,0.298,10.043
0.71325105,3.335,0.451,10.503
0.7172137,3.374,0.49,10.541
0.72117656,3.374,0.375,9.162
0.7251398,2.723,0.183,8.358
0.7291024,1.42,-0.16,10.962
0.7330648,0.961,-0.352,10.426
0.7370272,0.31,-0.505,9.928
0.7409912,-0.225,-0.582,9.89
0.7449539,-0.493,-0.62,9.928
0.7489169,-0.647,-0.697,9.775
0.7528798,-0.685,-0.735,10.043
0.7568428,-0.762,-0.697,10.005
0.76080596,-0.762,-0.735,9.622
0.7647687,-0.8,-0.811,9.967
0.7687316,-1.068,-0.85,10.235
0.7726942,-1.03,-0.773,9.89
0.7766561,-0.991,-0.811,9.852
0.78061783,-1.106,-0.773,10.082
0.7845797,-1.145,-0.773,9.928
0.78854203,-1.106,-0.773,9.852
0.7925041,-0.915,-0.697,9.89
0.79646695,-0.953,-0.697,9.967
0.8004292,-0.723,-0.658,9.852
0.8043915,-0.532,-0.543,9.89
0.80835396,-0.379,-0.543,9.928
0.8123161,-0.34,-0.505,9.928
0.8162785,-0.302,-0.543,10.005
0.82024086,-0.187,-0.505,9.967
0.82420295,-0.187,-0.505,9.89
0.8281644,-0.111,-0.505,9.967
0.83212686,0.042,-0.428,9.967
0.83608925,0.195,-0.39,9.967
0.84005183,0.654,-0.275,9.852
0.84401464,1.152,-0.16,9.89
0.84797657,1.65,-0.084,10.005
0.85193866,1.918,-0.007,10.005
0.8559009,1.957,-0.007,10.005
0.85986274,2.033,0.03,10.005
0.8638244,1.918,-0.007,10.043
0.86778677,1.765,-0.045,9.967
0.87174875,1.535,-0.122,9.814
0.8757108,1.191,-0.237,10.12
0.87967247,1.037,-0.352,10.12
0.88363475,0.769,-0.39,9.928
0.8875972,0.501,-0.428,9.89
0.89155954,0.195,-0.543,9.852
0.8955232,-0.149,-0.62,10.005
0.89948565,-0.493,-0.735,10.043
0.90344816,-0.647,-0.658,9.775
