TIME,X,Y,Z
0.0,0.08,-0.467,9.928
0.003964769,0.042,-0.428,10.005
0.007929325,0.042,-0.428,9.967
0.01189394,0.042,-0.467,9.928
0.015859324,0.042,-0.428,9.928
0.019824797,0.042,-0.428,9.89
0.023789644,0.042,-0.467,9.928
0.02775526,0.042,-0.467,9.967
0.03172056,0.042,-0.428,9.967
0.035685483,0.042,-0.428,9.967
0.039650712,0.042,-0.428,9.967
0.04361538,0.042,-0.428,9.928
0.04757992,0.042,-0.428,9.967
0.051544763,0.042,-0.39,9.967
0.05550947,0.003,-0.428,9.928
0.059474625,0.003,-0.428,9.967
0.06343978,0.042,-0.428,9.967
0.06740464,0.042,-0.428,9.928
0.071369715,0.042,-0.467,9.928
0.07533448,0.042,-0.428,9.967
0.07930016,0.08,-0.428,9.967
0.083265774,0.042,-0.428,9.928
0.08723101,0.08,-0.428,9.928
0.09119653,0.042,-0.428,9.967
0.095162146,0.042,-0.428,9.967
0.09912769,0.042,-0.39,9.928
0.10309261,0.042,-0.428,9.928
0.107057534,0.042,-0.428,9.928
0.11102292,0.042,-0.428,9.928
0.11498808,0.042,-0.467,9.928
0.11895339,0.042,-0.428,9.928
0.12291862,0.08,-0.428,10.005
0.12688425,0.003,-0.428,9.967
0.13084942,0.042,-0.428,9.967
0.1348148,0.042,-0.467,9.967
0.13877957,0.08,-0.467,9.928
0.14274442,0.003,-0.428,9.967
0.14670911,0.042,-0.39,9.967
0.15067388,0.003,-0.428,9.967
0.15463874,0.042,-0.428,10.005
0.15860389,0.042,-0.428,9.967
0.16256906,0.042,-0.428,9.967
0.16653422,0.042,-0.428,9.967
0.17049906,0.042,-0.428,9.967
0.17446384,0.003,-0.467,10.005
0.17842822,0.08,-0.467,9.928
0.18239284,0.042,-0.428,9.928
0.18635763,0.042,-0.39,9.967
0.19032201,0.042,-0.428,9.967
0.194287,0.042,-0.467,9.928
0.19825162,0.042,-0.467,9.928
0.20221668,0.042,-0.428,9.967
0.20618123,0.042,-0.467,9.928
0.210146,0.042,-0.428,9.967
0.21411063,0.042,-0.428,9.967
0.21807608,0.042,-0.467,9.928
0.2220417,0.042,-0.467,9.928
0.22600685,0.042,-0.428,9.967
0.22997178,0.08,-0.428,10.005
0.23393646,0.042,-0.428,9.928
0.23790093,0.042,-0.467,9.89
0.24186577,0.08,-0.467,9.928
0.24583055,0.042,-0.428,9.967
0.24979469,0.042,-0.428,9.928
0.25375924,0.08,-0.467,9.967
0.25772378,0.042,-0.428,9.967
0.26168838,0.042,-0.39,9.928
0.26565272,0.042,-0.428,9.967
0.26961693,0.042,-0.428,9.967
0.27358133,0.042,-0.428,9.967
0.27754563,0.08,-0.467,9.928
0.28151,0.042,-0.428,10.005
0.2854747,0.042,-0.467,9.928
0.2894388,0.042,-0.428,9.928
0.29340363,0.042,-0.467,9.967
0.29736805,0.042,-0.428,9.967
0.30133316,0.042,-0.428,9.967
0.30529797,0.042,-0.428,9.967
0.30926284,0.042,-0.428,9.967
0.31322807,0.042,-0.467,10.005
0.31719282,0.042,-0.428,9.967
0.3211576,0.042,-0.428,9.928
0.325122,0.042,-0.428,10.005
0.32908645,0.042,-0.467,9.967
0.33305115,0.042,-0.428,9.967
0.33701628,0.042,-0.428,9.967
0.34098077,0.042,-0.428,9.967
0.34494555,0.003,-0.428,9.967
0.34891054,0.042,-0.428,9.967
0.35287544,0.042,-0.428,9.967
0.3568395,0.08,-0.467,9.967
0.36080384,0.042,-0.428,9.928
0.36476797,0.042,-0.428,9.967
0.36873183,0.042,-0.467,9.967
0.372697,0.042,-0.428,10.005
0.37666202,0.042,-0.428,9.928
0.38062716,0.042,-0.428,9.89
0.38459316,0.042,-0.467,9.928
0.38855824,0.042,-0.467,9.928
0.39252338,0.08,-0.428,9.928
0.3964881,0.08,-0.428,9.928
0.4004528,0.042,-0.428,9.89
0.4044173,0.042,-0.467,9.89
0.4083821,0.042,-0.467,9.967
0.4123464,0.042,-0.467,9.967
0.4163111,0.08,-0.428,10.005
0.4202754,0.08,-0.467,9.967
0.42424,0.042,-0.428,10.005
0.42820415,0.042,-0.467,10.043
0.43216854,0.08,-0.428,10.043
0.43613356,0.042,-0.467,10.082
0.4400979,0.042,-0.428,10.043
0.44406217,0.042,-0.467,10.082
0.44802696,0.042,-0.39,10.082
0.4519917,0.08,-0.428,10.043
0.45595604,0.08,-0.428,10.043
0.45992103,0.042,-0.428,10.005
0.46388525,0.08,-0.467,9.967
0.4678498,0.042,-0.428,10.005
0.47181442,0.08,-0.428,9.967
0.47577873,0.042,-0.428,9.967
0.47974342,0.042,-0.428,9.928
0.48370895,0.042,-0.467,10.043
0.48767433,0.042,-0.39,10.043
0.49163944,0.042,-0.428,10.005
0.4956041,0.042,-0.428,9.967
0.4995683,0.08,-0.428,9.89
0.50353307,0.042,-0.467,9.928
0.5074975,0.042,-0.467,9.852
0.5114628,0.042,-0.428,9.89
0.5154285,0.042,-0.467,9.852
0.51939327,0.042,-0.428,9.89
0.52335787,0.042,-0.467,9.814
0.5273223,0.042,-0.428,9.928
0.53128695,0.042,-0.467,9.928
0.53525186,0.042,-0.467,9.928
0.5392161,0.08,-0.467,9.928
0.5431806,0.042,-0.467,9.928
0.54714483,0.042,-0.467,10.005
0.5511093,0.042,-0.428,9.928
0.5550734,0.042,-0.428,9.89
0.5590377,0.08,-0.428,9.967
0.5630017,0.042,-0.467,9.928
0.5669656,0.08,-0.467,10.005
0.57092947,0.08,-0.467,10.005
0.57489365,0.042,-0.467,9.967
0.5788577,0.042,-0.467,10.005
0.582822,0.042,-0.467,10.005
0.58678657,0.042,-0.467,10.005
0.5907507,0.042,-0.428,9.967
0.5947158,0.042,-0.467,9.928
0.5986806,0.042,-0.467,9.89
0.6026447,0.042,-0.428,9.928
0.60660875,0.042,-0.505,9.967
0.610573,0.042,-0.428,9.967
0.614537,0.08,-0.428,10.043
0.61850107,0.08,-0.428,10.005
0.62246555,0.042,-0.467,9.928
0.6264301,0.042,-0.467,9.928
0.6303943,0.042,-0.428,9.928
0.6343589,0.042,-0.428,9.89
0.6383233,0.003,-0.428,9.89
0.6422879,0.042,-0.428,9.967
0.6462519,0.042,-0.428,9.967
0.6502163,0.08,-0.428,9.967
0.65418035,0.042,-0.428,9.928
0.6581442,0.042,-0.428,9.928
0.6621081,0.042,-0.428,9.967
0.66607267,0.042,-0.428,9.852
0.670037,0.042,-0.428,9.967
0.6740007,0.003,-0.428,9.967
0.6779642,0.08,-0.467,9.928
0.6819286,0.042,-0.428,9.967
0.6858923,0.08,-0.467,9.928
0.6898565,0.042,-0.467,9.967
0.693821,0.042,-0.428,9.967
0.6977856,0.042,-0.505,9.928
0.701751,0.08,-0.428,9.967
0.70571506,0.042,-0.467,9.967
0.70967907,0.042,-0.428,9.967
0.71364343,0.08,-0.467,10.043
0.7176082,0.042,-0.467,9.967
0.7215731,0.042,-0.428,9.967
0.7255379,0.042,-0.428,9.967
0.7295026,0.042,-0.467,9.928
0.73346716,0.08,-0.428,9.928
0.73743093,0.042,-0.428,9.928
0.74139494,0.042,-0.428,9.928
0.745359,0.042,-0.428,9.928
0.7493233,0.08,-0.428,10.005
0.7532877,0.08,-0.428,10.005
0.7572519,0.042,-0.428,10.005
0.76121634,0.08,-0.428,9.928
0.7651809,0.042,-0.428,9.928
0.76914495,0.08,-0.428,9.967
0.7731095,0.042,-0.467,9.967
0.777074,0.042,-0.467,9.967
0.78103775,0.042,-0.467,9.928
0.785002,0.042,-0.428,9.967
0.7889659,0.042,-0.428,9.928
0.79293054,0.042,-0.428,10.005
0.79689544,0.042,-0.428,9.967
0.8008603,0.042,-0.428,9.967
0.80482453,0.042,-0.428,9.967
0.80878896,0.08,-0.467,9.928
0.8127529,0.08,-0.428,9.928
0.816717,0.042,-0.467,9.928
0.8206814,0.003,-0.428,9.967
0.82464594,0.042,-0.428,9.928
