TIME,X,Y,Z
0.0,1.076,-2.535,10.235
0.003963685,0.999,-2.343,9.584
0.007928069,1.076,-2.458,9.814
0.011892377,1.037,-2.382,9.775
0.015856784,1.076,-2.382,9.814
0.01982086,1.037,-2.42,9.775
0.023785323,1.037,-2.42,9.737
0.027749412,1.037,-2.42,9.66
0.031714104,1.037,-2.42,9.699
0.035678487,1.037,-2.42,9.775
0.03964233,1.076,-2.42,9.699
0.0436061,0.999,-2.42,9.737
0.047569793,1.037,-2.42,9.814
0.051533252,0.999,-2.458,9.737
0.05549702,1.037,-2.42,9.737
0.059460867,1.076,-2.382,9.775
0.06342426,0.999,-2.458,9.699
0.06738864,0.999,-2.42,9.699
0.071353026,0.999,-2.458,9.775
0.07531743,1.037,-2.42,9.737
0.079281725,1.076,-2.458,9.699
0.083245724,1.076,-2.42,9.775
0.087209575,1.076,-2.458,9.737
0.091173194,1.037,-2.42,9.775
0.095136724,0.999,-2.458,9.775
0.09910099,1.037,-2.42,9.699
0.10306514,1.076,-2.42,9.699
0.10702968,1.037,-2.458,9.737
0.11099438,1.037,-2.382,9.66
0.11495854,0.999,-2.458,9.737
0.118923075,0.999,-2.458,9.775
0.12288709,1.076,-2.42,9.699
0.12685062,1.076,-2.42,9.66
0.13081539,1.037,-2.42,9.775
0.13477962,1.037,-2.42,9.737
0.13874377,1.037,-2.458,9.699
0.14270785,0.999,-2.42,9.775
0.14667188,1.037,-2.458,9.699
0.15063626,1.037,-2.42,9.699
0.15460049,1.037,-2.458,9.775
0.15856495,1.037,-2.382,9.737
0.16252927,1.037,-2.458,9.737
0.16649312,1.037,-2.42,9.775
0.17045712,1.037,-2.42,9.699
0.17442136,1.037,-2.42,9.737
0.17838497,1.037,-2.42,9.775
0.18234952,1.076,-2.42,9.699
0.18631397,0.999,-2.42,9.737
0.19027829,1.037,-2.42,9.775
0.19424182,1.037,-2.42,9.66
0.19820544,0.999,-2.42,9.775
0.20216998,1.076,-2.458,9.699
0.20613515,0.999,-2.42,9.737
0.21010031,1.037,-2.42,9.775
0.21406606,1.037,-2.458,9.737
0.21803199,0.999,-2.42,9.814
0.22199729,1.037,-2.42,9.737
0.22596206,1.076,-2.42,9.699
0.22992745,0.999,-2.42,9.814
0.23389283,1.037,-2.42,9.775
0.23785815,1.037,-2.42,9.699
