TIME,X,Y,Z
0.0,-0.080566406,-0.16293335,9.816223
0.002502441,-0.06858826,-0.11743164,9.900024
0.005004883,-0.07817078,-0.1796875,9.859329
0.007507324,-0.09732056,-0.16770935,9.840164
0.010009765,-0.109298706,-0.1509552,9.849747
0.012512207,-0.12365723,-0.17729187,9.847351
0.015014648,-0.109298706,-0.11026001,9.854538
0.01751709,-0.061416626,-0.17010498,9.849747
0.020019531,-0.090148926,-0.17250061,9.847351
0.022521973,-0.06858826,-0.18687439,9.885666
0.025024414,-0.063812256,-0.16770935,9.835388
0.027526855,-0.09492493,-0.17729187,9.86171
0.030029297,-0.106903076,-0.18687439,9.830597
0.03253174,-0.11647034,-0.20362854,9.847351
0.03503418,-0.106903076,-0.21081543,9.88327
0.03753662,-0.085357666,-0.16053772,9.837769
0.04006958,-0.13084412,-0.16293335,9.830597
0.04257202,-0.10211182,-0.18208313,9.84256
0.045074463,-0.082962036,-0.19883728,9.830597
0.047576904,-0.106903076,-0.14855957,9.864105
0.050079346,-0.10211182,-0.19165039,9.847351
0.052581787,-0.07337952,-0.17729187,9.837769
0.05508423,-0.10450745,-0.1509552,9.86171
0.057586674,-0.063812256,-0.19883728,9.8138275
0.06011963,-0.1212616,-0.1796875,9.8090515
0.06262207,-0.14042664,-0.11503601,9.835388
0.06512451,-0.085357666,-0.15335083,9.830597
0.06762695,-0.035079956,-0.15335083,9.8138275
0.070129395,-0.114089966,-0.13659668,9.837769
0.07266235,-0.06858826,-0.17010498,9.8138275
0.075164795,-0.049438477,-0.1796875,9.82341
0.07766723,-0.087753296,-0.19883728,9.825806
0.08016968,-0.087753296,-0.12461853,9.871292
0.08270264,-0.07577515,-0.14376831,9.830597
0.08520508,-0.06858826,-0.15814209,9.821014
0.087677,-0.063812256,-0.16053772,9.811432
0.09017944,-0.1212616,-0.1509552,9.816223
0.092681885,-0.10450745,-0.17729187,9.8138275
0.095184326,-0.09732056,-0.18687439,9.86171
0.097717285,-0.13084412,-0.13659668,9.86171
0.10021973,-0.0925293,-0.13897705,9.780319
0.10272217,-0.06858826,-0.1796875,9.797073
0.10522461,-0.085357666,-0.14376831,9.852142
0.10772705,-0.0925293,-0.15814209,9.84256
0.110229485,-0.085357666,-0.15814209,9.837769
0.11276245,-0.07577515,-0.17010498,9.837769
0.11526489,-0.09492493,-0.15814209,9.892838
0.117767334,-0.12365723,-0.17250061,9.890442
0.120269775,-0.12365723,-0.18208313,9.832993
0.12277222,-0.085357666,-0.17729187,9.856934
0.12527466,-0.080566406,-0.17489624,9.856934
0.1277771,-0.109298706,-0.1796875,9.84256
0.13027954,-0.111694336,-0.18447876,9.84256
0.1328125,-0.10211182,-0.17010498,9.866501
0.13531494,-0.085357666,-0.13897705,9.82341
0.13781738,-0.090148926,-0.17250061,9.832993
0.14031982,-0.12844849,-0.19644165,9.928757
0.14282227,-0.07817078,-0.16053772,9.844955
0.1453247,-0.09492493,-0.14855957,9.849747
0.14782715,-0.13563538,-0.1796875,9.830597
0.15032959,-0.090148926,-0.16293335,9.888046
0.15283203,-0.056625366,-0.14137268,9.844955
0.15533446,-0.059020996,-0.14376831,9.82341
0.15783691,-0.09492493,-0.17250061,9.849747
0.16033936,-0.11886597,-0.13659668,9.866501
0.16287231,-0.07817078,-0.17489624,9.821014
0.16537476,-0.09492493,-0.18208313,9.832993
0.1678772,-0.09732056,-0.19165039,9.818619
0.17037964,-0.059020996,-0.11026001,9.835388
0.17288208,-0.080566406,-0.13659668,9.86171
0.17538452,-0.12844849,-0.13897705,9.849747
0.17788696,-0.11886597,-0.14376831,9.871292
0.1803894,-0.090148926,-0.15335083,9.837769
0.18289185,-0.080566406,-0.15574646,9.8138275
0.18539429,-0.07577515,-0.1796875,9.816223
0.18792725,-0.080566406,-0.16293335,9.856934
0.19042967,-0.09732056,-0.16053772,9.8090515
0.19293213,-0.10211182,-0.17489624,9.82341
0.19543457,-0.111694336,-0.17250061,9.84256
0.19793701,-0.07337952,-0.18208313,9.8138275
0.20043945,-0.06858826,-0.16293335,9.837769
0.2029419,-0.063812256,-0.18927002,9.830597
0.20544434,-0.090148926,-0.18208313,9.835388
0.2079773,-0.090148926,-0.22038269,9.859329
0.21047975,-0.06619263,-0.13897705,9.849747
0.21298218,-0.082962036,-0.13659668,9.878479
0.21548462,-0.037475586,-0.16293335,9.880875
0.21798706,-0.09492493,-0.16770935,9.832993
0.2204895,-0.114089966,-0.17250061,9.871292
0.22299194,-0.063812256,-0.16293335,9.86171
0.22549438,-0.07577515,-0.15574646,9.8138275
0.22799683,-0.06619263,-0.14855957,9.785095
0.23049927,-0.13563538,-0.15814209,9.835388
0.23300171,-0.06619263,-0.1509552,9.86171
0.23550415,-0.07817078,-0.15574646,9.799469
0.23803711,-0.06858826,-0.17250061,9.832993
0.24053955,-0.10211182,-0.17729187,9.914383
0.24304198,-0.082962036,-0.14855957,9.825806
0.24554443,-0.07577515,-0.16770935,9.837769
0.24804688,-0.087753296,-0.17250061,9.873688
0.25054932,-0.06858826,-0.1222229,9.811432
0.25305176,-0.063812256,-0.17489624,9.852142
0.2555542,-0.07577515,-0.12940979,9.876083
0.25808716,-0.082962036,-0.1509552,9.852142
0.2605896,-0.109298706,-0.15814209,9.799469
0.26309204,-0.059020996,-0.17489624,9.794678
0.26559448,-0.080566406,-0.18687439,9.840164
0.26809692,-0.1212616,-0.16053772,9.818619
0.27062988,-0.10211182,-0.1509552,9.825806
0.27313232,-0.07817078,-0.17250061,9.871292
0.27563477,-0.12605286,-0.17250061,9.888046
0.2781372,-0.056625366,-0.12461853,9.854538
0.28063965,-0.07337952,-0.17250061,9.816223
0.2831421,-0.090148926,-0.18447876,9.84256
0.28567505,-0.082962036,-0.16293335,9.8688965
0.2881775,-0.09971619,-0.15335083,9.873688
0.29067993,-0.087753296,-0.1509552,9.900024
0.29318237,-0.090148926,-0.16770935,9.871292
0.2956848,-0.09492493,-0.16770935,9.864105
0.29818726,-0.106903076,-0.16531372,9.866501
0.3006897,-0.07817078,-0.11503601,9.844955
0.30319214,-0.111694336,-0.17010498,9.837769
0.30569458,-0.09492493,-0.18208313,9.840164
0.30819702,-0.1212616,-0.20123291,9.888046
0.31069946,-0.1212616,-0.14616394,9.871292
0.31320193,-0.12605286,-0.20362854,9.80426
0.31570435,-0.080566406,-0.19165039,9.830597
0.3182373,-0.114089966,-0.1222229,9.844955
0.32073975,-0.09492493,-0.16053772,9.837769
0.3232422,-0.07577515,-0.18447876,9.849747
0.32574463,-0.10211182,-0.14137268,9.825806
0.32824707,-0.07577515,-0.13180542,9.876083
0.3307495,-0.07337952,-0.17250061,9.794678
0.33325195,-0.087753296,-0.19165039,9.830597
0.3357544,-0.07337952,-0.21321106,9.866501
0.33828735,-0.09492493,-0.16293335,9.844955
0.3407898,-0.07098389,-0.17010498,9.835388
0.34329224,-0.090148926,-0.17250061,9.866501
0.34579468,-0.11647034,-0.16531372,9.880875
0.34829712,-0.07098389,-0.20123291,9.82341
0.35083008,-0.07577515,-0.19883728,9.818619
0.35333252,-0.06619263,-0.21560669,9.835388
0.35580444,-0.085357666,-0.18208313,9.92157
0.3583374,-0.0925293,-0.17010498,9.84256
0.36083984,-0.051834106,-0.19165039,9.773132
0.3633423,-0.10450745,-0.16770935,9.852142
0.36584473,-0.080566406,-0.19404602,9.847351
0.36834717,-0.082962036,-0.19404602,9.816223
0.3708496,-0.13323975,-0.18447876,9.799469
0.37335205,-0.10450745,-0.1796875,9.849747
0.375885,-0.085357666,-0.19404602,9.835388
0.37838745,-0.090148926,-0.17489624,9.818619
0.3808899,-0.09971619,-0.18687439,9.88327
0.38339233,-0.090148926,-0.18927002,9.904816
0.38589478,-0.10450745,-0.17489624,9.866501
0.38839722,-0.09971619,-0.16053772,9.856934
0.39089966,-0.0925293,-0.20123291,9.825806
0.3934021,-0.082962036,-0.18208313,9.811432
0.39590454,-0.07817078,-0.14376831,9.892838
0.39840698,-0.13323975,-0.15335083,9.923965
0.40090945,-0.12365723,-0.15335083,9.852142
0.40344238,-0.138031,-0.17489624,9.92157
0.40594482,-0.09732056,-0.17729187,9.797073
0.40844727,-0.111694336,-0.16053772,9.816223
0.4109497,-0.1212616,-0.17010498,9.765945
0.41345215,-0.10450745,-0.19644165,9.811432
0.4159546,-0.061416626,-0.16531372,9.876083
0.41845703,-0.12605286,-0.11743164,9.859329
0.4209595,-0.07817078,-0.16531372,9.86171
0.4234619,-0.063812256,-0.16531372,9.907211
0.42596436,-0.106903076,-0.16770935,9.871292
0.4284973,-0.085357666,-0.14376831,9.8138275
0.43099976,-0.054229736,-0.18447876,9.761154
0.4335022,-0.09732056,-0.1222229,9.844955
0.43600464,-0.0925293,-0.12940979,9.749191
0.43850708,-0.059020996,-0.19883728,9.844955
0.44100952,-0.080566406,-0.13420105,9.8090515
0.44351196,-0.080566406,-0.15814209,9.864105
0.44604492,-0.111694336,-0.17489624,9.900024
0.44854736,-0.09732056,-0.15335083,9.835388
0.4510498,-0.056625366,-0.18208313,9.84256
0.45355225,-0.087753296,-0.18208313,9.885666
0.4560547,-0.09971619,-0.20123291,9.873688
0.45855713,-0.14759827,-0.15574646,9.849747
0.46105957,-0.10211182,-0.17729187,9.785095
0.463562,-0.0925293,-0.17489624,9.8138275
0.46606445,-0.114089966,-0.14616394,9.852142
0.4685669,-0.087753296,-0.13897705,9.806656
0.47106934,-0.09732056,-0.20123291,9.835388
0.47357178,-0.087753296,-0.21560669,9.86171
0.47610474,-0.114089966,-0.16531372,9.837769
0.47857666,-0.085357666,-0.16770935,9.8138275
0.48110962,-0.044647217,-0.17729187,9.811432
0.48361206,-0.061416626,-0.14137268,9.844955
0.4861145,-0.0925293,-0.18447876,9.8688965
0.4886169,-0.15238953,-0.17250061,9.847351
0.49111938,-0.080566406,-0.15574646,9.821014
0.49362183,-0.10211182,-0.12940979,9.938324
0.49612427,-0.06619263,-0.14376831,9.82341
0.4986267,-0.10450745,-0.16053772,9.852142
0.50115967,-0.07817078,-0.17250061,9.835388
0.5036621,-0.09492493,-0.1796875,9.880875
0.50616455,-0.082962036,-0.14376831,9.878479
0.508667,-0.111694336,-0.14376831,9.801865
0.51116943,-0.061416626,-0.17010498,9.76355
0.5136719,-0.087753296,-0.15335083,9.852142
0.5161743,-0.11647034,-0.17010498,9.859329
0.51867676,-0.12844849,-0.14855957,9.830597
0.5212097,-0.11886597,-0.15335083,9.86171
