TIME,X,Y,Z
0.0,-0.07098389,-0.17010498,9.785095
0.002532959,-0.10211182,-0.1796875,9.871292
0.005065918,-0.06858826,-0.17729187,9.866501
0.007598877,-0.047042847,-0.16531372,9.818619
0.010101319,-0.09492493,-0.14855957,9.840164
0.012634278,-0.11886597,-0.16053772,9.856934
0.015136719,-0.082962036,-0.12940979,9.837769
0.01763916,-0.09971619,-0.15335083,9.931152
0.020141602,-0.1212616,-0.14137268,9.892838
0.022644045,-0.111694336,-0.13659668,9.832993
0.025146484,-0.090148926,-0.18208313,9.799469
0.027679443,-0.09971619,-0.1222229,9.818619
0.030181885,-0.07098389,-0.16293335,9.84256
0.032684326,-0.059020996,-0.16531372,9.849747
0.035186768,-0.087753296,-0.17010498,9.837769
0.03768921,-0.109298706,-0.1509552,9.830597
0.04019165,-0.063812256,-0.16770935,9.821014
0.04269409,-0.087753296,-0.14376831,9.82341
0.045196537,-0.109298706,-0.14616394,9.811432
0.047729492,-0.09732056,-0.17729187,9.828201
0.050231937,-0.1212616,-0.13420105,9.849747
0.052734375,-0.111694336,-0.1509552,9.811432
0.055236816,-0.082962036,-0.15335083,9.854538
0.057739258,-0.0925293,-0.13420105,9.888046
0.0602417,-0.13563538,-0.11265564,9.828201
0.06277466,-0.07577515,-0.17010498,9.871292
0.0652771,-0.07098389,-0.17489624,9.849747
0.06777954,-0.06619263,-0.16293335,9.811432
0.07028198,-0.07098389,-0.18208313,9.837769
0.072784424,-0.035079956,-0.14616394,9.866501
0.075286865,-0.09492493,-0.17489624,9.890442
0.07778931,-0.09971619,-0.17729187,9.8688965
0.08029174,-0.085357666,-0.16053772,9.830597
0.08282471,-0.10450745,-0.15335083,9.789886
0.08532715,-0.07817078,-0.15335083,9.828201
0.08782959,-0.080566406,-0.15335083,9.832993
0.09033203,-0.080566406,-0.15335083,9.86171
0.09283447,-0.082962036,-0.15814209,9.844955
0.09536743,-0.12605286,-0.13420105,9.849747
0.09786987,-0.09492493,-0.16293335,9.871292
0.100372314,-0.063812256,-0.15574646,9.890442
0.10287475,-0.087753296,-0.1509552,9.847351
0.1053772,-0.138031,-0.14616394,9.86171
0.10787964,-0.080566406,-0.16053772,9.88327
0.11038208,-0.087753296,-0.14376831,9.854538
0.11288452,-0.11647034,-0.14855957,9.844955
0.11541748,-0.12605286,-0.11026001,9.849747
0.11791992,-0.11647034,-0.17489624,9.912003
0.12042237,-0.056625366,-0.18208313,9.878479
0.122924805,-0.035079956,-0.12461853,9.880875
0.12539673,-0.085357666,-0.1509552,9.782715
0.12792969,-0.07817078,-0.19883728,9.780319
0.13046265,-0.09732056,-0.2084198,9.837769
0.13296509,-0.09732056,-0.14616394,9.878479
0.13546753,-0.082962036,-0.19404602,9.8090515
0.13796997,-0.061416626,-0.19644165,9.852142
0.14047241,-0.106903076,-0.10546875,9.797073
0.14297485,-0.09492493,-0.18447876,9.849747
0.14544678,-0.07817078,-0.13897705,9.856934
0.14797975,-0.10211182,-0.15574646,9.840164
0.15051271,-0.10450745,-0.14376831,9.821014
0.15301514,-0.06619263,-0.16053772,9.835388
0.15551758,-0.051834106,-0.18927002,9.847351
0.15802002,-0.087753296,-0.17250061,9.837769
0.16052246,-0.07337952,-0.14855957,9.818619
0.1630249,-0.085357666,-0.10067749,9.82341
0.16552734,-0.07098389,-0.11265564,9.859329
0.16802979,-0.07817078,-0.19165039,9.835388
0.17056276,-0.09971619,-0.16531372,9.878479
0.17306519,-0.07817078,-0.12461853,9.852142
0.17556763,-0.0925293,-0.1796875,9.84256
0.17807007,-0.085357666,-0.17489624,9.811432
0.18057251,-0.114089966,-0.15574646,9.844955
0.18307495,-0.09971619,-0.15814209,9.852142
0.1855774,-0.13323975,-0.14376831,9.900024
0.18807983,-0.10211182,-0.20123291,9.849747
0.19058228,-0.09492493,-0.12461853,9.835388
0.19308472,-0.0925293,-0.14616394,9.837769
0.19558716,-0.12844849,-0.16053772,9.785095
0.1980896,-0.09732056,-0.1222229,9.8138275
0.20059204,-0.07337952,-0.16293335,9.84256
0.20309448,-0.109298706,-0.19165039,9.852142
0.20562744,-0.106903076,-0.18927002,9.864105
0.20812988,-0.10450745,-0.15335083,9.847351
0.21063232,-0.090148926,-0.15335083,9.830597
0.21313477,-0.059020996,-0.15574646,9.821014
0.2156372,-0.09971619,-0.16770935,9.876083
0.21813965,-0.085357666,-0.15335083,9.801865
0.22064209,-0.1212616,-0.14376831,9.86171
0.22314453,-0.09492493,-0.15574646,9.892838
0.22567749,-0.114089966,-0.15574646,9.876083
0.22817993,-0.111694336,-0.13180542,9.837769
0.23068237,-0.090148926,-0.1509552,9.82341
0.23318481,-0.06858826,-0.17010498,9.86171
0.23568727,-0.082962036,-0.11743164,9.835388
0.2381897,-0.090148926,-0.13659668,9.837769
0.24069214,-0.09971619,-0.13659668,9.825806
0.2432251,-0.111694336,-0.15335083,9.88327
0.24572754,-0.06619263,-0.12940979,9.830597
0.24822998,-0.07577515,-0.17729187,9.852142
0.25073242,-0.07098389,-0.18927002,9.84256
0.25323486,-0.087753296,-0.14855957,9.832993
0.2557373,-0.111694336,-0.18687439,9.849747
0.25823975,-0.087753296,-0.14855957,9.80426
0.2607727,-0.0925293,-0.1222229,9.866501
0.26327515,-0.063812256,-0.1796875,9.859329
0.2657776,-0.06619263,-0.14855957,9.828201
0.26828003,-0.11647034,-0.14855957,9.825806
0.27078247,-0.082962036,-0.16770935,9.840164
0.27328494,-0.09971619,-0.18447876,9.8688965
0.27578735,-0.12365723,-0.15335083,9.916779
0.2782898,-0.13084412,-0.15335083,9.844955
0.28082275,-0.09971619,-0.18447876,9.8090515
0.2833252,-0.106903076,-0.14855957,9.849747
0.28582764,-0.082962036,-0.13897705,9.801865
0.28833008,-0.10450745,-0.13897705,9.8688965
0.29083252,-0.09492493,-0.11982727,9.873688
0.293335,-0.13084412,-0.20123291,9.859329
0.2958374,-0.12605286,-0.14376831,9.856934
0.29837036,-0.114089966,-0.1509552,9.856934
0.3008728,-0.044647217,-0.13897705,9.837769
0.30337524,-0.06619263,-0.15574646,9.82341
0.3058777,-0.090148926,-0.15335083,9.830597
0.30838013,-0.090148926,-0.14855957,9.856934
0.3109131,-0.13323975,-0.11503601,9.871292
0.313385,-0.090148926,-0.13659668,9.90242
0.31588745,-0.1212616,-0.16053772,9.8688965
0.3183899,-0.07817078,-0.14855957,9.880875
0.32092285,-0.109298706,-0.13180542,9.832993
0.3234558,-0.063812256,-0.14855957,9.8090515
0.32595825,-0.07817078,-0.12701416,9.828201
0.3284607,-0.07098389,-0.18687439,9.830597
0.33096313,-0.090148926,-0.14137268,9.871292
0.33343506,-0.114089966,-0.12461853,9.849747
0.3359375,-0.07337952,-0.10067749,9.82341
0.33847046,-0.07337952,-0.11503601,9.852142
0.3409729,-0.07337952,-0.15335083,9.801865
0.34350586,-0.063812256,-0.15814209,9.84256
0.3460083,-0.07577515,-0.15574646,9.873688
0.34848022,-0.087753296,-0.19883728,9.832993
0.35098267,-0.056625366,-0.1509552,9.864105
0.3534851,-0.0925293,-0.15574646,9.849747
0.35601807,-0.13084412,-0.18687439,9.8090515
0.3585205,-0.109298706,-0.14855957,9.82341
0.36102295,-0.09492493,-0.07194519,9.811432
0.3635254,-0.10211182,-0.12461853,9.837769
0.36602783,-0.07817078,-0.18687439,9.880875
0.3685608,-0.07577515,-0.18927002,9.873688
0.37106323,-0.111694336,-0.13180542,9.888046
0.37356567,-0.07577515,-0.16770935,9.840164
0.37606812,-0.090148926,-0.14137268,9.852142
0.37857056,-0.080566406,-0.13180542,9.844955
0.381073,-0.06619263,-0.13659668,9.792282
0.3835754,-0.07817078,-0.14137268,9.811432
0.38607788,-0.09971619,-0.15814209,9.8688965
0.38858032,-0.080566406,-0.14376831,9.856934
0.39111328,-0.111694336,-0.18208313,9.828201
0.39361572,-0.047042847,-0.19404602,9.856934
0.39611816,-0.080566406,-0.17489624,9.88327
0.3986206,-0.07817078,-0.16293335,9.876083
0.40112305,-0.06619263,-0.16770935,9.856934
0.40362552,-0.106903076,-0.18927002,9.8688965
0.40612793,-0.09492493,-0.17250061,9.88327
0.40863037,-0.07817078,-0.15574646,9.873688
0.4111328,-0.0925293,-0.15574646,9.859329
0.41363525,-0.06858826,-0.16053772,9.832993
0.4161682,-0.037475586,-0.17489624,9.849747
0.41867065,-0.061416626,-0.12701416,9.866501
0.4211731,-0.080566406,-0.13897705,9.8688965
0.42367554,-0.085357666,-0.13659668,9.849747
0.42617798,-0.10211182,-0.17489624,9.86171
0.42868042,-0.082962036,-0.17010498,9.84256
0.43121338,-0.109298706,-0.16053772,9.86171
0.43371582,-0.080566406,-0.14376831,9.849747
0.43621826,-0.044647217,-0.16053772,9.825806
0.4387207,-0.109298706,-0.14855957,9.840164
0.44122314,-0.059020996,-0.15814209,9.866501
0.4437256,-0.09971619,-0.1222229,9.816223
0.44622803,-0.07817078,-0.19165039,9.866501
0.44873047,-0.085357666,-0.14376831,9.856934
0.4512329,-0.106903076,-0.12701416,9.895233
0.45376587,-0.082962036,-0.16293335,9.837769
0.4562683,-0.114089966,-0.14616394,9.852142
0.45877075,-0.07337952,-0.13897705,9.840164
0.4612732,-0.09971619,-0.16531372,9.801865
0.46377563,-0.1212616,-0.16053772,9.828201
0.46627808,-0.111694336,-0.15814209,9.88327
0.46878052,-0.07817078,-0.07434082,9.840164
0.47128293,-0.109298706,-0.12461853,9.8688965
0.47381592,-0.14042664,-0.18447876,9.825806
0.47628784,-0.111694336,-0.20123291,9.82341
0.4788208,-0.07337952,-0.17010498,9.8090515
0.48129272,-0.10450745,-0.12940979,9.890442
0.48382568,-0.12365723,-0.12940979,9.830597
0.48632812,-0.082962036,-0.16293335,9.840164
0.48883057,-0.07577515,-0.12461853,9.904816
0.49133298,-0.06858826,-0.17250061,9.856934
0.49386597,-0.063812256,-0.13659668,9.873688
0.4963379,-0.0925293,-0.1509552,9.895233
0.49887085,-0.09971619,-0.12940979,9.761154
0.5013733,-0.027893066,-0.16293335,9.880875
0.50387573,-0.114089966,-0.14137268,9.895233
0.5063782,-0.15957642,-0.12701416,9.900024
0.5088806,-0.063812256,-0.14855957,9.821014
0.51138306,-0.049438477,-0.18687439,9.832993
0.5138855,-0.12365723,-0.13420105,9.864105
0.51638794,-0.07817078,-0.1222229,9.840164
0.5189209,-0.051834106,-0.19165039,9.821014
0.52142334,-0.111694336,-0.12701416,9.878479
0.5239258,-0.087753296,-0.13659668,9.818619
0.5264282,-0.080566406,-0.17489624,9.787491
0.52893066,-0.114089966,-0.15335083,9.888046
0.5314331,-0.12365723,-0.14855957,9.835388
0.53393555,-0.06619263,-0.17729187,9.773132
0.536438,-0.07337952,-0.19165039,9.873688
0.53897095,-0.13563538,-0.13180542,9.859329
0.5414734,-0.07337952,-0.17010498,9.852142
0.54397583,-0.047042847,-0.14616394,9.895233
0.5464783,-0.11647034,-0.11503601,9.828201
0.5489807,-0.07337952,-0.13420105,9.80426
0.55148315,-0.10450745,-0.16770935,9.799469
0.5539856,-0.10211182,-0.11982727,9.82341
0.55648804,-0.09732056,-0.14137268,9.859329
0.559021,-0.039855957,-0.16770935,9.852142
0.56152344,-0.09971619,-0.1509552,9.859329
0.5640259,-0.09492493,-0.14855957,9.88327
0.5665283,-0.059020996,-0.1796875,9.828201
0.56903076,-0.11647034,-0.16770935,9.821014
0.5715637,-0.07817078,-0.13659668,9.90242
0.57406616,-0.06858826,-0.14137268,9.844955
0.5765686,-0.080566406,-0.15814209,9.797073
0.57907104,-0.063812256,-0.18447876,9.8138275
0.581604,-0.07337952,-0.14376831,9.86171
0.58410645,-0.11647034,-0.11265564,9.828201
0.5866089,-0.085357666,-0.10546875,9.806656
0.5891114,-0.087753296,-0.14855957,9.825806
0.59161377,-0.07817078,-0.12940979,9.849747
0.5941162,-0.07817078,-0.1796875,9.873688
0.59661865,-0.054229736,-0.16770935,9.811432
0.5991211,-0.106903076,-0.16770935,9.84256
0.60162354,-0.080566406,-0.16770935,9.873688
0.604126,-0.063812256,-0.1509552,9.866501
0.6066284,-0.07817078,-0.13659668,9.832993
0.60913086,-0.09732056,-0.12461853,9.854538
0.6116638,-0.07337952,-0.14137268,9.837769
0.61416626,-0.111694336,-0.13659668,9.866501
0.6166687,-0.10450745,-0.15574646,9.840164
0.61917114,-0.063812256,-0.18927002,9.837769
0.6216736,-0.109298706,-0.12701416,9.873688
0.624176,-0.09732056,-0.17729187,9.80426
0.62667847,-0.09971619,-0.17489624,9.859329
0.6291809,-0.07098389,-0.17729187,9.816223
0.63171387,-0.07098389,-0.15335083,9.799469
0.6342163,-0.087753296,-0.16053772,9.904816
0.6367187,-0.111694336,-0.14376831,9.789886
0.6392212,-0.0925293,-0.21321106,9.8138275
0.64172363,-0.087753296,-0.18208313,9.895233
0.6442261,-0.087753296,-0.16531372,9.821014
0.6467285,-0.11886597,-0.16293335,9.849747
0.64923096,-0.090148926,-0.18687439,9.816223
0.6517334,-0.061416626,-0.17489624,9.830597
0.65423584,-0.063812256,-0.17729187,9.890442
0.65676874,-0.09732056,-0.17729187,9.840164
0.65927124,-0.09971619,-0.21560669,9.885666
0.6618042,-0.082962036,-0.14616394,9.832993
0.66430664,-0.10211182,-0.14376831,9.844955
0.6668091,-0.082962036,-0.14376831,9.775528
0.6693115,-0.14042664,-0.14616394,9.852142
0.67181396,-0.090148926,-0.16531372,9.892838
0.6742859,-0.049438477,-0.15814209,9.852142
0.6768188,-0.09732056,-0.12461853,9.828201
0.6793213,-0.106903076,-0.1509552,9.830597
0.68182373,-0.07337952,-0.13659668,9.935944
0.6843262,-0.082962036,-0.11503601,9.775528
0.6868286,-0.13084412,-0.13897705,9.832993
0.6893616,-0.061416626,-0.1796875,9.873688
0.691864,-0.0925293,-0.19165039,9.821014
0.69436646,-0.080566406,-0.18447876,9.844955
0.69686896,-0.138031,-0.14376831,9.816223
0.69937134,-0.09732056,-0.15574646,9.835388
0.7018738,-0.07337952,-0.14137268,9.84256
0.7043762,-0.047042847,-0.17010498,9.866501
0.70687866,-0.042251587,-0.15574646,9.787491
0.7093811,-0.054229736,-0.17489624,9.825806
0.71191406,-0.061416626,-0.19404602,9.849747
0.7144165,-0.0925293,-0.16770935,9.811432
0.716919,-0.082962036,-0.11743164,9.84256
0.7194214,-0.082962036,-0.14616394,9.82341
