TIME,X,Y,Z
0.0,-0.085357666,-0.12701416,9.787491
0.002502441,-0.087753296,-0.12940979,9.840164
0.005004883,-0.090148926,-0.06715393,9.832993
0.007507324,-0.07577515,-0.11503601,9.830597
0.010009766,-0.047042847,-0.14137268,9.835388
0.012512207,-0.032684326,-0.13897705,9.806656
0.015014648,-0.07098389,-0.11026001,9.832993
0.01751709,-0.07337952,-0.13897705,9.816223
0.020050049,-0.111694336,-0.12701416,9.844955
0.022583008,-0.11886597,-0.13180542,9.8090515
0.025085447,-0.07577515,-0.11026001,9.830597
0.027587892,-0.082962036,-0.11982727,9.849747
0.030090332,-0.085357666,-0.12701416,9.8138275
0.032592773,-0.12605286,-0.10786438,9.878479
0.035095215,-0.12365723,-0.11982727,9.897629
0.037628178,-0.080566406,-0.1222229,9.837769
0.040130615,-0.090148926,-0.15335083,9.8090515
0.042633057,-0.082962036,-0.11982727,9.878479
0.045135494,-0.056625366,-0.10307312,9.873688
0.047668457,-0.090148926,-0.14616394,9.811432
0.050170895,-0.09971619,-0.14376831,9.782715
0.05267334,-0.082962036,-0.1222229,9.873688
0.05517578,-0.09732056,-0.13180542,9.88327
0.057678223,-0.09971619,-0.10546875,9.873688
0.060180664,-0.063812256,-0.1222229,9.856934
0.062683105,-0.07337952,-0.12461853,9.849747
0.06518555,-0.07337952,-0.11743164,9.82341
0.06768798,-0.09732056,-0.12461853,9.828201
0.07022095,-0.085357666,-0.11265564,9.849747
0.07272339,-0.06858826,-0.11982727,9.8688965
0.07522583,-0.082962036,-0.10546875,9.900024
0.07772827,-0.10450745,-0.11743164,9.828201
0.08023071,-0.10450745,-0.12461853,9.844955
0.08276367,-0.090148926,-0.12461853,9.873688
0.08526611,-0.085357666,-0.10546875,9.871292
0.087768555,-0.114089966,-0.12940979,9.890442
0.09027099,-0.111694336,-0.11265564,9.864105
0.09277344,-0.10211182,-0.12940979,9.866501
0.09527588,-0.106903076,-0.13897705,9.8688965
0.09777832,-0.056625366,-0.11982727,9.821014
0.10028076,-0.082962036,-0.0934906,9.844955
0.1027832,-0.106903076,-0.11503601,9.830597
0.10531616,-0.085357666,-0.15574646,9.8090515
0.10781861,-0.11647034,-0.12701416,9.854538
0.110321045,-0.109298706,-0.11265564,9.859329
0.11282349,-0.059020996,-0.13420105,9.835388
0.115356445,-0.085357666,-0.13897705,9.837769
0.11785889,-0.080566406,-0.12701416,9.878479
0.12036133,-0.06619263,-0.11743164,9.8688965
0.12286377,-0.07098389,-0.10546875,9.880875
0.12536621,-0.080566406,-0.13180542,9.878479
0.12786865,-0.054229736,-0.13420105,9.840164
