TIME,X,Y,Z
0.0,-0.10450745,-0.19404602,9.732437
0.002502441,-0.10211182,-0.19404602,9.852142
0.0050354,-0.10211182,-0.19404602,9.806656
0.007537841,-0.054229736,-0.21081543,9.82341
0.010040283,-0.07337952,-0.18927002,9.86171
0.012542724,-0.082962036,-0.17489624,9.84256
0.015045166,-0.07337952,-0.16531372,9.835388
0.017547607,-0.109298706,-0.19165039,9.801865
0.020050049,-0.10450745,-0.16770935,9.828201
0.02255249,-0.082962036,-0.1796875,9.844955
0.025054932,-0.10450745,-0.18687439,9.770737
0.027557371,-0.114089966,-0.22277832,9.82341
0.030059814,-0.109298706,-0.22038269,9.849747
0.032562256,-0.106903076,-0.21321106,9.832993
0.035064697,-0.13323975,-0.22517395,9.837769
0.037597656,-0.063812256,-0.1796875,9.8138275
0.040100098,-0.15478516,-0.22038269,9.859329
0.04260254,-0.142807,-0.18687439,9.86171
0.04510498,-0.1212616,-0.18208313,9.811432
0.047607426,-0.13323975,-0.2084198,9.821014
0.050109863,-0.111694336,-0.17250061,9.821014
0.052612305,-0.09492493,-0.18447876,9.806656
0.055114742,-0.087753296,-0.15814209,9.837769
0.057617188,-0.07577515,-0.20362854,9.904816
0.06011963,-0.015914917,-0.23236084,9.866501
0.06262207,-0.07098389,-0.1509552,9.854538
0.06512451,-0.11886597,-0.20123291,9.835388
0.06762695,-0.07577515,-0.19404602,9.888046
0.070129395,-0.082962036,-0.16293335,9.900024
0.07263184,-0.09492493,-0.16531372,9.859329
0.07513428,-0.082962036,-0.18687439,9.864105
0.0776062,-0.14042664,-0.17489624,9.82341
0.08010864,-0.12605286,-0.16770935,9.787491
0.0826416,-0.054229736,-0.20123291,9.84256
0.08514404,-0.07098389,-0.1796875,9.80426
0.08764648,-0.09732056,-0.16770935,9.80426
0.090148926,-0.09732056,-0.20362854,9.885666
0.09265137,-0.13563538,-0.18447876,9.880875
0.09515381,-0.09971619,-0.19165039,9.828201
0.09765625,-0.087753296,-0.2084198,9.854538
0.10015869,-0.111694336,-0.19644165,9.856934
0.10266113,-0.0925293,-0.18927002,9.840164
0.105163574,-0.063812256,-0.19404602,9.856934
0.107666016,-0.049438477,-0.16770935,9.880875
0.11016846,-0.061416626,-0.16770935,9.840164
0.112701416,-0.09732056,-0.15574646,9.871292
0.11520386,-0.090148926,-0.17250061,9.852142
0.1177063,-0.09971619,-0.22038269,9.854538
0.12020873,-0.13084412,-0.16770935,9.84256
0.12271118,-0.1212616,-0.17250061,9.852142
0.12521362,-0.09732056,-0.22038269,9.856934
0.12771606,-0.109298706,-0.18687439,9.840164
0.1302185,-0.090148926,-0.17729187,9.854538
0.13272095,-0.09971619,-0.17010498,9.830597
0.13522339,-0.11886597,-0.18927002,9.832993
0.13772583,-0.07577515,-0.22756958,9.852142
0.14022827,-0.09971619,-0.18208313,9.789886
0.14273071,-0.090148926,-0.15335083,9.859329
0.14523315,-0.085357666,-0.16531372,9.825806
0.1477356,-0.07577515,-0.18447876,9.797073
0.15023804,-0.085357666,-0.2371521,9.818619
0.15274048,-0.09732056,-0.19165039,9.828201
0.1552429,-0.09492493,-0.16770935,9.854538
0.15774536,-0.109298706,-0.18208313,9.86171
0.1602478,-0.0925293,-0.21560669,9.873688
0.16275024,-0.085357666,-0.20602417,9.799469
0.16525269,-0.085357666,-0.21081543,9.82341
0.16775513,-0.138031,-0.21321106,9.818619
0.17025757,-0.085357666,-0.20123291,9.849747
0.17276001,-0.085357666,-0.19883728,9.825806
0.17526245,-0.082962036,-0.20123291,9.811432
0.1777649,-0.10450745,-0.16053772,9.880875
0.18026733,-0.12605286,-0.19883728,9.873688
0.18276978,-0.090148926,-0.19165039,9.916779
0.18527222,-0.07817078,-0.17729187,9.864105
0.18777466,-0.109298706,-0.17489624,9.830597
0.1902771,-0.13323975,-0.17010498,9.84256
0.19277954,-0.09732056,-0.17489624,9.86171
0.1953125,-0.082962036,-0.16293335,9.818619
0.19781494,-0.14042664,-0.18927002,9.86171
0.20031738,-0.10211182,-0.2084198,9.818619
0.20281982,-0.07577515,-0.16293335,9.828201
0.20532227,-0.049438477,-0.1796875,9.878479
0.2078247,-0.12605286,-0.20362854,9.830597
0.21032715,-0.080566406,-0.22038269,9.82341
0.21282959,-0.044647217,-0.20602417,9.830597
0.21533203,-0.109298706,-0.15574646,9.835388
0.21783446,-0.114089966,-0.16770935,9.854538
0.22033691,-0.09492493,-0.18687439,9.854538
0.22283936,-0.063812256,-0.19883728,9.876083
0.2253418,-0.09971619,-0.16293335,9.811432
0.22784424,-0.12605286,-0.16053772,9.821014
0.2303772,-0.061416626,-0.13420105,9.76355
0.23287964,-0.1212616,-0.19883728,9.811432
0.23538208,-0.12365723,-0.22756958,9.818619
0.23788452,-0.09492493,-0.20362854,9.797073
0.24038696,-0.080566406,-0.16770935,9.832993
0.2428894,-0.13563538,-0.20362854,9.828201
0.24539185,-0.1212616,-0.19883728,9.818619
0.24789429,-0.09732056,-0.18447876,9.828201
0.25039673,-0.07577515,-0.22277832,9.859329
0.25289917,-0.0925293,-0.18447876,9.859329
0.2554016,-0.082962036,-0.17250061,9.844955
0.25790405,-0.12844849,-0.20362854,9.82341
0.2604065,-0.138031,-0.22517395,9.86171
0.26290894,-0.10450745,-0.19165039,9.818619
0.26541138,-0.11647034,-0.16770935,9.895233
0.26791382,-0.13563538,-0.1796875,9.797073
0.27041626,-0.11886597,-0.15814209,9.785095
0.2729187,-0.12605286,-0.19404602,9.825806
0.27542114,-0.051834106,-0.1796875,9.866501
0.27792358,-0.12605286,-0.14616394,9.821014
0.28045654,-0.09971619,-0.1796875,9.885666
0.28295898,-0.10211182,-0.20362854,9.866501
0.28546143,-0.10211182,-0.19883728,9.789886
0.28796387,-0.07098389,-0.20123291,9.821014
0.29043576,-0.111694336,-0.17250061,9.837769
0.29293823,-0.09971619,-0.17729187,9.849747
0.29544067,-0.087753296,-0.19165039,9.82341
0.29794312,-0.114089966,-0.17010498,9.818619
0.30044556,-0.10450745,-0.19404602,9.847351
0.302948,-0.10211182,-0.19644165,9.787491
0.30545044,-0.044647217,-0.18447876,9.854538
0.3079834,-0.07817078,-0.25151062,9.82341
0.31045532,-0.090148926,-0.20123291,9.852142
0.31298828,-0.114089966,-0.18208313,9.844955
0.31549072,-0.1212616,-0.18927002,9.818619
