TIME,X,Y,Z
0.0,-0.111694336,-0.1796875,9.801865
0.002502441,-0.082962036,-0.19644165,9.837769
0.005004882,-0.0925293,-0.18687439,9.787491
0.007507324,-0.10211182,-0.20123291,9.873688
0.010009765,-0.13563538,-0.1796875,9.835388
0.012512207,-0.12365723,-0.18687439,9.88327
0.015014648,-0.09732056,-0.16053772,9.852142
0.017517088,-0.138031,-0.18927002,9.852142
0.020019531,-0.111694336,-0.1796875,9.880875
0.022521973,-0.06858826,-0.23475647,9.811432
0.025024414,-0.0925293,-0.22277832,9.847351
0.027526855,-0.109298706,-0.19404602,9.912003
0.030059814,-0.1212616,-0.18927002,9.840164
0.032562256,-0.09971619,-0.20602417,9.897629
0.035064697,-0.085357666,-0.20362854,9.844955
0.037567135,-0.085357666,-0.17010498,9.828201
0.04006958,-0.0925293,-0.17489624,9.854538
0.04257202,-0.09492493,-0.19644165,9.86171
0.045074463,-0.11647034,-0.20123291,9.8090515
0.047576904,-0.090148926,-0.15574646,9.856934
0.050079346,-0.090148926,-0.15574646,9.909607
0.052581787,-0.09492493,-0.19883728,9.888046
0.05508423,-0.106903076,-0.19644165,9.830597
0.057586674,-0.12844849,-0.18927002,9.844955
0.06008911,-0.106903076,-0.16531372,9.825806
0.06259155,-0.12365723,-0.20602417,9.8138275
0.065093994,-0.11647034,-0.18687439,9.835388
0.067596436,-0.13563538,-0.13180542,9.84256
0.07009888,-0.13563538,-0.17010498,9.854538
0.07260132,-0.10450745,-0.19165039,9.880875
0.07510376,-0.07817078,-0.19165039,9.82341
0.0776062,-0.10450745,-0.15814209,9.844955
0.08010864,-0.111694336,-0.16053772,9.859329
0.08261109,-0.10450745,-0.1796875,9.859329
0.085113525,-0.09971619,-0.17489624,9.844955
0.08761597,-0.09492493,-0.20362854,9.859329
0.09011841,-0.087753296,-0.20362854,9.876083
0.09262085,-0.087753296,-0.19644165,9.8090515
0.09512329,-0.12844849,-0.17250061,9.84256
0.097625725,-0.12605286,-0.13659668,9.844955
0.100128174,-0.09971619,-0.20602417,9.859329
0.102630615,-0.09492493,-0.19165039,9.86171
0.10513306,-0.087753296,-0.21321106,9.806656
0.1076355,-0.10450745,-0.18927002,9.873688
0.11013794,-0.111694336,-0.21321106,9.830597
0.11264038,-0.06619263,-0.22996521,9.844955
0.11514282,-0.06858826,-0.20602417,9.82341
0.11764526,-0.09971619,-0.20602417,9.914383
0.120147705,-0.10450745,-0.16293335,9.830597
0.12265015,-0.07577515,-0.18927002,9.871292
0.12515259,-0.14042664,-0.1796875,9.852142
0.12765503,-0.09492493,-0.19165039,9.86171
0.13018799,-0.063812256,-0.2084198,9.873688
0.13269043,-0.07337952,-0.19883728,9.832993
0.13519287,-0.10211182,-0.16770935,9.876083
0.13769531,-0.106903076,-0.20362854,9.866501
0.14019775,-0.109298706,-0.20602417,9.794678
0.1427002,-0.1212616,-0.20602417,9.88327
0.14520264,-0.09971619,-0.1796875,9.892838
0.14770508,-0.12605286,-0.16293335,9.852142
0.15020752,-0.0925293,-0.20602417,9.806656
0.15270996,-0.061416626,-0.25151062,9.806656
0.1552124,-0.087753296,-0.18927002,9.847351
0.15771484,-0.10211182,-0.19165039,9.801865
0.16021729,-0.07098389,-0.15814209,9.816223
0.16271973,-0.07098389,-0.16770935,9.84256
0.16522218,-0.15478516,-0.20362854,9.832993
0.16772461,-0.114089966,-0.16053772,9.88327
0.17022705,-0.087753296,-0.19644165,9.8688965
0.17272949,-0.07337952,-0.18208313,9.840164
0.17523193,-0.0925293,-0.17010498,9.840164
0.17773438,-0.085357666,-0.17010498,9.86171
0.18023682,-0.07337952,-0.16293335,9.832993
0.18276978,-0.080566406,-0.18687439,9.835388
0.18527222,-0.15478516,-0.20123291,9.830597
0.18777466,-0.13323975,-0.18208313,9.835388
0.1902771,-0.09492493,-0.18447876,9.849747
0.19277954,-0.114089966,-0.19165039,9.818619
0.19528198,-0.087753296,-0.22756958,9.835388
0.19778441,-0.085357666,-0.18208313,9.825806
0.20028687,-0.14520264,-0.18687439,9.8138275
0.2027893,-0.13084412,-0.19644165,9.847351
0.20529175,-0.10450745,-0.16531372,9.856934
0.20779419,-0.13084412,-0.20602417,9.840164
0.21029663,-0.138031,-0.22517395,9.871292
0.21279907,-0.085357666,-0.18208313,9.88327
0.21530151,-0.06619263,-0.16531372,9.816223
0.21780396,-0.12844849,-0.1509552,9.837769
0.2203064,-0.056625366,-0.18447876,9.840164
0.22283936,-0.082962036,-0.18687439,9.811432
0.2253418,-0.09492493,-0.19165039,9.849747
0.22784424,-0.14520264,-0.2084198,9.8138275
0.23034666,-0.063812256,-0.1796875,9.890442
0.23284912,-0.087753296,-0.17250061,9.86171
0.23535156,-0.111694336,-0.18208313,9.849747
0.237854,-0.10450745,-0.18208313,9.90242
0.24035645,-0.09732056,-0.21321106,9.856934
0.24285889,-0.07577515,-0.21798706,9.840164
0.24536133,-0.07098389,-0.1796875,9.821014
0.24786377,-0.142807,-0.21321106,9.825806
0.2503662,-0.09492493,-0.20123291,9.859329
0.25286865,-0.090148926,-0.15814209,9.852142
0.2553711,-0.106903076,-0.19165039,9.852142
0.25787354,-0.10450745,-0.23236084,9.8688965
0.26037598,-0.13563538,-0.19644165,9.864105
0.26287842,-0.1212616,-0.18208313,9.825806
0.26538086,-0.13323975,-0.15335083,9.825806
0.2678833,-0.09492493,-0.21321106,9.852142
0.27038574,-0.09492493,-0.23954773,9.849747
0.2729187,-0.085357666,-0.18447876,9.852142
0.27542114,-0.082962036,-0.20602417,9.825806
0.27789307,-0.0925293,-0.19883728,9.8138275
0.2803955,-0.14520264,-0.17489624,9.828201
0.28289795,-0.11647034,-0.17010498,9.832993
0.2854004,-0.080566406,-0.18687439,9.914383
0.28790286,-0.09732056,-0.18447876,9.82341
