TIME,X,Y,Z
0.0,-0.14042664,-0.00730896,9.775528
0.002502442,-0.15478516,0.014251709,9.890442
0.005004883,-0.17633057,0.009460449,9.88327
0.007507324,-0.1667633,0.0549469,9.854538
0.010009766,-0.1787262,0.04536438,9.835388
0.012512207,-0.19787598,0.009460449,9.864105
0.015014649,-0.18351746,-0.0025177002,9.878479
0.01751709,-0.16914368,0.03579712,9.876083
0.020019531,-0.20985413,-0.00730896,9.885666
0.022521973,-0.18112183,0.01663208,9.8688965
0.025024414,-0.142807,0.05255127,9.876083
0.027526855,-0.22421265,0.04057312,9.885666
0.030029297,-0.19548035,0.03100586,9.909607
0.03253174,-0.142807,0.03340149,9.904816
0.03503418,-0.14042664,0.009460449,9.864105
0.03753662,-0.17633057,-1.2207031E-4,9.844955
0.040039062,-0.16436768,0.04776001,9.885666
0.042572025,-0.14520264,0.05255127,9.890442
0.045074463,-0.15478516,0.03819275,9.852142
0.047576904,-0.1667633,0.04296875,9.856934
0.050079346,-0.19787598,0.04536438,9.856934
0.052581787,-0.21464539,-0.02406311,9.821014
0.05508423,-0.1787262,0.011856079,9.8688965
0.057586674,-0.16914368,0.02381897,9.840164
0.06008911,-0.16436768,0.0262146,9.880875
0.06259155,-0.15957642,0.04057312,9.888046
0.065093994,-0.17633057,0.04536438,9.900024
0.067596436,-0.18591309,0.03579712,9.864105
0.07009888,-0.21704102,0.03819275,9.8688965
0.07260132,-0.21224976,0.0070648193,9.821014
0.07510376,-0.13323975,0.04536438,9.84256
0.0776062,-0.16914368,0.03100586,9.888046
0.08010864,-0.17393494,0.01902771,9.854538
0.08261109,-0.18112183,0.02861023,9.844955
0.085113525,-0.14759827,0.02861023,9.84256
0.08761597,-0.1499939,0.0022735596,9.84256
0.09011841,-0.21464539,0.06452942,9.84256
0.09262085,-0.19070435,0.05015564,9.852142
0.09512329,-0.16436768,-0.014480591,9.82341
0.09762573,-0.1787262,-1.2207031E-4,9.8090515
0.100128174,-0.16914368,-0.0025177002,9.830597
0.102630615,-0.19548035,0.02381897,9.859329
0.10513306,-0.19308472,0.05015564,9.885666
0.107666016,-0.17393494,-1.2207031E-4,9.909607
0.11016846,-0.14759827,0.009460449,9.86171
0.1126709,-0.1667633,0.014251709,9.832993
0.11517335,-0.21464539,0.06690979,9.892838
0.11767578,-0.18591309,-0.012084961,9.871292
0.12017822,-0.18591309,0.009460449,9.835388
0.122680664,-0.18112183,0.05734253,9.801865
