TIME,X,Y,Z
0.0,0.233,-0.16,9.354
0.003968231,0.195,-0.122,10.043
0.007935933,0.195,-0.122,9.967
0.011904164,0.195,-0.122,9.928
0.01587201,0.233,-0.16,9.928
0.01983986,0.195,-0.16,9.928
0.023807475,0.195,-0.122,9.928
0.027775783,0.157,-0.122,9.967
0.03174371,0.157,-0.16,9.967
0.03571163,0.195,-0.16,9.967
0.039679553,0.233,-0.16,9.967
0.043647006,0.195,-0.16,9.967
0.04761455,0.157,-0.16,9.967
0.05158224,0.195,-0.16,9.967
0.055549383,0.195,-0.122,9.928
0.059516616,0.195,-0.16,9.928
0.063484,0.157,-0.16,9.967
0.06745131,0.195,-0.16,9.967
0.071418464,0.195,-0.122,9.928
0.07538578,0.195,-0.122,9.928
0.07935357,0.195,-0.122,9.967
0.08332149,0.195,-0.122,9.967
0.08728933,0.195,-0.122,9.967
0.09125759,0.157,-0.16,10.005
0.09522528,0.195,-0.122,9.967
0.09919305,0.195,-0.084,9.967
0.103160694,0.195,-0.122,9.967
0.10712815,0.195,-0.122,9.967
0.11109593,0.195,-0.16,9.967
0.11506341,0.195,-0.122,9.967
0.119031094,0.195,-0.122,9.928
0.12299879,0.195,-0.16,9.967
0.12696636,0.157,-0.122,9.967
0.13093404,0.195,-0.122,9.967
0.13490197,0.195,-0.16,9.967
0.13886929,0.195,-0.122,10.005
0.14283697,0.195,-0.122,10.005
0.14680468,0.195,-0.122,10.043
0.1507723,0.195,-0.122,9.967
0.15473953,0.195,-0.122,9.967
0.158707,0.195,-0.122,9.967
0.16267547,0.157,-0.122,9.967
0.16664308,0.195,-0.122,9.967
0.17061093,0.233,-0.122,9.928
0.1745788,0.195,-0.122,9.967
0.17854697,0.195,-0.16,10.005
0.18251543,0.195,-0.122,9.967
0.18648368,0.195,-0.122,9.928
0.19045213,0.233,-0.122,9.967
0.19442044,0.233,-0.16,9.967
0.19838914,0.195,-0.122,9.967
0.20235768,0.195,-0.16,9.928
0.2063259,0.195,-0.16,9.928
0.21029383,0.233,-0.16,9.967
0.21426144,0.157,-0.16,9.967
0.21822944,0.195,-0.16,9.89
0.22219706,0.195,-0.122,9.967
0.2261653,0.195,-0.16,9.967
0.23013352,0.195,-0.122,9.967
0.23410131,0.157,-0.122,9.967
0.23806892,0.195,-0.16,9.928
0.24203686,0.157,-0.199,9.967
0.24600509,0.195,-0.122,9.967
0.24997348,0.195,-0.122,9.928
0.2539414,0.233,-0.16,9.967
0.25790885,0.233,-0.16,9.928
0.26187655,0.195,-0.16,9.928
0.26584408,0.195,-0.122,9.967
0.2698117,0.195,-0.16,9.967
0.27377984,0.195,-0.122,9.928
0.27774808,0.195,-0.16,9.967
0.28171715,0.233,-0.16,10.005
0.2856849,0.195,-0.122,9.967
