TIME,X,Y,Z
0.0,0.042,-0.314,9.354
0.003955943,0.042,-0.352,9.967
0.007912174,0.08,-0.352,9.89
0.011868327,0.042,-0.39,9.89
0.015824117,0.042,-0.352,9.928
0.019779656,0.042,-0.352,9.928
0.023735194,0.042,-0.352,9.967
0.027691228,0.042,-0.352,9.928
0.031647228,0.042,-0.352,9.89
0.035602767,0.042,-0.314,9.928
0.03955871,0.042,-0.314,9.928
0.04351463,0.042,-0.352,9.89
0.047470476,0.08,-0.314,9.928
0.05142635,0.08,-0.352,9.967
0.05538212,0.08,-0.314,9.928
0.05933812,0.08,-0.314,9.89
0.063294545,0.08,-0.352,9.928
0.067250855,0.042,-0.352,9.928
0.07120701,0.042,-0.314,10.005
0.07516289,0.08,-0.352,9.928
0.0791192,0.042,-0.352,9.928
0.08307597,0.042,-0.352,9.89
0.0870326,0.042,-0.352,9.928
0.090989135,0.042,-0.352,9.928
0.094945446,0.042,-0.352,9.967
0.09890161,0.042,-0.352,9.967
0.10285768,0.042,-0.352,9.89
0.10681446,0.042,-0.314,9.928
0.11077085,0.042,-0.352,9.967
0.11472654,0.042,-0.352,9.967
0.118683,0.042,-0.352,9.928
0.122639164,0.042,-0.352,9.928
0.12659524,0.08,-0.314,9.928
0.13055149,0.042,-0.352,9.967
0.13450842,0.08,-0.314,9.967
0.13846564,0.042,-0.352,9.967
0.1424222,0.08,-0.352,9.928
0.14637926,0.08,-0.352,9.928
0.15033595,0.042,-0.352,9.928
0.15429196,0.042,-0.352,9.928
0.15824834,0.08,-0.352,9.928
0.1622044,0.042,-0.352,9.89
0.16616072,0.042,-0.352,9.928
0.17011659,0.042,-0.352,9.928
0.17407237,0.042,-0.352,9.89
0.17802867,0.042,-0.352,9.928
0.1819852,0.042,-0.352,9.928
0.18594243,0.003,-0.352,9.928
0.18989876,0.042,-0.352,9.967
0.19385493,0.042,-0.352,9.89
0.1978107,0.042,-0.314,9.967
0.20176685,0.042,-0.314,9.928
0.20572294,0.08,-0.314,9.928
0.20967919,0.042,-0.352,9.928
0.21363549,0.08,-0.352,9.89
0.21759203,0.08,-0.352,9.967
0.22154865,0.08,-0.352,9.928
0.22550488,0.042,-0.352,9.89
0.22946054,0.08,-0.352,9.928
0.23341662,0.08,-0.352,9.928
0.23737262,0.042,-0.352,9.928
0.2413284,0.042,-0.352,9.89
0.24528416,0.042,-0.314,9.928
0.24924016,0.042,-0.352,9.928
0.25319654,0.042,-0.314,9.928
0.2571531,0.042,-0.352,9.89
0.26110932,0.042,-0.352,9.89
0.26506513,0.042,-0.352,9.89
0.2690216,0.042,-0.39,9.967
0.2729775,0.042,-0.352,9.928
0.2769339,0.042,-0.352,9.89
0.28089032,0.042,-0.352,9.89
0.2848473,0.042,-0.314,9.928
0.28880405,0.042,-0.352,9.89
0.29276094,0.08,-0.314,9.928
0.2967176,0.042,-0.352,9.89
0.30067447,0.042,-0.39,9.928
0.30463114,0.042,-0.352,9.967
0.30858767,0.042,-0.352,9.928
0.31254408,0.08,-0.39,9.928
0.31650046,0.042,-0.314,9.89
0.32045722,0.08,-0.352,9.928
0.32441345,0.042,-0.314,9.928
0.32836968,0.042,-0.39,9.967
0.332326,0.042,-0.352,9.928
0.3362827,0.08,-0.314,9.928
0.34023947,0.08,-0.352,9.967
0.34419596,0.042,-0.352,9.967
0.3481521,0.08,-0.352,9.967
0.35210854,0.042,-0.352,9.89
0.35606486,0.042,-0.314,9.928
0.36002162,0.08,-0.352,9.89
0.36397862,0.08,-0.352,9.928
0.3679349,0.08,-0.352,9.967
0.3718911,0.042,-0.314,9.928
0.37584743,0.08,-0.352,9.967
0.37980348,0.042,-0.352,9.852
0.38375917,0.042,-0.352,9.89
0.3877151,0.08,-0.352,9.928
0.39167094,0.042,-0.352,9.928
0.39562723,0.08,-0.314,9.928
0.39958355,0.042,-0.352,9.928
0.40353918,0.08,-0.352,9.928
0.4074949,0.042,-0.314,10.005
0.41145152,0.08,-0.352,9.89
0.41540822,0.042,-0.352,9.928
0.41936406,0.08,-0.39,9.928
0.4233199,0.042,-0.314,10.005
0.42727575,0.042,-0.352,9.967
0.4312318,0.042,-0.352,9.928
0.43518803,0.042,-0.352,9.967
0.4391439,0.042,-0.314,9.928
0.44310018,0.003,-0.314,9.852
0.4470563,0.08,-0.352,9.928
0.45101207,0.118,-0.352,9.928
0.45496827,0.042,-0.39,9.852
0.45892468,0.042,-0.352,9.928
0.462881,0.042,-0.352,9.928
0.46683776,0.042,-0.314,9.89
0.4707943,0.042,-0.352,9.928
0.47475058,0.08,-0.352,9.89
0.47870705,0.042,-0.39,10.005
0.48266336,0.042,-0.314,10.005
